DistrictNumber,DistrictType,districtName,year,percentLunch
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2006,0.2742914979757085
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2006,0.1766912257200268
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2006,0.06469440832249675
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2006,0.12985557768924302
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2006,0.09554066543438078
0836,01,BUTTERFIELD PUBLIC SCHOOL DISTRICT,2006,0.4786729857819905
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2006,0.4055459272097054
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2006,0.45623987034035657
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2006,0.31370328425821065
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2006,0.3936651583710407
0852,01,CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,2006,0.5132743362831859
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DIST.,2006,0.340080971659919
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2006,0.2511938872970392
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2006,0.3426443202979516
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2006,0.20383182543906334
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2006,0.19863770250368187
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2006,0.1151219512195122
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2006,0.16194331983805668
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2006,0.18448098663926002
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2006,0.23525798525798525
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2006,0.08205374280230326
0891,01,CANBY PUBLIC SCHOOL DISTRICT,2006,0.4515570934256055
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,2006,0.2486475656181126
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2006,0.26870389884088514
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DIST,2006,0.34843205574912894
0915,52,SOUTHERN PLAINS EDUCATION COOP.,2006,0.43529411764705883
0916,06,NORTHEAST METRO 916,2006,0.2828282828282828
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2006,0.21929824561403508
0926,83,REGION 4-LAKES COUNTRY SERVICE COOP,2006,0.2571428571428571
0935,52,FERGUS FALLS AREA SP. ED. COOP.,2006,0.48148148148148145
0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,2006,0.797752808988764
0966,51,WRIGHT TECHNICAL CENTER,2006,0.012269938650306749
0991,83,REGION 6 AND 8-SW/WC SERVICE COOP,2006,0.4393939393939394
0998,52,BEMIDJI REGIONAL INTERDIST. COUNCIL,2006,NaN
1000,70,PERPICH CENTER FOR ARTS EDUCATION,2006,0.08090614886731391
1100,60,MINNESOTA DEPARTMENT OF CORRECTIONS,2006,1
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2006,0.27496757457846954
2125,01,TRITON SCHOOL DISTRICT,2006,0.30697674418604654
2134,01,UNITED SOUTH CENTRAL SCHOOL DIST.,2006,0.454337899543379
2135,01,MAPLE RIVER SCHOOL DISTRICT,2006,0.3211083944580277
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2006,0.21358024691358024
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2006,0.4017777777777778
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,2006,0.23618090452261306
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2006,0.15550574390585598
2149,01,MINNEWASKA SCHOOL DISTRICT,2006,0.3606425702811245
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2006,0.32931424265259984
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2006,0.5103562551781275
2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SC,2006,0.35
2164,01,DILWORTH-GLYNDON-FELTON,2006,0.28059701492537314
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2006,0.43482397716460514
2167,01,LAKEVIEW SCHOOL DISTRICT,2006,0.2637729549248748
2168,01,NRHEG SCHOOL DISTRICT,2006,0.26851851851851855
2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST.,2006,0.3177441540577717
