districtNumber,districtType,districtName,year,gradRate
2759,01,Eagle Valley,2013,NA
2769,01,Morris Area,2013,NA
2805,01,Zumbrota-Mazeppa,2013,NA
2835,01,Janesville-Waldorf-Pemberton,2013,NA
2853,01,Lac qui Parle Valley,2013,NA
2854,01,Ada-Borup,2013,NA
2856,01,Stephen-Argyle Central,2013,NA
2860,01,Blue Earth Area,2013,NA
2884,01,Red Rock Central,2013,NA
2886,01,Glenville-Emmons,2013,NA
2888,01,Clinton-Graceville-Beardsley,2013,NA
2889,01,Lake Park-Audubon,2013,NA
2895,01,Jackson Coutny Central,2013,NA
2899,01,Plainview-Elgin-Millville,2013,NA
2902,01,Russell-Tyler-Ruthton,2013,NA
2903,01,Ortonville,2013,NA
2904,01,Tracy Area,2013,NA
2906,01,Red Lake County Central,2013,NA
2908,01,Brandon-Evansville,2013,NA
2907,01,Round Lake-Brewster,2013,NA
0241,01,Albert Lea,2013,NA
0492,01,Austin,2013,NA
0727,01,Big Lake,2013,NA
0181,01,Brainerd,2013,NA
0271,01,Bloomington,2013,NA
0286,01,Brooklyn Center,2013,NA
0877,01,Buffalo-Hanover-Montrose,2013,NA
0191,01,Burnsville-Eagan-Savage,2013,NA
0911,01,Cambrdige-Isanti,2013,NA
0012,01,Centennial,2013,NA
0013,01,Columbia Heights,2013,NA
0593,01,Crookston,2013,NA
0112,01,Eastern Carver County,2013,NA
0272,01,Eden Prairie,2013,NA
0273,01,Edina,2013,NA
0728,01,Elk River,2013,NA
2752,01,Fairmont Area,2013,NA
0656,01,Faribault,2013,NA
0192,01,Farmington,2013,NA
0831,01,Forest Lake,2013,NA
0014,01,Fridley,2013,NA
2365,01,G.F.W.,2013,NA
2859,01,Glencoe-Silver Lake,2013,NA
0200,01,Hastings,2013,NA
0270,01,Hopkins,2013,NA
0294,01,Houston,2013,NA
0199,01,Inner Grove Heights,2013,NA
0717,01,Jordan,2013,NA
0194,01,Lakeville,2013,NA
2397,01,Le Sueur-Henderson,2013,NA
0424,01,Lester Prairie,2013,NA
0465,01,Litchfield,2013,NA
2753,01,Long Prairie-Grey Eagle,2013,NA
0837,01,Madelia,2013,NA
0832,01,Mahtomedi,2013,NA
0077,01,Mankato,2013,NA
0413,01,Marshall,2013,NA
0740,01,Melrose,2013,NA
0276,01,Minnetonka,2013,NA
0882,01,Monticello,2013,NA
0152,01,Moorhead,2013,NA
0621,01,Mounds View,2013,NA
0721,01,New Prague Area,2013,NA
0622,01,North St. Paul-Maplewood,2013,NA
0659,01,Northfield,2013,NA
0279,01,Osseo,2013,NA
0761,01,Owatonna,2013,NA
0548,01,Pelican Rapids,2013,NA
0549,01,Perham-Dent,2013,NA
0719,01,Prior Lake-Savage,2013,NA
2890,01,Renville County West,2013,NA
0280,01,Richfield,2013,NA
0281,01,Robbinsdale,2013,NA
0535,01,Rochester,2013,NA
0750,01,Rocori,2013,NA
0196,01,Rosemount-Apple Valley-Eagan,2013,NA
0623,01,Roseville Area Schools,2013,NA
0047,01,Sauk Rapids-Rice,2013,NA
0720,01,Shakopee,2013,NA
2310,01,Sibley East,2013,NA
0006,03,South St. Paul,2013,NA
0833,01,South Washington County,2013,NA
0016,01,Spring Lake Park,2013,NA
0006,03,South St. Paul,2013,NA
0834,01,Stillwater Area,2013,NA
0282,01,St. Anthony-New Brighton,2013,NA
0858,01,St. Charles,2013,NA
0742,01,St. Cloud,2013,NA
0015,01,St. Francis,2013,NA
0840,01,St. James,2013,NA
0283,01,St. Louis Park,2013,NA
0885,01,St. Michael-Albertville,2013,NA
0508,01,St. Peter,2013,NA
2905,01,Tri-City United,2013,NA
0564,01,Thief River Falls,2013,NA
2905,01,Tri-City United,2013,NA
0110,01,Waconia,2013,NA
0829,01,Waseca,2013,NA
0284,01,Wayzata,2013,NA
0197,01,West St. Paul-Mendota Hts.-Eagan,2013,NA
2898,01,Westbrook-Walnut Grove,2013,NA
0624,01,White Bear Lake,2013,NA
0347,01,Willmar,2013,NA
0861,01,Winona Area,2013,NA
0518,01,Worthington,2013,NA
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,2014,0.255555555555556
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,2014,0.727272727272727
0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,2014,0.764705882352941
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2014,0.461538461538462
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2014,0.25
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2014,0.761904761904762
0115,01,CASS LAKE-BENA PUBLIC SCHOOLS,2014,0.408450704225352
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2014,0.85
