districtNumber,districtType,districtName,year,dropRate
0656,01,Faribault Public School District,2012,4.26
0659,01,Northfield Public School District,2012,3.19
0671,01,Hills-Beaver Creek School District,2012,0
0676,01,Badger Public School District,2012,5.26
0682,01,Roseau Public School District,2012,1.74
0690,01,Warroad Public School District,2012,4.3
0695,01,Chisholm Public School District,2012,6.82
0696,01,Ely Public School District,2012,4
0698,01,Floodwood Public School District,2012,4.17
0700,01,Hermantown Public School District,2012,0
0701,01,Hibbing Public School District,2012,9.68
0704,01,Proctor Public School District,2012,2.94
0706,01,Virginia Public School District,2012,4.13
0709,01,Duluth Public School District,2012,4.23
0712,01,Mountain Iron-Buhl School District,2012,2.33
0716,01,Belle Plaine Public School District,2012,0.9
0717,01,Jordan Public School District,2012,1.52
0719,01,Prior Lake-Savage Area Schools,2012,5.16
0720,01,Shakopee Public School District,2012,3.76
0721,01,New Prague Area Schools,2012,1.86
0726,01,Becker Public School District,2012,1.05
0727,01,Big Lake Public School District,2012,3.81
0728,01,Elk River Public School District,2012,2.57
0738,01,Holdingford Public School District,2012,0
0739,01,Kimball Public School District,2012,1.61
0740,01,Melrose Public School District,2012,0
0741,01,Paynesville Public School District,2012,0
0742,01,St. Cloud Public School District,2012,4.29
0743,01,Sauk Centre Public School District,2012,1.09
0745,01,Albany Public School District,2012,2.73
0748,01,Sartell-St. Stephen School District,2012,0.4
0750,01,Rocori Public School District,2012,0.99
0756,01,Blooming Prairie Public School Dist,2012,1.61
0761,01,Owatonna Public School District,2012,5.87
0763,01,Medford Public School District,2012,0
0768,01,Hancock Public School District,2012,0
0771,01,Chokio-Alberta Public School Dist.,2012,0
0775,01,Kerkhoven-Murdock-Sunburg,2012,0
0777,01,Benson Public School District,2012,2.47
0786,01,Bertha-Hewitt Public School District,2012,2.56
0787,01,Browerville Public School District,2012,2.17
0803,01,Wheaton Area Public School District,2012,0
0811,01,Wabasha-Kellogg Public School Dist.,2012,3.51
0813,01,Lake City Public School District,2012,1.14
0818,01,Verndale Public School District,2012,14.29
0820,01,Sebeka Public School District,2012,0
0821,01,Menahga Public School District,2012,2.22
0829,01,Waseca Public School District,2012,3.68
0831,01,Forest Lake Public School District,2012,3.72
0832,01,Mahtomedi Public School District,2012,0
0833,01,South Washington County School Dist,2012,1.55
0834,01,Stillwater Area Public School Dist.,2012,0.41
0836,01,Butterfield Public School District,2012,0
0837,01,Madelia Public School District,2012,8.33
0840,01,St. James Public School District,2012,5.81
0846,01,Breckenridge Public School District,2012,2.11
0850,01,Rothsay Public School District,2012,0
0857,01,Lewiston-Altura Public School Dist.,2012,3.23
0858,01,St. Charles Public School District,2012,0
0861,01,Winona Area Public School District,2012,4.81
0876,01,Annandale Public School District,2012,2.19
0877,01,Buffalo-Hanover-Montrose Public Sch,2012,2.42
0879,01,Delano Public School District,2012,0
0881,01,Maple Lake Public School District,2012,1.3
0882,01,Monticello Public School District,2012,2.03
0883,01,Rockford Public School District,2012,5.43
0885,01,St. Michael-Albertville School Dist,2012,0.63
0891,01,Canby Public School District,2012,0
0911,01,Cambridge-Isanti Public School Dist,2012,2.41
0912,01,Milaca Public School District,2012,6.12
0914,01,Ulen-Hitterdal Public School Dist,2012,0
0915,52,Southern Plains Education Coop.,2012,20
0916,06,Northeast Metro 916,2012,10.5
0917,06,Intermediate School District 917,2012,9.39
0926,83,Region 4-Lakes Country Service Coop,2012,32
0966,51,Wright Technical Center,2012,10.84
0991,83,Region 6 And 8-Sw/Wc Service Cooperative,2012,10.71
1000,70,Perpich Center For Arts Education,2012,0
1094,34,Fond Du Lac Ojibwe,2012,12.5
1435,34,Circle Of Life,2012,NA
2071,01,Lake Crystal-Wellcome Memorial,2012,1.85
2125,01,Triton School District,2012,1.52
2134,01,United South Central School Dist.,2012,6.25
2135,01,Maple River School District,2012,5.26
2137,01,Kingsland Public School District,2012,3.64
2142,01,St. Louis County School District,2012,6.17
2143,01,Waterville-Elysian-Morristown Public School District,2012,3.13
2144,01,Chisago Lakes School District,2012,1.79
2149,01,Minnewaska School District,2012,2.41
2154,01,Eveleth-Gilbert School District,2012,4
2155,01,Wadena-Deer Creek School District,2012,6.17
2159,01,Buffalo Lk-Hector-Stewart Public Sc,2012,1.89
2164,01,Dilworth-Glyndon-Felton,2012,5.43
2165,01,Hinckley-Finlayson School District,2012,8.33
2167,01,Lakeview School District,2012,3.85
2168,01,Nrheg School District,2012,2.82
2169,01,Murray County Central School Dist.,2012,3.13
2170,01,Staples-Motley School District,2012,0.76
2171,01,Kittson Central School District,2012,0
2172,01,Kenyon-Wanamingo School District,2012,4.35
2174,01,Pine River-Backus School District,2012,1.14
2176,01,Warren-Alvarado-Oslo School Dist.,2012,3.13
2180,01,Maccray School District,2012,3.57
2184,01,Luverne Public School District,2012,5.88
2190,01,Yellow Medicine East,2012,0
2198,01,Fillmore Central,2012,0
2215,01,Norman County East School District,2012,3.03
2310,01,Sibley East School District,2012,1.25
2311,01,Clearbrook-Gonvick School District,2012,10.34
2342,01,West Central Area,2012,1.79
2358,01,Tri-County School District,2012,0
2364,01,Belgrade-Brooten-Elrosa Public School District,2012,0
2365,01,G.f.w. Public School District,2012,10.14
2396,01,A.c.g.c. Public School District,2012,1.82
2397,01,Le Sueur-Henderson School District,2012,2.11
2448,01,Martin County West School District,2012,8.77
2527,01,Norman County West School District,2012,4.55
2534,01,Bird Island-Olivia-Lake Lillian Public School District,2012,6.06
2536,01,Granada Huntley-East Chain,2012,0
2580,01,East Central School District,2012,9.59
2609,01,Win-E-Mac School District,2012,9.09
2683,01,Greenbush-Middle River School Dist.,2012,0
2687,01,Howard Lake-Waverly-Winsted,2012,2.27
2689,01,Pipestone Area School District,2012,4.65
2711,01,Mesabi East School District,2012,5.36
2752,01,Fairmont Area School District,2012,3.42
2753,01,Long Prairie-Grey Eagle School District,2012,8.54
2754,01,Cedar Mountain School District,2012,8
2769,01,Morris Area Public Schools,2012,1.39
2805,01,Zumbrota-Mazeppa School District,2012,4.6
2835,01,Janesville-Waldorf-Pemberton,2012,0
2853,01,Lac Qui Parle Valley School Dist.,2012,1.64
2854,01,Ada-Borup Public School District,2012,1.92
2856,01,Stephen-Argyle Central Schools,2012,3.03
2859,01,Glencoe-Silver Lake School District,2012,4.41
2860,01,Blue Earth Area Public School,2012,7.45
2884,01,Red Rock Central School District,2012,0
2886,01,Glenville-Emmons School District,2012,3.57
2888,01,Clinton-Graceville-Beardsley,2012,0
2889,01,Lake Park Audubon School District,2012,2.13
2890,01,Renville County West School Dist.,2012,10.26
2895,01,Jackson County Central School Dist.,2012,3.75
2897,01,Redwood Area School District,2012,3.26
2898,01,Westbrook-Walnut Grove Schools,2012,6.52
2899,01,Plainview-Elgin-Millville,2012,0
2902,01,Rtr Public Schools,2012,5.26
2903,01,Ortonville Public Schools,2012,4.17
2904,01,Tracy Area Public School District,2012,1.45
2905,01,Tri-City United School District,2012,NA
2906,01,Red Lake County Central Public Schools,2012,NA
2908,01,Brandon-Evansville Public Schools,2012,NA
4000,07,City Academy,2012,0
4003,07,"New Heights School, Inc.",2012,3.7
4007,07,Minnesota New Country School,2012,8.33
4008,07,Pact Charter School,2012,0
4015,07,Community Of Peace Academy,2012,4.08
4017,07,Minnesota Transitions Charter School,2012,3.15
