districtNumber,districtType,districtName,year,gradRate
0676,01,Badger Public School District,2012,84.21
0682,01,Roseau Public School District,2012,93.04
0690,01,Warroad Public School District,2012,91.4
0695,01,Chisholm Public School District,2012,81.82
0696,01,Ely Public School District,2012,96
0698,01,Floodwood Public School District,2012,91.67
0700,01,Hermantown Public School District,2012,93.26
0701,01,Hibbing Public School District,2012,75.27
0704,01,Proctor Public School District,2012,87.5
0706,01,Virginia Public School District,2012,90.08
0709,01,Duluth Public School District,2012,76.15
0712,01,Mountain Iron-Buhl School District,2012,93.02
0716,01,Belle Plaine Public School District,2012,93.69
0717,01,Jordan Public School District,2012,90.15
0719,01,Prior Lake-Savage Area Schools,2012,85.89
0720,01,Shakopee Public School District,2012,84.97
0721,01,New Prague Area Schools,2012,91.82
0726,01,Becker Public School District,2012,94.74
0727,01,Big Lake Public School District,2012,87.29
0728,01,Elk River Public School District,2012,89.4
0738,01,Holdingford Public School District,2012,95.83
0739,01,Kimball Public School District,2012,93.55
0740,01,Melrose Public School District,2012,98.2
0741,01,Paynesville Public School District,2012,98.46
0742,01,St. Cloud Public School District,2012,72.98
0743,01,Sauk Centre Public School District,2012,92.39
0745,01,Albany Public School District,2012,90
0748,01,Sartell-St. Stephen School District,2012,95.56
0750,01,Rocori Public School District,2012,93.07
0756,01,Blooming Prairie Public School Dist,2012,91.94
0761,01,Owatonna Public School District,2012,83.86
0763,01,Medford Public School District,2012,98.21
0768,01,Hancock Public School District,2012,90.91
0771,01,Chokio-Alberta Public School Dist.,2012,83.33
0775,01,Kerkhoven-Murdock-Sunburg,2012,72.22
0777,01,Benson Public School District,2012,90.12
0786,01,Bertha-Hewitt Public School District,2012,84.62
0787,01,Browerville Public School District,2012,95.65
