DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
13-14,56,Otter Tail                                   ,0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST. ,000, ,04,04,09,0,0,0,0,0,0,0,0,0,0,0,0,31,26,31,26,0,57,District,EC-12,, ,
13-14,56,Otter Tail                                   ,0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST. ,000, ,04,04,10,0,0,0,0,0,0,0,1,0,0,0,0,29,23,29,24,1,53,District,EC-12,, ,
13-14,56,Otter Tail                                   ,0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST. ,000, ,04,04,11,0,1,0,0,2,1,0,0,0,0,0,0,26,26,28,28,4,56,District,EC-12,, ,
13-14,56,Otter Tail                                   ,0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST. ,000, ,04,04,12,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,0,44,District,EC-12,, ,
13-14,56,Otter Tail                                   ,0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST. ,000, ,04,04,All Grades,1,1,0,0,5,2,7,6,0,0,2,5,352,326,367,340,29,707,District,EC-12,, ,
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,EC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,District,EC-12,, ,
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,KG,0,2,0,0,0,0,1,2,0,0,0,0,11,7,12,11,5,23,District,EC-12,, ,
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,01,0,0,0,0,0,0,0,0,0,0,0,1,6,8,6,9,1,15,District,EC-12,, ,
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,02,0,1,0,0,0,0,0,0,0,0,0,0,8,7,8,8,1,16,District,EC-12,, ,
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,03,1,0,0,0,0,0,0,1,0,0,0,0,6,12,7,13,2,20,District,EC-12,, ,
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,04,1,0,0,0,0,1,2,0,0,0,0,1,4,3,7,5,5,12,District,EC-12,, ,
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,05,0,1,0,0,0,0,2,1,0,0,0,0,5,8,7,10,4,17,District,EC-12,, ,
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,06,0,0,0,0,0,0,1,0,0,0,0,1,6,9,7,10,2,17,District,EC-12,, ,
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,07,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,0,9,District,EC-12,, ,
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,08,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,4,0,10,District,EC-12,, ,
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,09,0,0,0,0,0,0,0,1,0,0,0,0,11,10,11,11,1,22,District,EC-12,, ,
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,10,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,7,District,EC-12,, ,
13-14,57,Pennington                                   ,0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT   ,000, ,01,01,11,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,5,0,12,District,EC-12,, ,
