dat_yer,dst_num,dst_tye,dst_nam,dst_cou,sch_num,sch_nam,sch_cou,enr_k12,fre_k12,rpc_k12,lep_k12,spe_k12,enr_pk12,fre_pk12,rpc_pk12,lep_pk12,spe_pk12,eco_dev
04-05,0001,03,MINNEAPOLIS,27,387,CONNECTION CTR.,27,78,64,5,2,15,78,64,5,2,15,11
04-05,0001,03,MINNEAPOLIS,27,391,ABRAHAM LINCOLN HIGH SCHOOL,27,275,262,3,221,1,275,262,3,221,1,11
04-05,0001,03,MINNEAPOLIS,27,392,EXTENDED DAY,27,7,1,0,1,1,7,1,0,1,1,11
04-05,0001,03,MINNEAPOLIS,27,393,AMERICAN INDIAN OIC,27,30,23,4,0,5,30,23,4,0,5,11
04-05,0001,03,MINNEAPOLIS,27,394,MN TEEN CHALLANGE,27,42,42,0,0,3,42,42,0,0,3,11
04-05,0001,03,MINNEAPOLIS,27,401,SULLIVAN HEARING IMPAIRED,27,41,26,4,12,41,41,26,4,12,41,11
04-05,0001,03,MINNEAPOLIS,27,405,URBAN LEAGUE EL.,27,97,55,19,0,8,97,55,19,0,8,11
04-05,0001,03,MINNEAPOLIS,27,406,VOLUNTEERS OF AMERICA-HIGH,27,137,105,6,18,19,137,105,6,18,19,11
04-05,0001,03,MINNEAPOLIS,27,408,CITY INC. SOUTH,27,62,51,8,5,7,62,51,8,5,7,11
04-05,0001,03,MINNEAPOLIS,27,411,PLYMOUTH YOUTH CTR. LYNDALE,27,63,52,4,13,6,63,52,4,13,6,11
04-05,0001,03,MINNEAPOLIS,27,412,CENTER FOR TRAINING & CAREERS,27,312,186,52,78,8,312,186,52,78,8,11
04-05,0001,03,MINNEAPOLIS,27,413,PLYMOUTH YOUTH CENTER MIDDLE,27,17,13,1,1,2,17,13,1,1,2,11
04-05,0001,03,MINNEAPOLIS,27,415,MINNEAPOLIS OLL,27,1,0,0,0,1,1,0,0,0,1,11
04-05,0001,03,MINNEAPOLIS,27,523,MPLS. H.S. ALTERNATIVE PROGRAM,27,2,0,0,0,0,2,0,0,0,0,11
04-05,0001,03,MINNEAPOLIS,27,625,MPLS. CRAWFORD FIRST,27,39,31,3,0,39,39,31,3,0,39,11
04-05,0001,03,MINNEAPOLIS,27,679,UNIVERSITY-DAY COMMUNITY,27,16,5,1,0,11,16,5,1,0,11,11
04-05,0001,03,MINNEAPOLIS,27,685,HENN. CO. JUVENILE CNTR.,27,66,66,0,4,24,66,66,0,4,24,11
04-05,0001,03,MINNEAPOLIS,27,688,RIVERSIDE-MENTAL,27,39,25,2,0,8,39,25,2,0,8,11
04-05,0001,03,MINNEAPOLIS,27,689,ST. JOSEPH CHILDREN HOME,27,38,36,0,0,35,38,36,0,0,35,11
04-05,0001,03,MINNEAPOLIS,27,692,CHILDREN'S HOSPITAL ACADEMY,27,10,10,0,0,1,10,10,0,0,1,11
04-05,0001,03,MINNEAPOLIS,27,697,CHILDRENS RES. TREAT CTR.,27,18,18,0,0,7,18,18,0,0,7,11
04-05,0002,01,HILL CITY,01,001,HILL CITY EL.,01,159,74,19,0,32,163,76,21,0,36,03
04-05,0002,01,HILL CITY,01,003,HILL CITY SEC.,01,189,77,15,0,36,189,77,15,0,36,03
04-05,0004,01,MCGREGOR,01,010,MCGREGOR EL.,01,230,128,37,0,40,235,131,37,0,45,03
04-05,0004,01,MCGREGOR,01,030,MCGREGOR ALP,01,6,2,0,0,0,6,2,0,0,0,03
04-05,0004,01,MCGREGOR,01,040,MCGREGOR SEC.,01,250,119,34,0,37,250,119,34,0,37,03
04-05,0006,03,SOUTH ST. PAUL,19,120,SOUTH ST. PAUL SEC.,19,1566,289,122,19,185,1566,289,122,19,185,11
04-05,0006,03,SOUTH ST. PAUL,19,303,SSP COMMUNITY LEARNING CENTER,19,64,27,8,0,3,64,27,8,0,3,11
04-05,0006,03,SOUTH ST. PAUL,19,735,LINCOLN CENTER EL.,19,802,194,69,70,118,831,199,70,70,147,11
04-05,0006,03,SOUTH ST. PAUL,19,737,KAPOSIA EDUCATION CENTER EL.,19,727,250,63,97,80,744,255,64,97,97,11
04-05,0011,01,ANOKA-HENNEPIN,02,001,ANOKA SR.,02,2467,288,146,0,283,2467,288,146,0,283,11
04-05,0011,01,ANOKA-HENNEPIN,02,002,COON RAPIDS SR.,02,2846,435,198,79,366,2846,435,198,79,366,11
04-05,0011,01,ANOKA-HENNEPIN,02,003,FRED MOORE MID.,02,984,222,90,88,167,984,222,90,88,167,11
04-05,0011,01,ANOKA-HENNEPIN,02,004,COON RAPIDS MID.,02,1557,287,126,0,202,1557,287,126,0,202,11
04-05,0011,01,ANOKA-HENNEPIN,02,006,JACKSON MID.,27,2295,355,146,217,214,2295,355,146,217,214,11
04-05,0011,01,ANOKA-HENNEPIN,02,090,NORTHDALE MID.,02,1478,282,135,82,198,1478,282,135,82,198,11
04-05,0011,01,ANOKA-HENNEPIN,02,091,BLAINE SR.,02,2923,394,197,152,316,2923,394,197,152,316,11
04-05,0011,01,ANOKA-HENNEPIN,02,094,ANDOVER SR HIGH,02,1595,78,67,1,143,1595,78,67,1,143,11
04-05,0011,01,ANOKA-HENNEPIN,02,110,CROSSROADS ALTERNATIVE HIGH SCHOOL,02,222,67,25,0,34,222,67,25,0,34,11
04-05,0011,01,ANOKA-HENNEPIN,02,111,CROSSROADS NIGHTS,02,33,0,1,0,0,33,0,1,0,0,11
04-05,0011,01,ANOKA-HENNEPIN,02,121,SANDBURG MID.,02,969,68,56,0,95,969,68,56,0,95,11
04-05,0011,01,ANOKA-HENNEPIN,02,192,CHAMPLIN PARK SR.,27,3130,369,180,171,268,3130,369,180,171,268,11
04-05,0011,01,ANOKA-HENNEPIN,02,193,OAK VIEW MID.,02,1231,96,39,0,138,1231,96,39,0,138,11
04-05,0011,01,ANOKA-HENNEPIN,02,195,ROOSEVELT MID.,02,1189,170,81,118,120,1189,170,81,118,120,11
