DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,01        ,1,5,77,75,43,35,50,53,457,470,628,638,339,1266,District,EC-12,  , ,  
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,02        ,6,3,66,80,35,43,68,48,482,439,657,613,349,1270,District,EC-12,  , ,  
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,03        ,3,6,77,69,38,31,58,45,476,430,652,581,327,1233,District,EC-12,  , ,  
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,04        ,8,0,68,57,34,36,69,61,484,474,663,628,333,1291,District,EC-12,  , ,  
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,05        ,3,2,69,62,38,39,51,55,451,506,612,664,319,1276,District,EC-12,  , ,  
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,06        ,4,4,50,59,37,46,60,46,495,477,646,632,306,1278,District,EC-12,  , ,  
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,07        ,0,4,62,62,41,37,61,34,525,503,689,640,301,1329,District,EC-12,  , ,  
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,08        ,3,4,66,49,41,29,58,37,494,482,662,601,287,1263,District,EC-12,  , ,  
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,09        ,3,3,52,53,36,37,60,56,583,515,734,664,300,1398,District,EC-12,  , ,  
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,10        ,2,2,50,53,38,33,56,52,542,522,688,662,286,1350,District,EC-12,  , ,  
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,11        ,3,5,66,44,36,31,52,41,517,493,674,614,278,1288,District,EC-12,  , ,  
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,12        ,4,3,47,53,43,34,47,33,545,519,686,642,264,1328,District,EC-12,  , ,  
10-11,82,Washington                                   ,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,000, ,11,11,All Grades,42,44,822,787,510,462,765,602,6633,6340,8772,8235,4034,17007,District,EC-12,  , ,  
10-11,82,Washington                                   ,0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,000, ,11,11,EC        ,0,0,7,5,6,4,4,2,62,47,79,58,28,137,District,EC-12,  , ,  
