DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,01        ,2724,687,218,317,293,293,2724,687,218,317,293,293,  , ,EC-12,  
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,02        ,2699,675,216,321,290,309,2699,675,216,321,290,309,  , ,EC-12,  
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,03        ,2665,688,241,300,266,327,2665,688,241,300,266,327,  , ,EC-12,  
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,04        ,2822,681,237,264,254,403,2822,681,237,264,254,403,  , ,EC-12,  
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,05        ,2750,664,239,203,186,370,2750,664,239,203,186,370,  , ,EC-12,  
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,06        ,2871,661,262,175,152,391,2871,661,262,175,152,391,  , ,EC-12,  
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,07        ,2927,666,252,142,115,333,2927,666,252,142,115,333,  , ,EC-12,  
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,08        ,2972,650,233,128,105,330,2972,650,233,128,105,330,  , ,EC-12,  
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,09        ,3207,662,261,129,115,335,3207,662,261,129,115,335,  , ,EC-12,  
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,10        ,3177,625,254,106,93,331,3177,625,254,106,93,331,  , ,EC-12,  
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,11        ,3230,616,233,74,66,314,3230,616,233,74,66,314,  , ,EC-12,  
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,12        ,3726,708,248,85,81,625,3726,708,248,85,81,625,  , ,EC-12,  
10-11,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11 ,All Grades,38334,8625,3106,2538,2284,4599,39106,8753,3115,2538,2284,5371,  , ,EC-12,  
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,EC        ,NULL,NULL,NULL,NULL,NULL,NULL,90,17,5,NULL,NULL,90,  , ,EC-12,  
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,KG        ,386,46,13,12,12,38,386,46,13,12,12,38,  , ,EC-12,  
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,01        ,474,64,18,13,13,38,474,64,18,13,13,38,  , ,EC-12,  
10-11,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11 ,02        ,455,53,18,11,11,46,455,53,18,11,11,46,  , ,EC-12,  
