Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,GNS Average Score,GPFA Average Score,GDSP Average Score,GSGM Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification
13-Dec,21,Douglas,207,1,BRANDON PUBLIC SCHOOL DISTRICT,0,All Schools,4,4,GRAD,20130416,11,M,1,All Categories,All Students,N,24,17,7,70.8,29.2,52.6,5.6,11.3,7.9,5.8,12.6,2.6,47.6-57.6,0,0,0,0,0,0,0,25,274,9,Y,,,0
13-Dec,21,Douglas,213,1,OSAKIS PUBLIC SCHOOL DISTRICT,0,All Schools,4,4,GRAD,20130416,11,M,1,All Categories,All Students,N,76,62,14,81.6,18.4,60.1,6.3,12.3,8.2,7.2,12.6,1.4,57.3-62.9,0,0,0,0,0,0,0,82,849,9,Y,,,0
13-Dec,55,Olmsted,227,1,CHATFIELD PUBLIC SCHOOLS,0,All Schools,10,10,GRAD,20130416,11,M,1,All Categories,All Students,N,59,42,17,71.2,28.8,55.5,5.9,11.8,7.9,6.5,12.3,1.6,52.4-58.6,0,0,0,0,0,0,0,59,900,9,Y,,,0
13-Dec,23,Fillmore,229,1,LANESBORO PUBLIC SCHOOL DISTRICT,0,All Schools,10,10,GRAD,20130416,11,M,1,All Categories,All Students,N,18,14,4,77.8,22.2,55.1,6,12.1,7.9,6.3,9.6,2.3,50.7-59.5,0,0,0,0,0,0,0,20,333,9,Y,,,0
13-Dec,23,Fillmore,238,1,MABEL-CANTON PUBLIC SCHOOL DIST.,0,All Schools,10,10,GRAD,20130416,11,M,1,All Categories,All Students,N,30,24,6,80,20,55.5,6.1,12,7.9,6.6,9.4,1.7,52.1-58.9,0,0,0,0,0,0,0,28,257,9,Y,,,0
13-Dec,23,Fillmore,239,1,RUSHFORD-PETERSON PUBLIC SCHOOLS,0,All Schools,10,10,GRAD,20130416,11,M,1,All Categories,All Students,N,40,32,8,80,20,56,6.1,12.2,8.2,6,11.3,1.8,52.5-59.5,0,0,0,0,0,0,0,43,653,9,Y,,,0
13-Dec,24,Freeborn,241,1,ALBERT LEA PUBLIC SCHOOL DISTRICT,0,All Schools,10,10,GRAD,20130416,11,M,1,All Categories,All Students,N,201,123,78,61.2,38.8,52.9,5.6,11,7.4,6.1,13,0.9,51.1-54.7,2,1,1,1,0,0,0,228,3217,9,Y,,,0
13-Dec,24,Freeborn,242,1,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,0,All Schools,10,10,GRAD,20130416,11,M,1,All Categories,All Students,N,24,17,7,70.8,29.2,54.8,5.8,12,8,5.9,11.5,2.4,50.2-59.4,0,0,0,0,0,0,0,29,499,9,Y,,,0
13-Dec,25,Goodhue,252,1,CANNON FALLS PUBLIC SCHOOL DISTRICT,0,All Schools,10,10,GRAD,20130416,11,M,1,All Categories,All Students,N,96,62,34,64.6,35.4,52.8,5.5,11.1,7.6,6,12.1,1.2,50.4-55.2,0,0,0,0,0,0,0,102,1164,9,Y,,,0
13-Dec,25,Goodhue,253,1,GOODHUE PUBLIC SCHOOL DISTRICT,0,All Schools,10,10,GRAD,20130416,11,M,1,All Categories,All Students,N,50,27,23,54,46,49.2,5.2,10.7,6.5,5.4,12,1.7,45.9-52.5,0,0,0,0,0,0,0,49,655,9,Y,,,0
13-Dec,25,Goodhue,255,1,PINE ISLAND PUBLIC SCHOOL DIST.,0,All Schools,10,10,GRAD,20130416,11,M,1,All Categories,All Students,N,77,58,19,75.3,24.7,57.7,5.9,11.7,7.7,6.8,15.7,1.8,54.2-61.2,1,0,0,0,0,0,0,75,1153,9,Y,,,0
13-Dec,25,Goodhue,256,1,RED WING PUBLIC SCHOOL DISTRICT,0,All Schools,10,10,GRAD,20130416,11,M,1,All Categories,All Students,N,220,143,77,65,35,53.2,5.7,11.5,7.7,5.9,11.2,0.8,51.7-54.7,1,0,0,0,0,0,0,229,2777,9,Y,,,0
13-Dec,26,Grant,261,1,ASHBY PUBLIC SCHOOL DISTRICT,0,All Schools,4,4,GRAD,20130416,11,M,1,All Categories,All Students,N,20,11,9,55,45,51,5.6,11.3,6.8,5.6,11.3,2.5,46.1-55.9,0,0,0,0,0,0,0,19,245,9,Y,,,0
13-Dec,26,Grant,264,1,HERMAN-NORCROSS SCHOOL DISTRICT,0,All Schools,4,4,GRAD,20130416,11,M,1,All Categories,All Students,Y,4,,,,,,,,,,,,,,,,,,,,6,93,9,Y,,,0
13-Dec,27,Hennepin,270,1,HOPKINS PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,572,396,176,69.2,30.8,54.7,5.7,11.5,7.7,6.4,13.3,0.6,53.6-55.8,5,1,0,0,0,0,0,599,6942,9,Y,,,0
13-Dec,27,Hennepin,271,1,BLOOMINGTON PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,728,529,199,72.7,27.3,56.6,5.8,11.9,7.8,6.6,13.5,0.5,55.6-57.6,2,2,0,1,0,0,0,771,10265,9,Y,,,0
13-Dec,27,Hennepin,272,1,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,673,517,156,76.8,23.2,57.9,6,12.1,7.9,6.9,13.4,0.5,56.9-58.9,4,0,0,0,0,0,0,703,9144,9,Y,,,0
