districtNumber,districtType,districtName,year,averageScore,percentPassed
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2012,53,85.7
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2012,59.7,90.9
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2012,57.3,82
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2012,57,84.4
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2012,57.3,87.5
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2012,62.7,97.3
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2012,60.3,90.2
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2012,60.9,91.9
0836,01,BUTTERFIELD PUBLIC SCHOOL DISTRICT,2012,53.3,73.3
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2012,50.8,61.8
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2012,51.9,64.6
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2012,54.6,73.1
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2012,65.3,90
0852,01,CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,2012,NA,NA
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DIST.,2012,53.7,70.1
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2012,59.7,88.9
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2012,55.9,77.4
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2012,59.2,92.4
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2012,58.5,88.3
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2012,59.5,89.4
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2012,59,89.4
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2012,57.7,86.8
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2012,56.2,82.7
