Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,VESS Average Score,CSPSS Average Score,LSS Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification
9-Aug,64,Redwood,2897,1,REDWOOD AREA SCHOOL DISTRICT,0,All Schools,6,8,GRAD,20090413,10,R,1,All Categories,All Students,N,121,97,24,80.2,19.8,56.4,7.2,21,3,12.1,1.1,54.2-58.6,0,0,0,1,0,0,0,127,1233,9,Y,64,Redwood,0
9-Aug,17,Cottonwood,2898,1,WESTBROOK-WALNUT GROVE SCHOOLS,0,All Schools,6,8,GRAD,20090413,10,R,1,All Categories,All Students,N,49,27,22,55.1,44.9,49.8,6.2,18.5,2.6,11.8,1.7,46.5-53.1,0,0,0,0,0,0,0,50,548,9,Y,17,Cottonwood,0
9-Aug,79,Wabasha,2899,1,PLAINVIEW-ELGIN-MILLVILLE,0,All Schools,10,10,GRAD,20090413,10,R,1,All Categories,All Students,N,128,110,18,85.9,14.1,59.4,7.5,22.1,3.2,11.7,1,57.4-61.4,0,0,0,0,0,0,0,131,1572,9,Y,79,Wabasha,0
9-Aug,41,Lincoln,2902,1,RTR PUBLIC SCHOOLS,0,All Schools,6,8,GRAD,20090413,10,R,1,All Categories,All Students,N,51,44,7,86.3,13.7,59.8,7.8,22.3,3.3,9.8,1.4,57.1-62.5,0,0,0,0,0,0,0,53,553,9,Y,41,Lincoln,0
9-Aug,62,Ramsey,4000,7,CITY ACADEMY,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,Y,3,,,,,,,,,,,,,,,,,,,1,133,9,Y,62,Ramsey,0
9-Aug,82,Washington,4003,7,"NEW HEIGHTS SCHOOL, INC.",0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,16,8,8,50,50,49.3,5.7,18.3,2.4,13.8,3.4,42.6-56.0,0,0,0,0,0,0,0,15,124,9,Y,82,Washington,0
9-Aug,62,Ramsey,4006,7,SKILLS FOR TOMORROW CHARTER SCHOOL,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,14,6,8,42.9,57.1,45.8,5.8,16.8,2.5,12.4,3.3,39.3-52.3,0,0,0,1,0,0,3,18,63,9,Y,62,Ramsey,0
9-Aug,72,Sibley,4007,7,MINNESOTA NEW COUNTRY SCHOOL,0,All Schools,9,9,GRAD,20090413,10,R,1,All Categories,All Students,N,14,9,5,64.3,35.7,55.5,7.1,20.4,2.8,13.5,3.6,48.4-62.6,0,0,0,1,0,0,0,17,111,9,Y,72,Sibley,0
9-Aug,2,Anoka,4008,7,PACT CHARTER SCHOOL,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,49,42,7,85.7,14.3,59.4,7.8,22.1,3.2,11,1.6,56.3-62.5,0,0,0,0,0,0,0,50,575,9,Y,2,Anoka,0
9-Aug,62,Ramsey,4015,7,COMMUNITY OF PEACE ACADEMY,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,46,28,18,60.9,39.1,49.6,6,19,2.7,9.3,1.4,46.9-52.3,0,0,0,0,0,0,0,48,662,9,Y,62,Ramsey,0
9-Aug,27,Hennepin,4017,7,MINNESOTA TRANSITIONS CHARTER SCH,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,310,196,114,63.2,36.8,52,6.8,19.2,2.7,12.8,0.7,50.6-53.4,7,1,1,5,0,0,2,307,3263,9,Y,27,Hennepin,0
9-Aug,87,Yellow Medicine,4026,7,E.C.H.O. CHARTER SCHOOL,0,All Schools,6,06W,GRAD,20090413,10,R,1,All Categories,All Students,N,18,11,7,61.1,38.9,50.4,6.7,17.9,2.7,13.9,3.3,44.0-56.8,0,0,0,0,0,0,0,18,185,9,Y,87,Yellow Medicine,0
9-Aug,62,Ramsey,4027,7,HIGHER GROUND ACADEMY,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,30,23,7,76.7,23.3,57.8,7.2,20.6,3,17.1,3.1,51.7-63.9,0,0,0,0,0,0,4,31,569,9,Y,62,Ramsey,0
9-Aug,64,Redwood,4028,7,ECI' NOMPA WOONSPE,0,All Schools,6,8,GRAD,20090413,10,R,1,All Categories,All Students,Y,5,,,,,,,,,,,,,,,,,,,2,25,9,Y,64,Redwood,0
9-Aug,62,Ramsey,4031,7,JENNINGS COMMUNITY LEARNING CENTER,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,Y,5,,,,,,,,,,,,,,,,,,,8,46,9,Y,62,Ramsey,0
9-Aug,62,Ramsey,4036,7,FACE TO FACE ACADEMY,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,19,7,12,36.8,63.2,44.9,5.4,16.4,2.2,9.3,2.1,40.7-49.1,0,0,0,1,0,0,0,21,68,9,Y,62,Ramsey,0
9-Aug,62,Ramsey,4039,7,HIGH SCHOOL FOR RECORDING ARTS,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,51,18,33,35.3,64.7,43.1,5.6,15.5,2,12,1.7,39.8-46.4,0,0,0,2,0,0,0,73,225,9,Y,62,Ramsey,0
