districtNumber,districtType,districtName,year,averageScore,percentPassed
0671,01,Hills-Beaver Creek School District,2011,52.8,55.2
0676,01,Badger Public School District,2011,63.6,93.8
0682,01,Roseau Public School District,2011,56.3,67.9
0690,01,Warroad Public School District,2011,47.3,43.2
0695,01,Chisholm Public School District,2011,51.2,52.3
0696,01,Ely Public School District,2011,47.9,51
0698,01,Floodwood Public School District,2011,44.4,32
0700,01,Hermantown Public School District,2011,52,60.5
0701,01,Hibbing Public School District,2011,50.7,50
0704,01,Proctor Public School District,2011,49.9,52.3
0706,01,Virginia Public School District,2011,50.6,50.4
0709,01,Duluth Public School District,2011,50.2,52.4
0712,01,Mountain Iron-Buhl School District,2011,42.5,26.2
0716,01,Belle Plaine Public School District,2011,54.4,64.9
0717,01,Jordan Public School District,2011,48.9,48.4
0719,01,Prior Lake-Savage Area Schools,2011,55.9,71.8
0720,01,Shakopee Public School District,2011,52.6,63.4
0721,01,New Prague Area Schools,2011,53.4,64.8
0726,01,Becker Public School District,2011,55.9,71
0727,01,Big Lake Public School District,2011,51.7,58.1
0728,01,Elk River Public School District,2011,53,64.8
0738,01,Holdingford Public School District,2011,51,52.6
0739,01,Kimball Public School District,2011,48.1,50
0740,01,Melrose Public School District,2011,53.2,68.3
0741,01,Paynesville Public School District,2011,53.3,63.6
0742,01,St. Cloud Public School District,2011,47.9,47.7
0743,01,Sauk Centre Public School District,2011,55.9,75.6
0745,01,Albany Public School District,2011,55.3,73.3
0748,01,Sartell-St. Stephen School District,2011,58,81.6
0750,01,Rocori Public School District,2011,55.8,67.4
0756,01,Blooming Prairie Public School Dist,2011,54.6,64.9
0761,01,Owatonna Public School District,2011,54.2,67.3
0763,01,Medford Public School District,2011,50.7,56.1
0768,01,Hancock Public School District,2011,62.3,90.5
0769,01,Morris Public School District,2011,55.7,70.1
0771,01,Chokio-Alberta Public School Dist.,2011,58.1,80
0775,01,Kerkhoven-Murdock-Sunburg,2011,49.1,48.6
0777,01,Benson Public School District,2011,50.5,46.3
0786,01,Bertha-Hewitt Public School Dist.,2011,49.2,51.4
0787,01,Browerville Public School District,2011,51.1,48.8
0803,01,Wheaton Area Public School District,2011,55.3,71.1
0811,01,Wabasha-Kellogg Public School Dist.,2011,52.9,65.4
0813,01,Lake City Public School District,2011,53.7,65.9
0818,01,Verndale Public School District,2011,49.9,45.5
0820,01,Sebeka Public School District,2011,60.2,84
0821,01,Menahga Public School District,2011,55.3,68.4
0829,01,Waseca Public School District,2011,55,74.8
0831,01,Forest Lake Public School District,2011,55.7,72.6
0832,01,Mahtomedi Public School District,2011,60.8,83
0833,01,South Washington County School Dist,2011,57.8,76.1
0834,01,Stillwater Area Public School Dist.,2011,56.6,74.4
0836,01,Butterfield Public School District,2011,46,33.3
0837,01,Madelia Public School District,2011,47.1,40
0840,01,St. James Public School District,2011,49.5,51.2
0846,01,Breckenridge Public School District,2011,47.5,42
0850,01,Rothsay Public School District,2011,48.6,47.1
0852,01,Campbell-Tintah Public School Dist.,2011,NA,NA
0857,01,Lewiston-Altura Public School Dist.,2011,51.9,53.4
0858,01,St. Charles Public School District,2011,55.3,73.6
0861,01,Winona Area Public School District,2011,46.6,43.7
0876,01,Annandale Public School District,2011,53,62.1
0877,01,Buffalo-Hanover-Montrose Public Sch,2011,53.7,64.4
0879,01,Delano Public School District,2011,57.9,77.8
0881,01,Maple Lake Public School District,2011,53.6,58.8
0882,01,Monticello Public School District,2011,53.2,62.3
0883,01,Rockford Public School District,2011,53.5,63.9
0885,01,St. Michael-Albertville School Dist,2011,55.7,66.4
0891,01,Canby Public School District,2011,47.9,45.9
0911,01,Cambridge-Isanti Public School Dist,2011,52.3,59.7
0912,01,Milaca Public School District,2011,49.6,47.6
0914,01,Ulen-Hitterdal Public School Dist,2011,58.2,68.4
0915,52,Southern Plains Education Coop.,2011,37.8,0
0916,06,Northeast Metro 916,2011,33.8,3.8
0917,06,Intermediate School District 917,2011,35.2,7.2
0926,83,Region 4-Lakes Country Service Coop,2011,NA,NA
0930,53,Carver-Scott Educational Coop.,2011,36.1,5.2
0938,52,Meeker And Wright Special Education,2011,NA,NA
0957,51,Oak Land Vocational Cooperatve,2011,36,4.3
