districtNumber,districtType,districtName,year,percentEng
0630,01,RED LAKE FALLS PUBLIC SCHOOL DISTRICT,2007,1
0635,01,MILROY PUBLIC SCHOOL DISTRICT,2007,0.947368421052632
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2007,1
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2007,0.811689961880559
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2007,0.910883482714469
0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT,2007,1
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2007,1
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2007,0.999259807549963
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2007,0.932692307692308
0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT,2007,0.998624484181568
0696,01,ELY PUBLIC SCHOOL DISTRICT,2007,1
0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT,2007,0.994778067885117
0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT,2007,1
0701,01,HIBBING PUBLIC SCHOOL DISTRICT,2007,0.995969367190649
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2007,0.998262883613202
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2007,0.994271164863144
0707,01,NETT LAKE PUBLIC SCHOOL DISTRICT,2007,1
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2007,0.991674828599412
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2007,1
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2007,0.973509933774834
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2007,0.946959896507115
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2007,0.96004303058245
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2007,0.771251931993818
0721,01,NEW PRAGUE AREA SCHOOLS,2007,0.995589532490444
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2007,0.984222389181067
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2007,0.964739069111425
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2007,0.962203389830508
