districtName,actCode,year,score
Yellow Medicine East Sd 2190,247928,2018,18.6
Zumbrota-Mazeppa Isd 2805,247854,2018,20.3
Ada-Borup School District 2854,247550,2017,21.2
Adrian Ind School District 511,247544,2017,21.2
Aitkin Ind School District 1,247002,2017,21.2
Albany Area Sch District 745,247788,2017,22
Albert Lea Area Schools,247246,2017,19.8
Alden-Conger Ind Sch Dist 242,247248,2017,19.7
Alexandria Ind School Dist 206,247200,2017,21.3
Annandale Ind School Dist 876,247906,2017,21.8
Anoka-Hennepin Ind Sch Dist 11,247008,2017,20.8
Ashby Ind School District 261,247270,2017,19.5
Atwater-Cosmos-Grove City Sd,247358,2017,19.3
Austin Ind School District 492,247518,2017,19.7
Badger Ind School District 676,247716,2017,19.4
Bagley Ind School District 162,247146,2017,19.2
Barnesville Ind Sch Dist 146,247132,2017,21.7
Barnum Ind School District 91,247076,2017,18.5
Battle Lake Ind Sch Dist 542,247572,2017,22
Becker Ind School District 726,247770,2017,20.7
Belgrade-Brootn-Elrosa Sd 2364,247790,2017,19.5
Belle Plaine Ind Sch Dist 716,247760,2017,20.7
Bemidji Ind School District 31,247030,2017,21.7
Benson Ind School District 777,247826,2017,21.4
Bertha-Hewitt Ind Sch Dist 786,247830,2017,18.7
Big Lake Ind School Dist 727,247772,2017,20.3
Blackduck Ind School Dist 32,247032,2017,18.7
Blooming Prairie Ind Sd 756,247810,2017,20.3
Bloomington Pub Sch Dist 271,247280,2017,22.1
Blue Earth Area Ind Sd 2860,247210,2017,20.3
Bold School District,247682,2017,19.6
Braham Ind School District 314,247332,2017,20
Brainerd Ind School Dist 181,247162,2017,21.9
Brandon-Evansville Isd 2908,247202,2017,19.7
Breckenridge Ind Sch Dist 846,247892,2017,20.4
Brooklyn Center Ind Sd 286,247282,2017,17.2
Browerville Ind Sch Dist 787,247832,2017,18.7
Buffalo Hanover Montrose Sd,247908,2017,21.1
Buffalo Lake-Hector Isd 2159,247692,2017,19
Burnsville-Eagan-Savage Sd 191,247170,2017,21.2
Butterfield-Odin Ind Sd 836,247886,2017,19.2
Byron Ind School District 531,247562,2017,22.1
Caledonia Ind School Dist 299,247316,2017,21.6
Cambridge-Isanti Sch Dist 911,247334,2017,20.2
Campbell-Tintah Ind Sd 852,247894,2017,NA
Canby Ind School District 891,247922,2017,21
Cannon Falls Ind Sch Dist 252,247256,2017,21.5
Carlton Ind School District 93,247078,2017,19.7
Cass Lake-Bena Ind Sd 115,247106,2017,16.9
Cedar Mountain Sch Dist 2754,247672,2017,18.7
Centennial Ind School Dist 12,247010,2017,22.5
