districtNumber,districtType,districtName,year,percentTakers
0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT,2018,0.26153846153846155
0803,01,WHEATON AREA PUBLIC SCHOOL DISTRICT,2018,0.3218390804597701
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DIST.,2018,0.3219178082191781
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2018,0.28762541806020064
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2018,0.3170731707317073
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2018,0.23529411764705882
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2018,0.21965317919075145
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2018,0.2891089108910891
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2018,0.2818411097099622
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2018,0.31767337807606266
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2018,0.30828292228943693
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2018,0.31091662828189776
0836,01,BUTTERFIELD PUBLIC SCHOOL DISTRICT,2018,0.1864406779661017
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2018,0.25517241379310346
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2018,0.2764227642276423
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2018,0.2849740932642487
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2018,0.3448275862068966
0852,01,CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,2018,0.36363636363636365
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DIST.,2018,0.20603015075376885
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2018,0.2971698113207547
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2018,0.2743362831858407
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2018,0.2817955112219451
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2018,0.2795470629865534
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2018,0.3142857142857143
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2018,0.27802690582959644
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2018,0.2448087431693989
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2018,0.3064066852367688
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2018,0.28336755646817247
0891,01,CANBY PUBLIC SCHOOL DISTRICT,2018,0.3381294964028777
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,2018,0.28730703259005147
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2018,0.28603603603603606
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DIST,2018,0.2459016393442623
0966,51,WRIGHT TECHNICAL CENTER,2018,0.08602150537634409
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2018,0.291005291005291
2125,01,TRITON SCHOOL DISTRICT,2018,0.26422764227642276
2134,01,UNITED SOUTH CENTRAL SCHOOL DIST.,2018,0.36220472440944884
2135,01,MAPLE RIVER SCHOOL DISTRICT,2018,0.3442622950819672
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2018,0.2608695652173913
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2018,0.20286396181384247
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,2018,0.304635761589404
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2018,0.35970333745364647
2149,01,MINNEWASKA SCHOOL DISTRICT,2018,0.29880478087649404
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2018,0.2815533980582524
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2018,0.2995391705069124
2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SC,2018,0.23636363636363636
2164,01,DILWORTH-GLYNDON-FELTON,2018,0.3554006968641115
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2018,0.2028985507246377
2167,01,LAKEVIEW SCHOOL DISTRICT,2018,0.3522727272727273
2168,01,NRHEG SCHOOL DISTRICT,2018,0.3401015228426396
2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST.,2018,0.2484472049689441
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2018,0.1948529411764706
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2018,0.38095238095238093
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2018,0.25380710659898476
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2018,0.21428571428571427
2176,01,WARREN-ALVARADO-OSLO SCHOOL DIST.,2018,0.25842696629213485
2180,01,MACCRAY SCHOOL DISTRICT,2018,0.33613445378151263
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2018,0.281786941580756
2190,01,YELLOW MEDICINE EAST,2018,0.38650306748466257
2198,01,FILLMORE CENTRAL,2018,0.32666666666666666
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2018,0.25
2310,01,SIBLEY EAST SCHOOL DISTRICT,2018,0.34275618374558303
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2018,0.2777777777777778
2342,01,WEST CENTRAL AREA,2018,0.34
2358,01,TRI-COUNTY SCHOOL DISTRICT,2018,0.38
2364,01,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2018,0.3141025641025641
2365,01,G.F.W.,2018,0.2937853107344633
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2018,0.23809523809523808
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2018,0.2375
