dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
00-01,0300,01,LACRESCENT-HOKAH,04,28,10,0,0,0,0,0,0,2,0,50,53,52,53,2,105,10
00-01,0300,01,LACRESCENT-HOKAH,05,28,10,0,0,0,1,0,0,2,1,65,49,67,51,4,118,10
00-01,0300,01,LACRESCENT-HOKAH,06,28,10,1,0,2,0,0,0,1,2,54,68,58,70,6,128,10
00-01,0300,01,LACRESCENT-HOKAH,07,28,10,0,0,0,0,0,1,2,1,78,63,80,65,4,145,10
00-01,0300,01,LACRESCENT-HOKAH,08,28,10,0,0,1,0,0,1,0,0,81,69,82,70,2,152,10
00-01,0300,01,LACRESCENT-HOKAH,09,28,10,0,1,0,0,0,0,1,1,82,88,83,90,3,173,10
00-01,0300,01,LACRESCENT-HOKAH,10,28,10,0,0,2,0,0,0,1,0,83,78,86,78,3,164,10
00-01,0300,01,LACRESCENT-HOKAH,11,28,10,0,0,2,0,0,0,0,1,80,86,82,87,3,169,10
00-01,0300,01,LACRESCENT-HOKAH,12,28,10,0,0,0,2,0,0,1,0,66,74,67,76,3,143,10
00-01,0300,01,LACRESCENT-HOKAH,KG,28,10,0,0,0,1,0,0,1,1,42,34,43,36,3,79,10
00-01,0300,01,LACRESCENT-HOKAH,PK,28,10,0,0,0,0,0,0,1,0,10,7,11,7,1,18,10
00-01,0306,01,LAPORTE,01,29,01,1,0,0,0,0,1,0,1,10,4,11,6,3,17,02
00-01,0306,01,LAPORTE,02,29,01,1,0,0,0,0,1,0,0,5,8,6,9,2,15,02
00-01,0306,01,LAPORTE,03,29,01,1,1,0,0,0,0,0,0,10,13,11,14,2,25,02
00-01,0306,01,LAPORTE,04,29,01,3,1,1,0,0,0,0,0,12,6,16,7,5,23,02
00-01,0306,01,LAPORTE,05,29,01,2,0,0,1,0,0,0,0,11,11,13,12,3,25,02
00-01,0306,01,LAPORTE,06,29,01,2,2,0,0,0,0,0,0,10,17,12,19,4,31,02
00-01,0306,01,LAPORTE,07,29,01,3,3,1,0,0,0,0,0,16,12,20,15,7,35,02
00-01,0306,01,LAPORTE,08,29,01,4,1,0,0,0,0,0,0,10,17,14,18,5,32,02
00-01,0306,01,LAPORTE,09,29,01,1,1,0,0,0,0,0,0,12,9,13,10,2,23,02
00-01,0306,01,LAPORTE,10,29,01,3,3,0,1,0,0,0,0,12,18,15,22,7,37,02
00-01,0306,01,LAPORTE,11,29,01,1,0,0,0,0,0,0,0,23,17,24,17,1,41,02
00-01,0306,01,LAPORTE,12,29,01,3,3,0,0,0,0,0,0,17,14,20,17,6,37,02
00-01,0306,01,LAPORTE,KG,29,01,1,1,0,0,0,0,0,0,11,9,12,10,2,22,02
00-01,0306,01,LAPORTE,PK,29,01,0,0,0,0,0,0,0,1,0,2,0,3,1,3,02
00-01,0308,01,NEVIS,01,29,01,0,0,0,0,0,2,0,1,14,11,14,14,3,28,02
00-01,0308,01,NEVIS,02,29,01,1,0,0,0,0,0,0,0,22,13,23,13,1,36,02
00-01,0308,01,NEVIS,03,29,01,1,0,0,0,0,0,0,0,19,14,20,14,1,34,02
00-01,0308,01,NEVIS,04,29,01,1,0,0,0,0,1,1,0,18,18,20,19,3,39,02
00-01,0308,01,NEVIS,05,29,01,0,1,0,0,1,0,0,0,14,17,15,18,2,33,02
00-01,0308,01,NEVIS,06,29,01,2,0,0,0,0,0,0,0,25,14,27,14,2,41,02
00-01,0308,01,NEVIS,07,29,01,0,1,0,0,1,1,2,1,19,21,22,24,6,46,02
