DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,Total_Male,Total_Female,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,07,0,1,0,0,0,0,3,0,17,18,20,19,4,39,District,EC-12,,,
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,08,2,4,0,0,1,0,2,0,20,23,25,27,9,52,District,EC-12,,,
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,09,2,0,0,0,1,0,4,0,23,17,30,17,7,47,District,EC-12,,,
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,10,2,0,0,0,0,0,1,2,18,19,21,21,5,42,District,EC-12,,,
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,11,3,1,0,0,1,0,1,0,26,22,31,23,6,54,District,EC-12,,,
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,12,1,0,1,0,0,0,0,0,28,18,30,18,2,48,District,EC-12,,,
09-10,04,Beltrami,0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,000,,01,02,All Grades,27,14,3,0,9,3,15,4,296,267,350,288,75,638,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,EC,0,0,0,0,0,0,0,0,3,1,3,1,0,4,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,KG,5,5,0,0,0,0,0,1,4,7,9,13,11,22,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,01,2,4,0,0,0,0,0,0,5,1,7,5,6,12,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,02,0,4,0,0,0,0,0,0,5,8,5,12,4,17,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,03,1,5,0,0,0,0,0,0,7,2,8,7,6,15,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,04,3,5,0,0,0,0,0,0,6,3,9,8,8,17,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,05,3,3,0,0,0,0,0,0,7,4,10,7,6,17,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,06,3,1,0,0,0,0,0,0,6,7,9,8,4,17,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,07,4,3,0,0,0,0,0,0,8,3,12,6,7,18,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,08,2,3,0,0,0,0,0,0,7,3,9,6,5,15,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,09,2,5,0,0,0,0,0,0,7,6,9,11,7,20,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,10,1,2,0,0,0,0,1,0,8,7,10,9,4,19,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,11,2,0,0,0,0,0,0,0,6,8,8,8,2,16,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,12,2,0,0,0,0,0,0,0,6,7,8,7,2,15,District,EC-12,,,
09-10,04,Beltrami,0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,000,,01,02,All Grades,30,40,0,0,0,0,1,1,85,67,116,108,72,224,District,EC-12,,,
09-10,04,Beltrami,0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,000,,01,02,EC,29,14,0,0,0,0,0,0,0,0,29,14,43,43,District,EC-12,,,
09-10,04,Beltrami,0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,000,,01,02,KG,64,75,0,0,0,0,0,0,0,0,64,75,139,139,District,EC-12,,,
09-10,04,Beltrami,0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,000,,01,02,01,86,67,0,0,0,0,0,0,0,0,86,67,153,153,District,EC-12,,,
09-10,04,Beltrami,0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,000,,01,02,02,54,65,0,0,0,0,0,0,0,0,54,65,119,119,District,EC-12,,,
