DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,04        ,7,3,0,0,0,1,0,0,16,10,23,14,11,37,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,05        ,2,1,0,0,0,1,0,0,6,9,8,11,4,19,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,06        ,2,3,0,0,0,0,0,0,14,6,16,9,5,25,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,07        ,4,2,0,0,1,0,0,0,14,10,19,12,7,31,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,08        ,3,1,0,0,0,0,0,0,10,10,13,11,4,24,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,09        ,1,3,0,0,0,0,0,0,12,13,13,16,4,29,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,10        ,1,1,0,0,0,0,0,0,10,14,11,15,2,26,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,11        ,3,0,0,0,0,0,0,0,17,13,20,13,3,33,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,12        ,2,3,0,0,0,0,0,0,18,18,20,21,5,41,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,3,All Grades,42,26,0,1,2,3,0,0,164,150,208,180,74,388,District,EC-12,  , ,  
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,EC        ,1,0,0,1,7,3,4,4,34,17,46,25,20,71,District,EC-12,  , ,  
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,KG        ,1,2,1,3,40,35,13,12,99,87,154,139,107,293,District,EC-12,  , ,  
11-12,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,01        ,3,2,1,2,26,26,15,9,86,79,131,118,84,249,District,EC-12,  , ,  
