DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,12,243,53,21,,,28,243,53,21,,,28,, ,EC-12,
12-13,19,Dakota                                       ,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,000, ,11,11,All Grades,3301,1182,306,205,205,472,3371,1208,308,205,205,542,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,EC,,,,,,,736,171,11,,,736,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,KG,2681,763,195,302,276,310,2681,763,195,302,276,310,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,01,2678,755,206,292,281,352,2678,755,206,292,281,352,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,02,2660,726,213,315,302,318,2660,726,213,315,302,318,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,03,2745,730,237,334,322,320,2745,730,237,334,322,320,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,04,2760,755,227,291,283,436,2760,755,227,291,283,436,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,05,2665,692,212,231,224,388,2665,692,212,231,224,388,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,06,2851,706,235,211,186,411,2851,706,235,211,186,411,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,07,2822,697,231,166,152,368,2822,697,231,166,152,368,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,08,2973,702,236,127,114,393,2973,702,236,127,114,393,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,09,3002,662,264,98,82,331,3002,662,264,98,82,331,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,10,3074,697,231,94,88,319,3074,697,231,94,88,319,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,11,3135,653,206,66,64,332,3135,653,206,66,64,332,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,12,3621,774,215,96,91,607,3621,774,215,96,91,607,, ,EC-12,
12-13,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,000, ,11,11,All Grades,37667,9312,2908,2623,2465,4885,38403,9483,2919,2623,2465,5621,, ,EC-12,
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,EC,,,,,,,85,22,1,,,85,, ,EC-12,
12-13,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,KG,450,77,17,13,13,40,450,77,17,13,13,40,, ,EC-12,
