GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH40E001,NAME_M,AH40M001
G2700450,2013-2017,,,Minnesota,27,Fillmore County,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fillmore County, Minnesota",1964,"Fillmore County, Minnesota",2
G2700470,2013-2017,,,Minnesota,27,Freeborn County,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Freeborn County, Minnesota",1958,"Freeborn County, Minnesota",1
G2700490,2013-2017,,,Minnesota,27,Goodhue County,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodhue County, Minnesota",1973,"Goodhue County, Minnesota",1
G2700510,2013-2017,,,Minnesota,27,Grant County,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Minnesota",1966,"Grant County, Minnesota",5
G2700530,2013-2017,,,Minnesota,27,Hennepin County,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hennepin County, Minnesota",1970,"Hennepin County, Minnesota",1
G2700550,2013-2017,,,Minnesota,27,Houston County,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Minnesota",1971,"Houston County, Minnesota",2
G2700570,2013-2017,,,Minnesota,27,Hubbard County,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hubbard County, Minnesota",1984,"Hubbard County, Minnesota",2
G2700590,2013-2017,,,Minnesota,27,Isanti County,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Isanti County, Minnesota",1985,"Isanti County, Minnesota",2
G2700610,2013-2017,,,Minnesota,27,Itasca County,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Itasca County, Minnesota",1977,"Itasca County, Minnesota",1
G2700630,2013-2017,,,Minnesota,27,Jackson County,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Minnesota",1956,"Jackson County, Minnesota",2
G2700650,2013-2017,,,Minnesota,27,Kanabec County,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kanabec County, Minnesota",1979,"Kanabec County, Minnesota",1
G2700670,2013-2017,,,Minnesota,27,Kandiyohi County,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kandiyohi County, Minnesota",1975,"Kandiyohi County, Minnesota",1
G2700690,2013-2017,,,Minnesota,27,Kittson County,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kittson County, Minnesota",1966,"Kittson County, Minnesota",3
G2700710,2013-2017,,,Minnesota,27,Koochiching County,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Koochiching County, Minnesota",1972,"Koochiching County, Minnesota",3
G2700730,2013-2017,,,Minnesota,27,Lac qui Parle County,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lac qui Parle County, Minnesota",1950,"Lac qui Parle County, Minnesota",3
G2700750,2013-2017,,,Minnesota,27,Lake County,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake County, Minnesota",1966,"Lake County, Minnesota",3
G2700770,2013-2017,,,Minnesota,27,Lake of the Woods County,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake of the Woods County, Minnesota",1983,"Lake of the Woods County, Minnesota",3
G2700790,2013-2017,,,Minnesota,27,Le Sueur County,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Le Sueur County, Minnesota",1974,"Le Sueur County, Minnesota",1
G2700810,2013-2017,,,Minnesota,27,Lincoln County,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln County, Minnesota",1958,"Lincoln County, Minnesota",3
G2700830,2013-2017,,,Minnesota,27,Lyon County,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lyon County, Minnesota",1971,"Lyon County, Minnesota",2
G2700850,2013-2017,,,Minnesota,27,McLeod County,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McLeod County, Minnesota",1973,"McLeod County, Minnesota",2
G2700870,2013-2017,,,Minnesota,27,Mahnomen County,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mahnomen County, Minnesota",1973,"Mahnomen County, Minnesota",2
G2700890,2013-2017,,,Minnesota,27,Marshall County,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Minnesota",1969,"Marshall County, Minnesota",2
G2700910,2013-2017,,,Minnesota,27,Martin County,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Martin County, Minnesota",1956,"Martin County, Minnesota",2
