DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,01,4,1,11,12,3,10,10,10,204,175,232,208,61,440,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,02,1,3,13,11,5,10,3,5,221,183,243,212,51,455,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,03,4,2,13,18,8,7,9,9,198,181,232,217,70,449,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,04,2,2,10,11,7,7,7,7,228,221,254,248,53,502,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,05,3,4,8,7,4,6,4,8,240,211,259,236,44,495,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,06,4,4,10,16,4,4,11,9,219,257,248,290,62,538,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,07,7,2,11,10,8,10,11,7,227,225,264,254,66,518,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,08,3,3,17,18,6,8,7,2,241,245,274,276,64,550,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,09,4,3,11,12,6,4,1,9,260,263,282,291,50,573,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,10,4,11,23,15,4,4,5,10,258,257,294,297,76,591,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,11,3,7,9,11,7,2,6,10,277,250,302,280,55,582,, ,
08-09,02,Anoka                                        ,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,000, ,11,11,12,9,8,15,16,5,2,0,7,296,268,325,301,62,626,, ,
