dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
99-00,0016,01,SPRING LAKE PARK,05,02,11,3,3,3,11,2,4,0,3,142,148,150,169,29,319,11
99-00,0016,01,SPRING LAKE PARK,06,02,11,1,1,9,3,3,2,3,2,148,149,164,157,24,321,11
99-00,0016,01,SPRING LAKE PARK,07,02,11,2,2,6,4,2,3,1,3,148,142,159,154,23,313,11
99-00,0016,01,SPRING LAKE PARK,08,02,11,3,2,6,5,6,2,2,3,163,139,180,151,29,331,11
99-00,0016,01,SPRING LAKE PARK,09,02,11,5,0,10,8,3,1,2,3,132,160,152,172,32,324,11
99-00,0016,01,SPRING LAKE PARK,10,02,11,1,3,11,6,6,2,4,1,159,147,181,159,34,340,11
99-00,0016,01,SPRING LAKE PARK,11,02,11,3,1,5,11,1,4,1,3,160,151,170,170,29,340,11
99-00,0016,01,SPRING LAKE PARK,12,02,11,1,3,11,5,3,2,1,1,172,175,188,186,27,374,11
99-00,0016,01,SPRING LAKE PARK,KG,02,11,0,1,4,3,2,3,2,2,142,148,150,157,17,307,11
99-00,0016,01,SPRING LAKE PARK,PK,02,11,0,0,1,0,0,0,0,0,22,10,23,10,1,33,11
99-00,0022,01,DETROIT LAKES,01,03,04,14,8,0,1,0,1,1,1,72,73,87,84,26,171,04
99-00,0022,01,DETROIT LAKES,02,03,04,18,16,1,0,1,0,2,0,80,62,102,78,38,180,04
99-00,0022,01,DETROIT LAKES,03,03,04,10,5,0,1,2,1,1,0,77,90,90,97,20,187,04
99-00,0022,01,DETROIT LAKES,04,03,04,13,19,0,0,1,0,1,1,90,80,105,100,35,205,04
99-00,0022,01,DETROIT LAKES,05,03,04,11,15,0,1,4,0,0,0,86,107,101,123,31,224,04
99-00,0022,01,DETROIT LAKES,06,03,04,20,20,1,0,1,5,0,2,102,95,124,122,49,246,04
99-00,0022,01,DETROIT LAKES,07,03,04,11,8,2,0,0,0,1,2,97,96,111,106,24,217,04
99-00,0022,01,DETROIT LAKES,08,03,04,13,23,0,1,2,4,1,1,113,78,129,107,45,236,04
99-00,0022,01,DETROIT LAKES,09,03,04,17,24,3,2,0,4,2,1,121,146,143,177,53,320,04
99-00,0022,01,DETROIT LAKES,10,03,04,9,5,0,1,1,2,0,1,128,123,138,132,19,270,04
99-00,0022,01,DETROIT LAKES,11,03,04,9,12,0,0,3,1,0,1,119,115,131,129,26,260,04
99-00,0022,01,DETROIT LAKES,12,03,04,3,9,1,1,0,0,1,1,92,85,97,96,16,193,04
99-00,0022,01,DETROIT LAKES,KG,03,04,7,10,2,0,0,0,1,0,62,73,72,83,20,155,04
99-00,0022,01,DETROIT LAKES,PK,03,04,2,1,0,0,0,0,0,0,18,21,20,22,3,42,04
99-00,0023,01,FRAZEE,01,03,04,2,2,1,0,0,0,1,0,34,33,38,35,6,73,04
99-00,0023,01,FRAZEE,02,03,04,3,2,0,0,0,0,0,0,29,46,32,48,5,80,04
99-00,0023,01,FRAZEE,03,03,04,7,3,0,0,0,0,1,0,36,40,44,43,11,87,04
99-00,0023,01,FRAZEE,04,03,04,2,3,0,0,0,0,1,0,48,45,51,48,6,99,04
99-00,0023,01,FRAZEE,05,03,04,2,2,0,0,0,1,1,0,50,57,53,60,6,113,04
99-00,0023,01,FRAZEE,06,03,04,2,2,0,0,0,0,1,0,45,36,48,38,5,86,04
99-00,0023,01,FRAZEE,07,03,04,8,2,0,0,0,0,0,1,54,43,62,46,11,108,04
99-00,0023,01,FRAZEE,08,03,04,7,3,0,0,0,0,0,1,46,48,53,52,11,105,04
99-00,0023,01,FRAZEE,09,03,04,5,3,0,0,0,0,0,0,41,54,46,57,8,103,04
99-00,0023,01,FRAZEE,10,03,04,2,3,0,0,0,0,0,0,44,38,46,41,5,87,04
99-00,0023,01,FRAZEE,11,03,04,4,1,0,1,0,0,1,0,40,55,45,57,7,102,04
99-00,0023,01,FRAZEE,12,03,04,2,2,0,0,1,1,0,0,47,56,50,59,6,109,04
99-00,0023,01,FRAZEE,KG,03,04,1,5,1,0,0,0,1,0,49,33,52,38,8,90,04
99-00,0023,01,FRAZEE,PK,03,04,2,0,0,0,2,0,0,0,9,2,13,2,4,15,04
99-00,0025,01,PINE POINT,01,03,04,4,3,0,0,0,0,0,0,0,0,4,3,7,7,04
99-00,0025,01,PINE POINT,02,03,04,3,1,0,0,0,0,0,0,0,0,3,1,4,4,04
99-00,0025,01,PINE POINT,03,03,04,1,2,0,0,0,0,0,0,0,0,1,2,3,3,04
99-00,0025,01,PINE POINT,04,03,04,4,4,0,0,0,0,0,0,0,0,4,4,8,8,04
99-00,0025,01,PINE POINT,05,03,04,3,1,0,0,0,0,0,0,0,0,3,1,4,4,04
99-00,0025,01,PINE POINT,06,03,04,2,1,0,0,0,0,0,0,0,0,2,1,3,3,04
99-00,0025,01,PINE POINT,07,03,04,7,2,0,0,0,0,0,0,0,0,7,2,9,9,04
