DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,EC,1,1,5,1,4,2,12,2,0,0,4,1,49,22,75,29,33,104,District,EC-12,, ,
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,KG,0,1,14,22,18,15,40,39,0,1,19,28,144,143,235,249,197,484,District,EC-12,, ,
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,01,0,0,16,16,26,19,30,33,0,0,26,21,159,130,257,219,187,476,District,EC-12,, ,
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,02,1,1,9,24,32,16,31,40,0,0,19,21,126,122,218,224,194,442,District,EC-12,, ,
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,03,2,1,12,19,24,24,36,35,0,0,17,25,157,139,248,243,195,491,District,EC-12,, ,
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,04,3,4,19,8,26,21,39,36,1,0,11,15,142,128,241,212,183,453,District,EC-12,, ,
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,05,1,6,24,16,27,35,27,34,0,0,17,24,133,128,229,243,211,472,District,EC-12,, ,
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,06,2,0,18,13,27,24,37,23,0,0,9,12,131,114,224,186,165,410,District,EC-12,, ,
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,07,0,2,15,16,13,24,32,36,0,0,11,19,126,139,197,236,168,433,District,EC-12,, ,
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,08,1,0,16,16,21,24,35,26,0,2,13,15,113,119,199,202,169,401,District,EC-12,, ,
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,09,0,1,13,22,35,26,19,27,1,0,8,11,125,129,201,216,163,417,District,EC-12,, ,
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,10,1,0,25,20,24,24,27,27,0,0,12,3,114,135,203,209,163,412,District,EC-12,, ,
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,11,2,4,21,14,26,29,20,26,0,0,11,10,117,130,197,213,163,410,District,EC-12,, ,
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,12,0,0,11,22,25,16,25,21,0,0,9,5,125,111,195,175,134,370,District,EC-12,, ,
16-17,02,Anoka                                        ,0016,01,SPRING LAKE PARK PUBLIC SCHOOLS    ,000, ,11,11,All Grades,14,21,218,229,328,299,410,405,2,3,186,210,1761,1689,2919,2856,2325,5775,District,EC-12,, ,
16-17,03,Becker                                       ,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.  ,000, ,04,04,EC,20,10,0,0,1,0,1,0,0,0,6,5,34,18,62,33,43,95,District,EC-12,, ,
16-17,03,Becker                                       ,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.  ,000, ,04,04,KG,16,5,0,1,3,1,1,3,0,0,12,15,80,88,112,113,57,225,District,EC-12,, ,
16-17,03,Becker                                       ,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.  ,000, ,04,04,01,11,13,2,0,2,3,4,2,0,0,12,12,73,90,104,120,61,224,District,EC-12,, ,
16-17,03,Becker                                       ,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.  ,000, ,04,04,02,10,11,1,1,1,1,6,6,0,0,8,8,73,88,99,115,53,214,District,EC-12,, ,
16-17,03,Becker                                       ,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.  ,000, ,04,04,03,12,4,0,0,2,0,2,4,0,0,15,18,85,73,116,99,57,215,District,EC-12,, ,
16-17,03,Becker                                       ,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.  ,000, ,04,04,04,12,11,0,1,3,1,4,1,0,0,19,12,98,81,136,107,64,243,District,EC-12,, ,
16-17,03,Becker                                       ,0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.  ,000, ,04,04,05,14,12,2,1,2,4,6,1,0,0,14,9,105,79,143,106,65,249,District,EC-12,, ,
