districtNumber,districtType,districtName,year,totalStudents,totalTeachers,studentTeacherRatio
2890,01,RENVILLE COUNTY WEST SCHOOL DIST.,2018,1126,88.72,12.691614066726782
2895,01,JACKSON COUNTY CENTRAL SCHOOL DIST.,2018,2254,163.5,13.785932721712538
2897,01,REDWOOD AREA SCHOOL DISTRICT,2018,2292,171.84,13.337988826815643
2898,01,WESTBROOK-WALNUT GROVE SCHOOLS,2018,738,73.8,10
2899,01,PLAINVIEW-ELGIN-MILLVILLE,2018,2956,190.18,15.543169628772741
2902,01,RTR PUBLIC SCHOOLS,2018,1168,94.3,12.386002120890774
2903,01,ORTONVILLE PUBLIC SCHOOLS,2018,996,77.9,12.785622593068036
2904,01,TRACY AREA PUBLIC SCHOOL DISTRICT,2018,1478,111.38,13.269886873765488
2905,01,TRI-CITY UNITED SCHOOL DISTRICT,2018,3850,263.14,14.63099490765372
2906,01,RED LAKE COUNTY CENTRAL PUBLIC SCH,2018,802,67.48,11.885002963841137
2907,01,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,2018,596,45.9,12.984749455337692
2908,01,BRANDON-EVANSVILLE PUBLIC SCHOOLS,2018,930,69.76,13.331422018348622
4000,07,CITY ACADEMY,2018,224,17.6,12.727272727272727
4001,07,BLUFFVIEW MONTESSORI,2018,418,40.02,10.444777611194402
4003,07,"NEW HEIGHTS SCHOOL, INC.",2018,264,27.2,9.705882352941178
4004,07,CEDAR RIVERSIDE COMMUNITY SCHOOL,2018,370,37.92,9.757383966244726
4005,07,METRO DEAF SCHOOL,2018,194,43.78,4.431247144814984
4007,07,MINNESOTA NEW COUNTRY SCHOOL,2018,436,39.08,11.156601842374616
4008,07,PACT CHARTER SCHOOL,2018,1316,74.18,17.74063089781612
4011,07,ATHLOS LEADERSHIP ACADEMY,2018,1808,124.5,14.522088353413654
4015,07,COMMUNITY OF PEACE ACADEMY,2018,1582,118.34,13.368260943045462
4016,07,WORLD LEARNER CHARTER SCHOOL,2018,436,27.86,15.64967695620962
4017,07,MINNESOTA TRANSITIONS CHARTER SCH,2018,6556,295.02,22.222222222222225
4018,07,ACHIEVE LANGUAGE ACADEMY,2018,896,66.04,13.567534827377346
4020,07,DULUTH PUBLIC SCHOOLS ACADEMY,2018,2798,250.14,11.185735987846806
4025,07,CYBER VILLAGE ACADEMY,2018,486,45.22,10.747456877487837
4026,07,E.C.H.O. CHARTER SCHOOL,2018,230,23.36,9.845890410958905
4027,07,HIGHER GROUND ACADEMY,2018,1550,86.8,17.857142857142858
4029,07,ST. PAUL CITY SCHOOL,2018,952,58.78,16.195985028921402
4031,07,JENNINGS COMMUNITY SCHOOL,2018,192,9.44,20.33898305084746
4032,07,HARVEST PREPARATORY SCHOOL,2018,524,34,15.411764705882353
4035,07,LIFE PREP,2018,614,55.66,11.031261228889688
4036,07,FACE TO FACE ACADEMY,2018,158,13.8,11.44927536231884
4038,07,SOJOURNER TRUTH ACADEMY,2018,758,58,13.068965517241379
4039,07,HIGH SCHOOL FOR RECORDING ARTS,2018,648,26.16,24.770642201834864
4043,07,MATH AND SCIENCE ACADEMY,2018,1024,54.66,18.733991950237836
4049,07,NORTHWEST PASSAGE HIGH SCHOOL,2018,306,29.62,10.330857528696827
4050,07,LAFAYETTE PUBLIC CHARTER SCHOOL,2018,190,18.04,10.532150776053216
