districtNumber,districtType,districtName,year,totalStudents,totalTeachers,studentTeacherRatio
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2003,1658,106.59,15.554930106013696
0550,01,UNDERWOOD PUBLIC SCHOOL DISTRICT,2003,454,33.91,13.38838100855205
0553,01,NEW YORK MILLS PUBLIC SCHOOL DIST.,2003,742,47.39,15.657311669128507
0561,01,GOODRIDGE PUBLIC SCHOOL DISTRICT,2003,178,16.62,10.709987966305656
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2003,2123,146.26999999999998,14.514254460928422
0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,2003,489,36.92,13.244853737811484
0578,01,PINE CITY PUBLIC SCHOOL DISTRICT,2003,1742,106.05,16.426214049976426
0581,01,EDGERTON PUBLIC SCHOOL DISTRICT,2003,292,24.77,11.788453774727493
0592,01,CLIMAX-SHELLY PUBLIC SCHOOLS,2003,159,18.34,8.66957470010905
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2003,1593,92.99000000000001,17.130874287557802
0595,01,EAST GRAND FORKS PUBLIC SCHOOL DIST,2003,1817,114.24000000000001,15.905112044817926
0599,01,FERTILE-BELTRAMI SCHOOL DISTRICT,2003,584,44.05,13.257661748013621
0600,01,FISHER PUBLIC SCHOOL DISTRICT,2003,294,21.79,13.49242771913722
0601,01,FOSSTON PUBLIC SCHOOL DISTRICT,2003,673,50.449999999999996,13.33994053518335
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2003,11187,623.07,17.954643940488225
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE DIS,2003,11458,595.57,19.238712493913393
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2003,6375,354.55,17.980538711042165
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2003,9160,457.87,20.005678467687336
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2003,43923,2898.65,15.152916012626568
0630,01,RED LAKE FALLS PUBLIC SCHOOL DIST.,2003,393,32.120000000000005,12.235367372353672
0635,01,MILROY PUBLIC SCHOOL DISTRICT,2003,94,11.729999999999999,8.013640238704179
0640,01,WABASSO PUBLIC SCHOOL DISTRICT,2003,421,36.290000000000006,11.600992008817855
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2003,3969,252.34,15.728778632004438
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2003,3911,234.8,16.656729131175467
0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT,2003,305,24.150000000000002,12.629399585921323
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2003,235,20.57,11.424404472532814
0682,01,ROSEAU PUBLIC SCHOOL DISTRICT,2003,1505,82.38,18.268997329448897
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2003,1337,90.58,14.760432766615146
0695,01,CHISHOLM PUBLIC SCHOOL DISTRICT,2003,824,49.44,16.666666666666668
0696,01,ELY PUBLIC SCHOOL DISTRICT,2003,715,42.71,16.74081011472723
0698,01,FLOODWOOD PUBLIC SCHOOL DISTRICT,2003,443,34.63,12.792376552122436
0700,01,HERMANTOWN PUBLIC SCHOOL DISTRICT,2003,1963,99.64999999999999,19.698946312092325
0701,01,HIBBING PUBLIC SCHOOL DISTRICT,2003,2774,153.04,18.12598013591218
0704,01,PROCTOR PUBLIC SCHOOL DISTRICT,2003,1873,101.91000000000001,18.37896182906486
0706,01,VIRGINIA PUBLIC SCHOOL DISTRICT,2003,1748,92.26,18.946455668762194
0707,01,NETT LAKE PUBLIC SCHOOL DISTRICT,2003,61,9.6,6.354166666666667
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2003,11603,768.47,15.098832745585383
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2003,565,41.77,13.526454393105098
0716,01,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2003,1311,76.58,17.119352311308436
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2003,1393,73.1,19.05608755129959
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2003,5220,287.34000000000003,18.16663186468991
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2003,4564,266.5,17.125703564727957
0721,01,NEW PRAGUE AREA SCHOOLS,2003,2705,154.48000000000002,17.510357327809423
0726,01,BECKER PUBLIC SCHOOL DISTRICT,2003,2358,137.58,17.139119058002613
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2003,3030,175.01,17.313296383063825
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2003,9768,474.06,20.60498671054297
0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT,2003,1084,64.93,16.694902202371782
0739,01,KIMBALL PUBLIC SCHOOL DISTRICT,2003,872,61.68,14.137483787289234
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2003,1533,107.08,14.316398954053044
0741,01,PAYNESVILLE PUBLIC SCHOOL DISTRICT,2003,1147,74.76,15.34242910647405
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2003,10292,666,15.453453453453454
0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT,2003,1215,79.57,15.26957396003519
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2003,1625,108.14,15.026817088958756
0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT,2003,2737,162.72,16.820304818092428
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2003,2349,126.46000000000001,18.575043492013283
0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2003,775,50.25,15.422885572139304
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2003,5009,289.21,17.31959475813423
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2003,576,36.36,15.841584158415841
0768,01,HANCOCK PUBLIC SCHOOL DISTRICT,2003,226,18.38,12.295973884657236
0771,01,CHOKIO-ALBERTA PUBLIC SCHOOL DIST.,2003,223,20.130000000000003,11.077993045206158
0775,01,KERKHOVEN-MURDOCK-SUNBURG,2003,654,43.790000000000006,14.934916647636445
0777,01,BENSON PUBLIC SCHOOL DISTRICT,2003,1113,73.14,15.217391304347826
0786,01,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2003,502,38.09,13.17931215542137
0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT,2003,517,37,13.972972972972974
0801,01,BROWNS VALLEY PUBLIC SCHOOL DIST.,2003,151,13.52,11.168639053254438
0803,01,WHEATON AREA PUBLIC SCHOOL DISTRICT,2003,479,37.25,12.859060402684564
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DIST.,2003,720,46.49,15.487201548720154
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2003,1462,96.66,15.125181046968757
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2003,450,36.53,12.318642211880645
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2003,586,44.25,13.242937853107344
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2003,748,56.449999999999996,13.250664304694421
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2003,2217,141.19,15.702245201501523
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2003,7655,420.11,18.221418199995238
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2003,3093,177.9,17.386172006745362
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2003,15400,930.11,16.55718140865059
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2003,9005,453.58,19.853168129106223
0836,01,BUTTERFIELD PUBLIC SCHOOL DISTRICT,2003,207,20,10.35
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2003,612,47.14,12.982605006364022
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2003,1314,82.31,15.964038391446968
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2003,944,64.88,14.549938347718866
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2003,258,20.38,12.6594700686948
0852,01,CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,2003,147,18.29,8.037178786221979
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DIST.,2003,766,53.660000000000004,14.275065225493849
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2003,1059,65.48,16.172877214416616
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2003,4129,278.66,14.817340127754251
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2003,1859,108.41000000000001,17.147864588137622
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2003,5102,279.94,18.225334000142887
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2003,1925,101.43,18.97860593512767
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2003,916,58.57,15.639405839166809
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2003,3924,207.48000000000002,18.912666281087333
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2003,1762,107.38,16.40901471409946
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2003,3351,192.86,17.375298143731204
0891,01,CANBY PUBLIC SCHOOL DISTRICT,2003,669,49.3,13.569979716024342
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,2003,4866,271.19,17.943139496294112
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2003,1944,124.2,15.652173913043478
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DIST,2003,264,22.87,11.54350677743769
0915,52,SOUTHERN PLAINS EDUCATION COOP.,2003,149,12.51,11.910471622701838
0916,06,NORTHEAST METRO 916,2003,604,132.89000000000001,4.545112499059372
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2003,587,105.49000000000001,5.564508484216513
0926,83,REGION 4-LAKES COUNTRY SERVICE COOP,2003,77,19.4,3.9690721649484537
0935,52,FERGUS FALLS AREA SP. ED. COOP.,2003,80,5,16
0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,2003,116,21.939999999999998,5.28714676390155
0966,51,WRIGHT TECHNICAL CENTER,2003,97,22.05,4.399092970521542
0991,83,REGION 6 AND 8-SW/WC SERVICE COOP,2003,12,5.74,2.0905923344947737
0998,52,BEMIDJI REGIONAL INTERDIST. COUNCIL,2003,NA,2.96,NA
1000,70,PERPICH CENTER FOR ARTS EDUCATION,2003,NA,NA,NA
1100,60,MINNESOTA DEPARTMENT OF CORRECTIONS,2003,NA,NA,NA
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2003,854,55.13,15.490658443678576
2125,01,TRITON SCHOOL DISTRICT,2003,1146,78.11,14.671616950454487
2134,01,UNITED SOUTH CENTRAL SCHOOL DIST.,2003,1010,74.9,13.484646194926567
2135,01,MAPLE RIVER SCHOOL DISTRICT,2003,1298,92.64,14.011226252158895
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2003,912,70.78,12.884995761514553
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2003,2491,191.59,13.001722428101676
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,2003,1012,68.66999999999999,14.737148682102813
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2003,3526,198.1,17.799091367995963
2149,01,MINNEWASKA SCHOOL DISTRICT,2003,1515,105.9,14.305949008498583
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2003,1436,86.5,16.601156069364162
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2003,1346,94.66999999999999,14.217809232069294
2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SC,2003,573,44.41,12.902499437063726
2164,01,DILWORTH-GLYNDON-FELTON,2003,1346,88.34,15.23658591804392
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2003,1155,79.96000000000001,14.444722361180588
2167,01,LAKEVIEW SCHOOL DISTRICT,2003,570,40.91,13.93302371058421
2168,01,NRHEG SCHOOL DISTRICT,2003,994,71.9,13.824756606397774
2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST.,2003,814,53.91,15.099239473196068
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2003,1504,109.26,13.765330404539629
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2003,429,36.01,11.913357400722022
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2003,968,55.83,17.338348558122874
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2003,1157,89.53,12.923042555567966
2176,01,WARREN-ALVARADO-OSLO SCHOOL DIST.,2003,575,50.86,11.305544632324027
2180,01,MACCRAY SCHOOL DISTRICT,2003,891,67.14,13.270777479892761
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2003,1331,93.16999999999999,14.285714285714288
2190,01,YELLOW MEDICINE EAST,2003,1173,78.59,14.925563048733935
2198,01,FILLMORE CENTRAL,2003,729,59.77,12.196754224527353
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2003,396,36.41,10.876132930513597
2310,01,SIBLEY EAST SCHOOL DISTRICT,2003,1279,85.71000000000001,14.92241278730603
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2003,526,39.730000000000004,13.239365718600553
2342,01,WEST CENTRAL AREA,2003,871,59.1,14.737732656514382
2358,01,TRI-COUNTY SCHOOL DISTRICT,2003,301,26.95,11.168831168831169
2364,01,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2003,776,50.839999999999996,15.263571990558617
2365,01,G.F.W.,2003,945,64.94000000000001,14.551894056051738
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2003,944,73.47,12.848781815707092
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2003,1351,82.86,16.304610185855662
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2003,924,61.309999999999995,15.070950905235689
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2003,362,31.77,11.39439723009128
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2003,977,63.290000000000006,15.436877863801547
2536,01,GRANADA HUNTLEY-EAST CHAIN,2003,293,21.03,13.93247741321921
2580,01,EAST CENTRAL SCHOOL DISTRICT,2003,960,86.28,11.126564673157162
2609,01,WIN-E-MAC SCHOOL DISTRICT,2003,531,35.39,15.004238485447866
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,2003,468,35.9,13.036211699164346
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2003,939,63.58,14.76879521862221
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2003,1336,91.31,14.631475194392728
2711,01,MESABI EAST SCHOOL DISTRICT,2003,1011,58.75,17.208510638297874
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2003,1825,108.63,16.800147288962535
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST,2003,1458,96.9,15.046439628482972
2754,01,CEDAR MOUNTAIN SCHOOL DISTRICT,2003,417,27.779999999999998,15.010799136069116
2769,01,MORRIS AREA PUBLIC SCHOOLS,2003,1015,67.79,14.97270983920932
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2003,1192,73.86999999999999,16.136455936103967
2835,01,JANESVILLE-WALDORF-PEMBERTON,2003,598,43.68,13.69047619047619
2853,01,LAC QUI PARLE VALLEY SCHOOL DIST.,2003,1184,78.85,15.015852885225112
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2003,550,40.17,13.691809808314662
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2003,414,31.759999999999998,13.035264483627206
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2003,1777,110.49000000000001,16.082903430174674
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2003,1418,92.26,15.369607630609147
2884,01,RED ROCK CENTRAL SCHOOL DISTRICT,2003,533,38.5,13.844155844155845
2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT,2003,483,36.47,13.24376199616123
2888,01,CLINTON-GRACEVILLE-BEARDSLEY,2003,518,40.339999999999996,12.840852751611305
2889,01,LAKE PARK AUDUBON SCHOOL DISTRICT,2003,681,46.309999999999995,14.705247246814944
2890,01,RENVILLE COUNTY WEST SCHOOL DIST.,2003,820,62.32,13.157894736842104
2895,01,JACKSON COUNTY CENTRAL SCHOOL DIST.,2003,1348,93.25,14.455764075067025
2897,01,REDWOOD AREA SCHOOL DISTRICT,2003,1501,100.55,14.927896568871208
2898,01,WESTBROOK-WALNUT GROVE SCHOOLS,2003,509,37.08,13.727076591154262
2899,01,PLAINVIEW-ELGIN-MILLVILLE,2003,NA,NA,NA
2902,01,RTR PUBLIC SCHOOLS,2003,NA,NA,NA
2903,01,ORTONVILLE PUBLIC SCHOOLS,2003,NA,NA,NA
2904,01,TRACY AREA PUBLIC SCHOOL DISTRICT,2003,NA,NA,NA
2905,01,TRI-CITY UNITED SCHOOL DISTRICT,2003,NA,NA,NA
2906,01,RED LAKE COUNTY CENTRAL PUBLIC SCH,2003,NA,NA,NA
2907,01,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,2003,NA,NA,NA
2908,01,BRANDON-EVANSVILLE PUBLIC SCHOOLS,2003,NA,NA,NA
4000,07,CITY ACADEMY,2003,111,9.8,11.326530612244897
4001,07,BLUFFVIEW MONTESSORI,2003,189,13.15,14.372623574144486
4003,07,"NEW HEIGHTS SCHOOL, INC.",2003,143,14.04,10.185185185185185
4004,07,CEDAR RIVERSIDE COMMUNITY SCHOOL,2003,98,8.56,11.448598130841122
4005,07,METRO DEAF SCHOOL,2003,71,12.92,5.495356037151703
4007,07,MINNESOTA NEW COUNTRY SCHOOL,2003,111,7.52,14.760638297872342
4008,07,PACT CHARTER SCHOOL,2003,315,21.38,14.733395696913004
4011,07,ATHLOS LEADERSHIP ACADEMY,2003,202,26.18,7.715813598166539
4015,07,COMMUNITY OF PEACE ACADEMY,2003,536,39.07,13.71896595853596
4016,07,WORLD LEARNER CHARTER SCHOOL,2003,99,4.96,19.95967741935484
4017,07,MINNESOTA TRANSITIONS CHARTER SCH,2003,590,29,20.344827586206897
4018,07,ACHIEVE LANGUAGE ACADEMY,2003,296,24.09,12.287256122872561
4020,07,DULUTH PUBLIC SCHOOLS ACADEMY,2003,793,51.879999999999995,15.285273708558213
4025,07,CYBER VILLAGE ACADEMY,2003,169,9.450000000000001,17.883597883597883
4026,07,E.C.H.O. CHARTER SCHOOL,2003,145,11.84,12.246621621621621
4027,07,HIGHER GROUND ACADEMY,2003,351,19.05,18.4251968503937
4029,07,ST. PAUL CITY SCHOOL,2003,284,25,11.36
4031,07,JENNINGS COMMUNITY SCHOOL,2003,107,2.72,39.338235294117645
4032,07,HARVEST PREPARATORY SCHOOL,2003,390,24,16.25
4035,07,LIFE PREP,2003,101,8.27,12.212817412333736
4036,07,FACE TO FACE ACADEMY,2003,56,3.5,16
4038,07,SOJOURNER TRUTH ACADEMY,2003,232,13.98,16.59513590844063
4039,07,HIGH SCHOOL FOR RECORDING ARTS,2003,119,4,29.75
4043,07,MATH AND SCIENCE ACADEMY,2003,270,15.68,17.21938775510204
4049,07,NORTHWEST PASSAGE HIGH SCHOOL,2003,170,8.17,20.807833537331703
4050,07,LAFAYETTE PUBLIC CHARTER SCHOOL,2003,87,8.719999999999999,9.977064220183488
4053,07,NORTH LAKES ACADEMY,2003,165,10.43,15.819750719079579
4054,07,LA CRESCENT MONTESSORI & STEM SCHOO,2003,55,4.99,11.022044088176353
4055,07,NERSTRAND CHARTER SCHOOL,2003,153,8.360000000000001,18.301435406698563
4056,07,ROSA PARKS CHARTER HIGH SCHOOL,2003,102,8.57,11.90198366394399
4057,07,EL COLEGIO CHARTER SCHOOL,2003,82,5,16.4
4058,07,SCHOOLCRAFT LEARNING COMMUNITY CHTR,2003,161,12.450000000000001,12.931726907630521
4059,07,CROSSLAKE COMMUNITY CHARTER SCHOOL,2003,64,5.859999999999999,10.921501706484642
4064,07,RIVERWAY LEARNING COMMUNITY CHTR,2003,78,7.159999999999999,10.893854748603353
4066,07,KATO PUBLIC CHARTER SCHOOL,2003,132,12,11
4067,07,AURORA CHARTER SCHOOL,2003,112,8,14
4068,07,EXCELL ACADEMY CHARTER,2003,99,7.6,13.026315789473685
4070,07,HOPE COMMUNITY ACADEMY,2003,438,27,16.22222222222222
4073,07,ACADEMIA CESAR CHAVEZ CHARTER SCH.,2003,197,12,16.416666666666668
4074,07,AFSA HIGH SCHOOL,2003,149,12.2,12.213114754098362
4075,07,AVALON SCHOOL,2003,115,9.719999999999999,11.83127572016461
4077,07,TWIN CITIES INTERNATIONAL ELEM SCH,2003,153,11.129999999999999,13.746630727762804
4078,07,MINNESOTA INTERNATIONAL MIDDLE CHTR,2003,55,4.35,12.643678160919542
4079,07,FRIENDSHIP ACDMY OF FINE ARTS CHTR.,2003,64,4.5,14.222222222222221
4080,07,PILLAGER AREA CHARTER SCHOOL,2003,47,2.8,16.78571428571429
4081,07,DISCOVERY PUBLIC SCHOOL FARIBAULT,2003,40,5,8
4082,07,BLUESKY CHARTER SCHOOL,2003,NA,1.2,NA
4083,07,RIDGEWAY COMMUNITY SCHOOL,2003,60,4.9,12.244897959183673
4084,07,NORTH SHORE COMMUNITY SCHOOL,2003,207,10.4,19.903846153846153
4085,07,HARBOR CITY INTERNATIONAL CHARTER,2003,101,8.03,12.577833125778332
4087,07,SAGE ACADEMY CHARTER SCHOOL,2003,56,5.119999999999999,10.937500000000002
4088,07,URBAN ACADEMY CHARTER SCHOOL,2003,NA,NA,NA
4089,07,NEW CITY SCHOOL,2003,NA,NA,NA
4090,07,PRAIRIE CREEK COMMUNITY SCHOOL,2003,102,7.54,13.52785145888594
4091,07,ARCADIA CHARTER SCHOOL,2003,NA,NA,NA
4092,07,WATERSHED HIGH SCHOOL,2003,88,7.53,11.686586985391767
4093,07,NEW CENTURY ACADEMY,2003,101,6.2,16.29032258064516
4095,07,TRIO WOLF CREEK DISTANCE LEARNING,2003,47,2,23.5
4097,07,"PARTNERSHIP ACADEMY, INC.",2003,123,8,15.375
4098,07,NOVA CLASSICAL ACADEMY,2003,NA,NA,NA
4100,07,GREAT EXPECTATIONS,2003,NA,NA,NA
4102,07,MINNESOTA INTERNSHIP CENTER,2003,NA,NA,NA
4103,07,HMONG COLLEGE PREP ACADEMY,2003,NA,NA,NA
4104,07,PALADIN CAREER AND TECH HIGH SCHOOL,2003,NA,NA,NA
4105,07,GREAT RIVER SCHOOL,2003,NA,NA,NA
4106,07,TREKNORTH HIGH SCHOOL,2003,NA,NA,NA
4107,07,VOYAGEURS EXPEDITIONARY,2003,NA,NA,NA
4110,07,PIM ARTS HIGH SCHOOL,2003,NA,NA,NA
4111,07,AUGSBURG FAIRVIEW ACADEMY,2003,NA,NA,NA
4112,07,ST PAUL CONSERVATORY PERFORMING ART,2003,NA,NA,NA
4113,07,SPERO ACADEMY,2003,NA,NA,NA
4116,07,LAKES INTERNATIONAL LANGUAGE ACADEM,2003,NA,NA,NA
4118,07,KALEIDOSCOPE CHARTER SCHOOL,2003,NA,NA,NA
4119,07,ACADEMIC ARTS HIGH SCHOOL,2003,NA,NA,NA
4120,07,ST. CROIX PREPARATORY ACADEMY,2003,NA,NA,NA
4121,07,UBAH MEDICAL ACADEMY CHARTER SCHOOL,2003,NA,NA,NA
4122,07,EAGLE RIDGE ACADEMY CHARTER SCHOOL,2003,NA,NA,NA
4124,07,BEACON ACADEMY,2003,NA,NA,NA
4126,07,PRAIRIE SEEDS ACADEMY,2003,NA,NA,NA
4127,07,TEAM ACADEMY,2003,NA,NA,NA
4131,07,METRO SCHOOLS CHARTER,2003,NA,NA,NA
4132,07,TWIN CITIES ACADEMY,2003,NA,NA,NA
4135,07,ROCHESTER MATH AND SCIENCE ACADEMY,2003,NA,NA,NA
4137,07,SWAN RIVER MONTESSORI CHARTER SCH,2003,NA,NA,NA
4138,07,MILROY AREA CHARTER SCHOOL,2003,NA,NA,NA
4139,07,LOVEWORKS ACADEMY FOR ARTS,2003,NA,NA,NA
4140,07,YINGHUA ACADEMY,2003,NA,NA,NA
4142,07,STRIDE ACADEMY CHARTER SCHOOL,2003,NA,NA,NA
4143,07,NEW MILLENNIUM ACADEMY CHARTER SCH,2003,NA,NA,NA
4144,07,GREEN ISLE COMMUNITY SCHOOL,2003,NA,NA,NA
4145,07,BIRCH GROVE COMMUNITY SCHOOL,2003,NA,NA,NA
4146,07,NORTHERN LIGHTS COMMUNITY SCHOOL,2003,NA,NA,NA
4150,07,MINNESOTA ONLINE HIGH SCHOOL,2003,NA,NA,NA
4151,07,EDVISIONS OFF CAMPUS SCHOOL,2003,NA,NA,NA
4152,07,TWIN CITIES GERMAN IMMERSION CHTR,2003,NA,NA,NA
4153,07,DUGSI ACADEMY,2003,NA,NA,NA
4155,07,NAYTAHWAUSH COMMUNITY SCHOOL,2003,NA,NA,NA
4159,07,SEVEN HILLS PREPARATORY ACADEMY,2003,NA,NA,NA
4160,07,SPECTRUM HIGH SCHOOL,2003,NA,NA,NA
4161,07,NEW DISCOVERIES MONTESSORI ACADEMY,2003,NA,NA,NA
4162,07,SOUTHSIDE FAMILY CHARTER SCHOOL,2003,NA,NA,NA
4163,07,LEARNING FOR LEADERSHIP CHARTER,2003,NA,NA,NA
4164,07,LAURA JEFFREY ACADEMY CHARTER,2003,NA,NA,NA
4166,07,EAST RANGE ACADEMY OF TECH-SCIENCE,2003,NA,NA,NA
4167,07,INTERNATIONAL SPANISH LANGUAGE ACAD,2003,NA,NA,NA
4168,07,GLACIAL HILLS ELEMENTARY,2003,NA,NA,NA
4169,07,STONEBRIDGE WORLD SCHOOL,2003,NA,NA,NA
4170,07,HIAWATHA ACADEMIES,2003,NA,NA,NA
4171,07,NOBLE ACADEMY,2003,NA,NA,NA
4172,07,CLARKFIELD CHARTER SCHOOL,2003,NA,NA,NA
4177,07,MINISINAAKWAANG LEADERSHIP ACADEMY,2003,NA,NA,NA
4178,07,LINCOLN INTERNATIONAL SCHOOL,2003,NA,NA,NA
4181,07,COMMUNITY SCHOOL OF EXCELLENCE,2003,NA,NA,NA
4183,07,LIONSGATE ACADEMY,2003,NA,NA,NA
4184,07,ASPEN ACADEMY,2003,NA,NA,NA
4185,07,DAVINCI ACADEMY,2003,NA,NA,NA
4186,07,GLOBAL ACADEMY,2003,NA,NA,NA
4187,07,NATURAL SCIENCE ACADEMY,2003,NA,NA,NA
4188,07,COLOGNE ACADEMY,2003,NA,NA,NA
4189,07,BRIGHT WATER ELEMENTARY,2003,NA,NA,NA
4190,07,RIVERS EDGE ACADEMY,2003,NA,NA,NA
4191,07,KIPP MINNESOTA CHARTER SCHOOL,2003,NA,NA,NA
4192,07,BEST ACADEMY,2003,NA,NA,NA
4193,07,COLLEGE PREPARATORY ELEMENTARY,2003,NA,NA,NA
4194,07,CANNON RIVER STEM SCHOOL,2003,NA,NA,NA
4195,07,OSHKI OGIMAAG CHARTER SCHOOL,2003,NA,NA,NA
4198,07,DISCOVERY WOODS,2003,NA,NA,NA
4199,07,PARNASSUS PREPARATORY CHARTER SCH,2003,NA,NA,NA
4200,07,STEP ACADEMY CHARTER SCHOOL,2003,NA,NA,NA
4201,07,CORNERSTONE MONTESSORI ELEMENTARY,2003,NA,NA,NA
4204,07,ROCHESTER STEM ACADEMY,2003,NA,NA,NA
4205,07,HENNEPIN ELEMENTARY SCHOOL,2003,NA,NA,NA
4207,07,VERMILION COUNTRY SCHOOL,2003,NA,NA,NA
4208,07,NASHA SHKOLA CHARTER SCHOOL,2003,NA,NA,NA
4209,07,MASTERY SCHOOL,2003,NA,NA,NA
4210,07,UPPER MISSISSIPPI ACADEMY,2003,NA,NA,NA
4212,07,WEST SIDE SUMMIT CHARTER SCHOOL,2003,NA,NA,NA
4213,07,PRODEO ACADEMY,2003,NA,NA,NA
