districtNumber,districtType,districtName,year,change
0704,01,Proctor Public School District,2017,-0.0209713024282561
0706,01,Virginia Public School District,2017,0.0136417556346382
0707,01,Nett Lake Public School District,2017,-0.0175438596491228
0709,01,Duluth Public School District,2017,0.0335820895522388
0712,01,Mountain Iron-Buhl School District,2017,-0.00394477317554241
0716,01,Belle Plaine Public School District,2017,-0.00060459492140266
0717,01,Jordan Public School District,2017,0.0152256661228929
0719,01,Prior Lake-Savage Area Schools,2017,0.0327210103329506
0720,01,Shakopee Public School District,2017,0.00906921241050119
0721,01,New Prague Area Schools,2017,0.0179584120982987
0726,01,Becker Public School District,2017,0.00758097863542385
0727,01,Big Lake Public School District,2017,-0.0106761565836299
0728,01,Elk River Public School District,2017,0.0179778619716217
0738,01,Holdingford Public School District,2017,-0.00368663594470046
0739,01,Kimball Public School District,2017,0.0106951871657754
0740,01,Melrose Public School District,2017,-0.0485216072782411
0741,01,Paynesville Public School District,2017,-0.0182207931404073
0742,01,St. Cloud Public School District,2017,0.0291204437400951
0743,01,Sauk Centre Public School District,2017,0.0341328413284133
0745,01,Albany Public School District,2017,0.0318791946308725
0748,01,Sartell-St. Stephen School District,2017,0.00405988327835575
0750,01,Rocori Public School District,2017,0.0119047619047619
0756,01,Blooming Prairie Public School Dist,2017,-0.00953678474114441
0761,01,Owatonna Public School District,2017,0
0763,01,Medford Public School District,2017,0.017563117453348
0768,01,Hancock Public School District,2017,0.0114285714285714
0771,01,Chokio-Alberta Public School Dist.,2017,0.0125786163522013
0775,01,Kerkhoven-Murdock-Sunburg,2017,0.0249653259361997
0777,01,Benson Public School District,2017,-0.00812064965197216
0786,01,Bertha-Hewitt Public School Dist.,2017,0.0711297071129707
0787,01,Browerville Public School District,2017,0.177101967799642
0801,01,Browns Valley Public School Dist.,2017,0.134146341463415
0803,01,Wheaton Area Public School District,2017,-0.0445544554455446
0811,01,Wabasha-Kellogg Public School Dist.,2017,-0.00925925925925926
0813,01,Lake City Public School District,2017,-0.00482703137570394
0818,01,Verndale Public School District,2017,0.0108892921960073
0820,01,Sebeka Public School District,2017,0.0136186770428016
0821,01,Menahga Public School District,2017,0.0206896551724138
0829,01,Waseca Public School District,2017,0.0220061412487206
0831,01,Forest Lake Public School District,2017,-0.0186871106851941
0832,01,Mahtomedi Public School District,2017,0.016036308623298
