DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,07,2,0,1,0,3,6,0,0,63,40,69,46,12,115,District,EC-12,, ,
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,08,2,1,1,1,5,2,1,1,54,77,63,82,14,145,District,EC-12,, ,
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,09,0,0,0,0,5,4,0,1,80,71,85,76,10,161,District,EC-12,, ,
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,10,0,0,0,0,5,10,1,0,76,43,82,53,16,135,District,EC-12,, ,
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,11,1,0,0,2,4,4,2,0,50,58,57,64,13,121,District,EC-12,, ,
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,12,0,0,0,1,3,4,0,1,64,57,67,63,9,130,District,EC-12,, ,
12-13,70,Scott                                        ,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      ,000, ,11,11,All Grades,14,2,10,10,59,66,11,9,811,769,905,856,181,1761,District,EC-12,, ,
12-13,70,Scott                                        ,0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS     ,000, ,11,11,EC,1,0,0,1,0,0,1,0,54,23,56,24,3,80,District,EC-12,, ,
12-13,70,Scott                                        ,0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS     ,000, ,11,11,KG,9,4,18,16,5,6,11,11,221,207,264,244,80,508,District,EC-12,, ,
12-13,70,Scott                                        ,0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS     ,000, ,11,11,01,2,3,17,25,8,7,15,12,203,192,245,239,89,484,District,EC-12,, ,
12-13,70,Scott                                        ,0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS     ,000, ,11,11,02,6,3,7,17,5,9,11,11,215,206,244,246,69,490,District,EC-12,, ,
12-13,70,Scott                                        ,0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS     ,000, ,11,11,03,4,3,10,14,5,8,9,17,240,221,268,263,70,531,District,EC-12,, ,
12-13,70,Scott                                        ,0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS     ,000, ,11,11,04,0,5,17,23,7,10,9,13,245,244,278,295,84,573,District,EC-12,, ,
