dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
98-99,0317,01,DEER RIVER,PK,31,03,0,0,0,0,0,0,0,0,1,2,1,2,0,3,03
98-99,0318,01,GRAND RAPIDS,01,31,03,5,3,0,0,3,0,0,1,137,111,145,115,12,260,03
98-99,0318,01,GRAND RAPIDS,02,31,03,2,6,3,1,1,0,1,0,148,135,155,142,14,297,03
98-99,0318,01,GRAND RAPIDS,03,31,03,3,2,1,0,0,0,1,1,145,142,150,145,8,295,03
98-99,0318,01,GRAND RAPIDS,04,31,03,10,2,2,1,1,2,1,1,174,146,188,152,20,340,03
98-99,0318,01,GRAND RAPIDS,05,31,03,2,7,4,1,1,0,1,0,153,150,161,158,16,319,03
98-99,0318,01,GRAND RAPIDS,06,31,03,4,10,0,1,0,0,0,0,173,151,177,162,15,339,03
98-99,0318,01,GRAND RAPIDS,07,31,03,2,6,1,1,0,1,0,0,217,171,220,179,11,399,03
98-99,0318,01,GRAND RAPIDS,08,31,03,6,9,1,1,0,2,0,0,179,186,186,198,19,384,03
98-99,0318,01,GRAND RAPIDS,09,31,03,17,4,2,0,1,2,1,0,201,207,222,213,27,435,03
98-99,0318,01,GRAND RAPIDS,10,31,03,6,9,2,1,1,5,2,2,190,198,201,215,28,416,03
98-99,0318,01,GRAND RAPIDS,11,31,03,5,10,1,0,0,3,2,1,219,196,227,210,22,437,03
98-99,0318,01,GRAND RAPIDS,12,31,03,8,12,1,3,5,3,1,0,211,202,226,220,33,446,03
98-99,0318,01,GRAND RAPIDS,KG,31,03,4,2,0,2,3,0,0,0,136,130,143,134,11,277,03
98-99,0318,01,GRAND RAPIDS,PK,31,03,1,0,0,0,1,0,0,0,32,18,34,18,2,52,03
98-99,0319,01,NASHWAUK-KEEWATIN,01,31,03,2,1,0,0,1,0,0,0,20,27,23,28,4,51,03
98-99,0319,01,NASHWAUK-KEEWATIN,02,31,03,0,1,0,0,0,0,0,1,30,18,30,20,2,50,03
98-99,0319,01,NASHWAUK-KEEWATIN,03,31,03,0,0,0,0,0,0,1,1,29,19,30,20,2,50,03
98-99,0319,01,NASHWAUK-KEEWATIN,04,31,03,0,0,0,0,0,0,1,0,23,28,24,28,1,52,03
98-99,0319,01,NASHWAUK-KEEWATIN,05,31,03,0,0,0,0,0,0,0,0,31,21,31,21,0,52,03
98-99,0319,01,NASHWAUK-KEEWATIN,06,31,03,0,0,0,0,0,0,0,1,41,14,41,15,1,56,03
98-99,0319,01,NASHWAUK-KEEWATIN,07,31,03,1,0,0,0,0,0,0,0,28,26,29,26,1,55,03
