districtNumber,districtType,districtName,year,totalStudents
0811,01,WABASHA-KELLOGG PUBLIC SCHOOL DIST.,2009,640
0813,01,LAKE CITY PUBLIC SCHOOL DISTRICT,2009,1335
0818,01,VERNDALE PUBLIC SCHOOL DISTRICT,2009,461
0820,01,SEBEKA PUBLIC SCHOOL DISTRICT,2009,502
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2009,749
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2009,1919
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2009,7175
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2009,3230
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2009,16604
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2009,8464
0836,01,BUTTERFIELD PUBLIC SCHOOL DISTRICT,2009,234
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2009,563
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2009,1154
0846,01,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,2009,833
0850,01,ROTHSAY PUBLIC SCHOOL DISTRICT,2009,203
0852,01,CAMPBELL-TINTAH PUBLIC SCHOOL DIST.,2009,114
0857,01,LEWISTON-ALTURA PUBLIC SCHOOL DIST.,2009,757
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2009,1036
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2009,3486
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2009,1711
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2009,5894
0879,01,DELANO PUBLIC SCHOOL DISTRICT,2009,2262
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2009,989
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2009,4036
0883,01,ROCKFORD PUBLIC SCHOOL DISTRICT,2009,1550
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2009,4873
0891,01,CANBY PUBLIC SCHOOL DISTRICT,2009,528
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,2009,5140
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2009,1874
0914,01,ULEN-HITTERDAL PUBLIC SCHOOL DIST,2009,275
0915,52,SOUTHERN PLAINS EDUCATION COOP.,2009,190
0916,06,NORTHEAST METRO 916,2009,671
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2009,640
0926,83,REGION 4-LAKES COUNTRY SERVICE COOP,2009,50
0935,52,FERGUS FALLS AREA SP. ED. COOP.,2009,98
0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,2009,168
0966,51,WRIGHT TECHNICAL CENTER,2009,141
0991,83,REGION 6 AND 8-SW/WC SERVICE COOP,2009,94
0998,52,BEMIDJI REGIONAL INTERDIST. COUNCIL,2009,18
1000,70,PERPICH CENTER FOR ARTS EDUCATION,2009,274
1100,60,MINNESOTA DEPARTMENT OF CORRECTIONS,2009,224
2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL,2009,814
2125,01,TRITON SCHOOL DISTRICT,2009,1123
2134,01,UNITED SOUTH CENTRAL SCHOOL DIST.,2009,761
2135,01,MAPLE RIVER SCHOOL DISTRICT,2009,1142
2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT,2009,719
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2009,2077
2143,01,WATERVILLE-ELYSIAN-MORRISTOWN,2009,913
2144,01,CHISAGO LAKES SCHOOL DISTRICT,2009,3528
2149,01,MINNEWASKA SCHOOL DISTRICT,2009,1161
2154,01,EVELETH-GILBERT SCHOOL DISTRICT,2009,1212
2155,01,WADENA-DEER CREEK SCHOOL DISTRICT,2009,1069
2159,01,BUFFALO LK-HECTOR-STEWART PUBLIC SC,2009,621
2164,01,DILWORTH-GLYNDON-FELTON,2009,1376
2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT,2009,1027
2167,01,LAKEVIEW SCHOOL DISTRICT,2009,587
2168,01,NRHEG SCHOOL DISTRICT,2009,982
2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST.,2009,751
2170,01,STAPLES-MOTLEY SCHOOL DISTRICT,2009,1341
2171,01,KITTSON CENTRAL SCHOOL DISTRICT,2009,312
2172,01,KENYON-WANAMINGO SCHOOL DISTRICT,2009,857
2174,01,PINE RIVER-BACKUS SCHOOL DISTRICT,2009,924
2176,01,WARREN-ALVARADO-OSLO SCHOOL DIST.,2009,458
2180,01,MACCRAY SCHOOL DISTRICT,2009,710
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2009,1222
2190,01,YELLOW MEDICINE EAST,2009,891
2198,01,FILLMORE CENTRAL,2009,571
2215,01,NORMAN COUNTY EAST SCHOOL DISTRICT,2009,344
2310,01,SIBLEY EAST SCHOOL DISTRICT,2009,1235
2311,01,CLEARBROOK-GONVICK SCHOOL DISTRICT,2009,482
2342,01,WEST CENTRAL AREA,2009,769
2358,01,TRI-COUNTY SCHOOL DISTRICT,2009,231
2364,01,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2009,725
2365,01,G.F.W.,2009,754
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2009,812
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2009,1191
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2009,789
2527,01,NORMAN COUNTY WEST SCHOOL DISTRICT,2009,285
2534,01,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2009,803
2536,01,GRANADA HUNTLEY-EAST CHAIN,2009,243
2580,01,EAST CENTRAL SCHOOL DISTRICT,2009,774
2609,01,WIN-E-MAC SCHOOL DISTRICT,2009,473
2683,01,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,2009,467
2687,01,HOWARD LAKE-WAVERLY-WINSTED,2009,1007
2689,01,PIPESTONE AREA SCHOOL DISTRICT,2009,1164
2711,01,MESABI EAST SCHOOL DISTRICT,2009,865
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2009,1739
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST,2009,1121
2754,01,CEDAR MOUNTAIN SCHOOL DISTRICT,2009,444
2769,01,MORRIS AREA PUBLIC SCHOOLS,2009,975
2805,01,ZUMBROTA-MAZEPPA SCHOOL DISTRICT,2009,1080
2835,01,JANESVILLE-WALDORF-PEMBERTON,2009,545
2853,01,LAC QUI PARLE VALLEY SCHOOL DIST.,2009,879
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2009,559
2856,01,STEPHEN-ARGYLE CENTRAL SCHOOLS,2009,365
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2009,1638
2860,01,BLUE EARTH AREA PUBLIC SCHOOL,2009,1210
2884,01,RED ROCK CENTRAL SCHOOL DISTRICT,2009,473
2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT,2009,342
2888,01,CLINTON-GRACEVILLE-BEARDSLEY,2009,373
2889,01,LAKE PARK AUDUBON SCHOOL DISTRICT,2009,613
2890,01,RENVILLE COUNTY WEST SCHOOL DIST.,2009,590
2895,01,JACKSON COUNTY CENTRAL SCHOOL DIST.,2009,1141
2897,01,REDWOOD AREA SCHOOL DISTRICT,2009,1257
2898,01,WESTBROOK-WALNUT GROVE SCHOOLS,2009,553
2899,01,PLAINVIEW-ELGIN-MILLVILLE,2009,1582
2902,01,RTR PUBLIC SCHOOLS,2009,564
2903,01,ORTONVILLE PUBLIC SCHOOLS,2009,NA
2904,01,TRACY AREA PUBLIC SCHOOL DISTRICT,2009,NA
2905,01,TRI-CITY UNITED SCHOOL DISTRICT,2009,NA
2906,01,RED LAKE COUNTY CENTRAL PUBLIC SCH,2009,NA
2907,01,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,2009,NA
2908,01,BRANDON-EVANSVILLE PUBLIC SCHOOLS,2009,NA
4000,07,CITY ACADEMY,2009,133
4001,07,BLUFFVIEW MONTESSORI,2009,206
4003,07,"NEW HEIGHTS SCHOOL, INC.",2009,124
4004,07,CEDAR RIVERSIDE COMMUNITY SCHOOL,2009,111
4005,07,METRO DEAF SCHOOL,2009,67
4007,07,MINNESOTA NEW COUNTRY SCHOOL,2009,111
4008,07,PACT CHARTER SCHOOL,2009,575
4011,07,ATHLOS LEADERSHIP ACADEMY,2009,190
4015,07,COMMUNITY OF PEACE ACADEMY,2009,662
4016,07,WORLD LEARNER CHARTER SCHOOL,2009,175
4017,07,MINNESOTA TRANSITIONS CHARTER SCH,2009,3263
4018,07,ACHIEVE LANGUAGE ACADEMY,2009,428
4020,07,DULUTH PUBLIC SCHOOLS ACADEMY,2009,873
4025,07,CYBER VILLAGE ACADEMY,2009,104
4026,07,E.C.H.O. CHARTER SCHOOL,2009,185
4027,07,HIGHER GROUND ACADEMY,2009,569
4029,07,ST. PAUL CITY SCHOOL,2009,315
4031,07,JENNINGS COMMUNITY SCHOOL,2009,46
4032,07,HARVEST PREPARATORY SCHOOL,2009,331
4035,07,LIFE PREP,2009,237
4036,07,FACE TO FACE ACADEMY,2009,68
4038,07,SOJOURNER TRUTH ACADEMY,2009,282
4039,07,HIGH SCHOOL FOR RECORDING ARTS,2009,225
4043,07,MATH AND SCIENCE ACADEMY,2009,327
4049,07,NORTHWEST PASSAGE HIGH SCHOOL,2009,202
4050,07,LAFAYETTE PUBLIC CHARTER SCHOOL,2009,83
4053,07,NORTH LAKES ACADEMY,2009,230
4054,07,LA CRESCENT MONTESSORI & STEM SCHOO,2009,36
4055,07,NERSTRAND CHARTER SCHOOL,2009,154
4056,07,ROSA PARKS CHARTER HIGH SCHOOL,2009,104
4057,07,EL COLEGIO CHARTER SCHOOL,2009,104
4058,07,SCHOOLCRAFT LEARNING COMMUNITY CHTR,2009,175
4059,07,CROSSLAKE COMMUNITY CHARTER SCHOOL,2009,116
4064,07,RIVERWAY LEARNING COMMUNITY CHTR,2009,84
4066,07,KATO PUBLIC CHARTER SCHOOL,2009,86
4067,07,AURORA CHARTER SCHOOL,2009,306
4068,07,EXCELL ACADEMY CHARTER,2009,414
4070,07,HOPE COMMUNITY ACADEMY,2009,429
4073,07,ACADEMIA CESAR CHAVEZ CHARTER SCH.,2009,292
4074,07,AFSA HIGH SCHOOL,2009,213
4075,07,AVALON SCHOOL,2009,181
4077,07,TWIN CITIES INTERNATIONAL ELEM SCH,2009,569
4078,07,MINNESOTA INTERNATIONAL MIDDLE CHTR,2009,313
4079,07,FRIENDSHIP ACDMY OF FINE ARTS CHTR.,2009,104
4080,07,PILLAGER AREA CHARTER SCHOOL,2009,42
4081,07,DISCOVERY PUBLIC SCHOOL FARIBAULT,2009,51
4082,07,BLUESKY CHARTER SCHOOL,2009,819
4083,07,RIDGEWAY COMMUNITY SCHOOL,2009,69
4084,07,NORTH SHORE COMMUNITY SCHOOL,2009,284
4085,07,HARBOR CITY INTERNATIONAL CHARTER,2009,197
4087,07,SAGE ACADEMY CHARTER SCHOOL,2009,88
4088,07,URBAN ACADEMY CHARTER SCHOOL,2009,275
4089,07,NEW CITY SCHOOL,2009,126
4090,07,PRAIRIE CREEK COMMUNITY SCHOOL,2009,119
4091,07,ARCADIA CHARTER SCHOOL,2009,118
4092,07,WATERSHED HIGH SCHOOL,2009,89
4093,07,NEW CENTURY ACADEMY,2009,162
4095,07,TRIO WOLF CREEK DISTANCE LEARNING,2009,123
4097,07,"PARTNERSHIP ACADEMY, INC.",2009,280
4098,07,NOVA CLASSICAL ACADEMY,2009,403
4100,07,GREAT EXPECTATIONS,2009,60
4102,07,MINNESOTA INTERNSHIP CENTER,2009,414
4103,07,HMONG COLLEGE PREP ACADEMY,2009,480
4104,07,PALADIN CAREER AND TECH HIGH SCHOOL,2009,153
4105,07,GREAT RIVER SCHOOL,2009,231
4106,07,TREKNORTH HIGH SCHOOL,2009,172
4107,07,VOYAGEURS EXPEDITIONARY,2009,76
4110,07,PIM ARTS HIGH SCHOOL,2009,217
4111,07,AUGSBURG FAIRVIEW ACADEMY,2009,140
4112,07,ST PAUL CONSERVATORY PERFORMING ART,2009,401
4113,07,SPERO ACADEMY,2009,71
4116,07,LAKES INTERNATIONAL LANGUAGE ACADEM,2009,503
4118,07,KALEIDOSCOPE CHARTER SCHOOL,2009,408
4119,07,ACADEMIC ARTS HIGH SCHOOL,2009,74
4120,07,ST. CROIX PREPARATORY ACADEMY,2009,711
4121,07,UBAH MEDICAL ACADEMY CHARTER SCHOOL,2009,242
4122,07,EAGLE RIDGE ACADEMY CHARTER SCHOOL,2009,256
4124,07,BEACON ACADEMY,2009,367
4126,07,PRAIRIE SEEDS ACADEMY,2009,444
4127,07,TEAM ACADEMY,2009,150
4131,07,METRO SCHOOLS CHARTER,2009,245
4132,07,TWIN CITIES ACADEMY,2009,102
4135,07,ROCHESTER MATH AND SCIENCE ACADEMY,2009,197
4137,07,SWAN RIVER MONTESSORI CHARTER SCH,2009,144
4138,07,MILROY AREA CHARTER SCHOOL,2009,49
4139,07,LOVEWORKS ACADEMY FOR ARTS,2009,266
4140,07,YINGHUA ACADEMY,2009,228
4142,07,STRIDE ACADEMY CHARTER SCHOOL,2009,249
4143,07,NEW MILLENNIUM ACADEMY CHARTER SCH,2009,330
4144,07,GREEN ISLE COMMUNITY SCHOOL,2009,88
4145,07,BIRCH GROVE COMMUNITY SCHOOL,2009,41
4146,07,NORTHERN LIGHTS COMMUNITY SCHOOL,2009,107
4150,07,MINNESOTA ONLINE HIGH SCHOOL,2009,119
4151,07,EDVISIONS OFF CAMPUS SCHOOL,2009,77
4152,07,TWIN CITIES GERMAN IMMERSION CHTR,2009,157
4153,07,DUGSI ACADEMY,2009,215
4155,07,NAYTAHWAUSH COMMUNITY SCHOOL,2009,86
4159,07,SEVEN HILLS PREPARATORY ACADEMY,2009,340
4160,07,SPECTRUM HIGH SCHOOL,2009,187
4161,07,NEW DISCOVERIES MONTESSORI ACADEMY,2009,168
4162,07,SOUTHSIDE FAMILY CHARTER SCHOOL,2009,90
4163,07,LEARNING FOR LEADERSHIP CHARTER,2009,181
4164,07,LAURA JEFFREY ACADEMY CHARTER,2009,98
4166,07,EAST RANGE ACADEMY OF TECH-SCIENCE,2009,105
4167,07,INTERNATIONAL SPANISH LANGUAGE ACAD,2009,121
4168,07,GLACIAL HILLS ELEMENTARY,2009,100
4169,07,STONEBRIDGE WORLD SCHOOL,2009,112
4170,07,HIAWATHA ACADEMIES,2009,194
4171,07,NOBLE ACADEMY,2009,362
4172,07,CLARKFIELD CHARTER SCHOOL,2009,69
4177,07,MINISINAAKWAANG LEADERSHIP ACADEMY,2009,28
4178,07,LINCOLN INTERNATIONAL SCHOOL,2009,149
4181,07,COMMUNITY SCHOOL OF EXCELLENCE,2009,323
4183,07,LIONSGATE ACADEMY,2009,71
4184,07,ASPEN ACADEMY,2009,136
4185,07,DAVINCI ACADEMY,2009,170
4186,07,GLOBAL ACADEMY,2009,272
4187,07,NATURAL SCIENCE ACADEMY,2009,40
4188,07,COLOGNE ACADEMY,2009,136
4189,07,BRIGHT WATER ELEMENTARY,2009,43
4190,07,RIVERS EDGE ACADEMY,2009,NA
4191,07,KIPP MINNESOTA CHARTER SCHOOL,2009,71
4192,07,BEST ACADEMY,2009,265
4193,07,COLLEGE PREPARATORY ELEMENTARY,2009,NA
4194,07,CANNON RIVER STEM SCHOOL,2009,NA
4195,07,OSHKI OGIMAAG CHARTER SCHOOL,2009,NA
4198,07,DISCOVERY WOODS,2009,NA
4199,07,PARNASSUS PREPARATORY CHARTER SCH,2009,NA
4200,07,STEP ACADEMY CHARTER SCHOOL,2009,NA
4201,07,CORNERSTONE MONTESSORI ELEMENTARY,2009,NA
4204,07,ROCHESTER STEM ACADEMY,2009,NA
4205,07,HENNEPIN ELEMENTARY SCHOOL,2009,NA
4207,07,VERMILION COUNTRY SCHOOL,2009,NA
4208,07,NASHA SHKOLA CHARTER SCHOOL,2009,NA
4209,07,MASTERY SCHOOL,2009,NA
4210,07,UPPER MISSISSIPPI ACADEMY,2009,NA
4212,07,WEST SIDE SUMMIT CHARTER SCHOOL,2009,NA
4213,07,PRODEO ACADEMY,2009,NA
4215,07,SEJONG ACADEMY OF MINNESOTA,2009,NA
4217,07,TECHNICAL ACADEMIES OF MINNESOTA,2009,NA
4218,07,VENTURE ACADEMY,2009,NA
4219,07,NORTHEAST COLLEGE PREP,2009,NA
4220,07,AGAMIM CLASSICAL ACADEMY,2009,NA
4221,07,DISCOVERY CHARTER SCHOOL,2009,NA
4223,07,SAINT CLOUD MATH AND SCIENCE ACADEM,2009,NA
4224,07,STAR OF THE NORTH ACADEMY CHARTER S,2009,NA
4225,07,UNIVERSAL ACADEMY CHARTER SCHOOL,2009,NA
4226,07,BDOTE LEARNING CENTER,2009,NA
4227,07,ART AND SCIENCE ACADEMY,2009,NA
4228,07,WOODBURY LEADERSHIP ACADEMY,2009,NA
4229,07,JANE GOODALL ENVIRONMENTAL SCIENCE,2009,NA
4230,07,MINNESOTA EXCELLENCE IN LEARNING AC,2009,NA
4231,07,MINNESOTA MATH AND SCIENCE ACADEMY,2009,NA
4232,07,SUCCESS ACADEMY,2009,NA
4233,07,LEVEL UP ACADEMY,2009,NA
4237,07,CAREER PATHWAYS,2009,NA
4238,07,ROCHESTER BEACON ACADEMY,2009,NA
4239,07,TESFA INTERNATIONAL SCHOOL,2009,NA
4240,07,NEW CENTURY SCHOOL,2009,NA
4243,07,NORTH METRO FLEX ACADEMY,2009,NA
4244,07,FIT ACADEMY,2009,NA
4246,07,BIG PICTURE TWIN CITIES,2009,NA
4250,07,ATHLOS ACADEMY OF SAINT CLOUD,2009,NA
4254,07,MARINE AREA COMMUNITY SCHOOL,2009,NA
6004,61,FRESHWATER ED. DIST.,2009,294
6012,61,ZUMBRO EDUCATION DISTRICT,2009,124
6013,61,HIAWATHA VALLEY ED. DISTRICT,2009,154
6014,61,RUNESTONE AREA ED. DISTRICT,2009,120
6018,61,MN RIVER VALLEY EDUCATION DISTRICT,2009,122
6026,61,WEST CENTRAL EDUCATION DISTRICT,2009,49
6027,61,MN VALLEY EDUCATION DISTRICT,2009,40
6049,61,RIVER BEND EDUCATION DISTRICT,2009,135
6051,61,GOODHUE COUNTY EDUCATION DISTRICT,2009,62
6074,50,CENTRAL MINNESOTA JT. POWERS DIST.,2009,44
6076,50,NORTHLAND LEARNING CENTER,2009,110
6079,52,RUM RIVER SPECIAL EDUCATION COOP,2009,55
6083,52,SOUTHERN MN EDUCATION CONSORTIUM,2009,NA
6090,52,SHERBURNE AND NORTHERN WRIGHT SPECI,2009,NA
6094,52,CANNON VALLEY SPECIAL EDUCATION COO,2009,NA
6095,52,AUSTIN ALBERT LEA AREA SPECIAL EDUC,2009,NA
6096,52,NORTHERN LIGHTS ACADEMY COOPERATIVE,2009,NA
6383,61,BENTON-STEARNS ED. DISTRICT,2009,81
6979,61,MID STATE EDUCATION DISTRICT,2009,34
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2008,1308
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,2008,34999
0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,2008,316
0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,2008,371
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,2008,3321
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2008,40656
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2008,6911
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2008,2984
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2008,2725
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,2008,5893
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2008,4647
0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,2008,2724
0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,2008,940
0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,2008,64
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2008,4861
0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,2008,666
0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,2008,234
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2008,1410
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2008,3765
0051,01,FOLEY PUBLIC SCHOOL DISTRICT,2008,1675
0075,01,ST. CLAIR PUBLIC SCHOOL DISTRICT,2008,628
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2008,7245
0081,01,COMFREY PUBLIC SCHOOL DISTRICT,2008,165
0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT,2008,668
0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT,2008,589
0088,01,NEW ULM PUBLIC SCHOOL DISTRICT,2008,2064
0091,01,BARNUM PUBLIC SCHOOL DISTRICT,2008,734
0093,01,CARLTON PUBLIC SCHOOL DISTRICT,2008,630
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2008,2350
0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS,2008,325
0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2008,738
0099,01,ESKO PUBLIC SCHOOL DISTRICT,2008,1130
0100,01,WRENSHALL PUBLIC SCHOOL DISTRICT,2008,325
0108,01,CENTRAL PUBLIC SCHOOL DISTRICT,2008,1074
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2008,2985
0111,01,WATERTOWN-MAYER PUBLIC SCHOOL DIST.,2008,1659
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2008,8841
0113,01,WALKER-HACKENSACK-AKELEY SCHL. DIST,2008,885
0115,01,CASS LAKE-BENA PUBLIC SCHOOLS,2008,1071
0116,01,PILLAGER PUBLIC SCHOOL DISTRICT,2008,759
0118,01,NORTHLAND COMMUNITY SCHOOLS,2008,485
0129,01,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2008,1410
0138,01,NORTH BRANCH PUBLIC SCHOOLS,2008,3860
0139,01,RUSH CITY PUBLIC SCHOOL DISTRICT,2008,933
0146,01,BARNESVILLE PUBLIC SCHOOL DIST.,2008,798
0150,01,HAWLEY PUBLIC SCHOOL DISTRICT,2008,899
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2008,5430
0160,70,MINNESOTA STATE ACADEMIES,2008,182
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2008,1038
0166,01,COOK COUNTY PUBLIC SCHOOLS,2008,578
0173,01,MOUNTAIN LAKE PUBLIC SCHOOLS,2008,495
0177,01,WINDOM PUBLIC SCHOOL DISTRICT,2008,949
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2008,7116
0182,01,CROSBY-IRONTON PUBLIC SCHOOL DIST.,2008,1252
0186,01,PEQUOT LAKES PUBLIC SCHOOLS,2008,1606
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2008,10389
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2008,6280
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2008,11327
0195,01,RANDOLPH PUBLIC SCHOOL DISTRICT,2008,513
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2008,27867
0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,2008,4513
0199,01,INVER GROVE HEIGHTS SCHOOLS,2008,3713
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2008,4920
0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT,2008,839
0204,01,KASSON-MANTORVILLE SCHOOL DISTRICT,2008,2061
0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2008,3961
0213,01,OSAKIS PUBLIC SCHOOL DISTRICT,2008,741
0227,01,CHATFIELD PUBLIC SCHOOLS,2008,888
0229,01,LANESBORO PUBLIC SCHOOL DISTRICT,2008,356
0238,01,MABEL-CANTON PUBLIC SCHOOL DIST.,2008,346
0239,01,RUSHFORD-PETERSON PUBLIC SCHOOLS,2008,647
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2008,3367
0242,01,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2008,442
0252,01,CANNON FALLS PUBLIC SCHOOL DISTRICT,2008,1289
0253,01,GOODHUE PUBLIC SCHOOL DISTRICT,2008,633
0255,01,PINE ISLAND PUBLIC SCHOOL DIST.,2008,1242
0256,01,RED WING PUBLIC SCHOOL DISTRICT,2008,2910
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2008,261
0264,01,HERMAN-NORCROSS SCHOOL DISTRICT,2008,125
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2008,7672
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2008,10432
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2008,9906
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2008,7808
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2008,7974
0277,01,WESTONKA PUBLIC SCHOOL DISTRICT,2008,2280
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2008,2662
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2008,21859
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2008,4144
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2008,12891
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2008,1732
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2008,4271
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2008,9990
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2008,1763
0287,06,INTERMEDIATE SCHOOL DISTRICT 287,2008,1654
0288,06,SOUTHWEST METRO INTERMEDIATE 288,2008,NA
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2008,1287
0297,01,SPRING GROVE SCHOOL DISTRICT,2008,348
0299,01,CALEDONIA PUBLIC SCHOOL DISTRICT,2008,804
0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT,2008,1405
0306,01,LAPORTE PUBLIC SCHOOL DISTRICT,2008,268
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2008,540
0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT,2008,1611
0314,01,BRAHAM PUBLIC SCHOOL DISTRICT,2008,958
0316,01,GREENWAY PUBLIC SCHOOL DISTRICT,2008,1174
0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT,2008,965
0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2008,3879
0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT,2008,616
0330,01,HERON LAKE-OKABENA SCHOOL DISTRICT,2008,364
0332,01,MORA PUBLIC SCHOOL DISTRICT,2008,1942
0333,01,OGILVIE PUBLIC SCHOOL DISTRICT,2008,632
0345,01,NEW LONDON-SPICER SCHOOL DISTRICT,2008,1588
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2008,4189
0356,01,LANCASTER PUBLIC SCHOOL DISTRICT,2008,191
0361,01,INTERNATIONAL FALLS SCHOOL DISTRICT,2008,1312
0362,01,LITTLEFORK-BIG FALLS SCHOOL DIST.,2008,353
0363,01,SOUTH KOOCHICHING SCHOOL DISTRICT,2008,371
0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,2008,517
0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.,2008,1469
0390,01,LAKE OF THE WOODS SCHOOL DISTRICT,2008,550
0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT,2008,427
0397,52,LAKE AGASSIZ SPECIAL ED. COOP.,2008,49
0398,52,MIDWEST SPECIAL EDUCATION COOP.,2008,6
0402,01,HENDRICKS PUBLIC SCHOOL DISTRICT,2008,173
