districtNumber,districtType,districtName,year,totalStudents
0361,01,INTERNATIONAL FALLS SCHOOL DISTRICT,2018,1069
0362,01,LITTLEFORK-BIG FALLS SCHOOL DIST.,2018,339
0363,01,SOUTH KOOCHICHING SCHOOL DISTRICT,2018,290
0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,2018,567
0381,01,LAKE SUPERIOR PUBLIC SCHOOL DIST.,2018,1388
0390,01,LAKE OF THE WOODS SCHOOL DISTRICT,2018,451
0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT,2018,514
0397,52,LAKE AGASSIZ SPECIAL ED. COOP.,2018,69
0398,52,MIDWEST SPECIAL EDUCATION COOP.,2018,20
0402,01,HENDRICKS PUBLIC SCHOOL DISTRICT,2018,132
0403,01,IVANHOE PUBLIC SCHOOL DISTRICT,2018,91
0404,01,LAKE BENTON PUBLIC SCHOOL DISTRICT,2018,140
0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,2018,2638
0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,2018,531
0415,01,LYND PUBLIC SCHOOL DISTRICT,2018,165
0423,01,HUTCHINSON PUBLIC SCHOOL DISTRICT,2018,2958
0424,01,LESTER PRAIRIE PUBLIC SCHOOL DIST.,2018,443
0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,2018,653
0435,01,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH,2018,671
0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,2018,404
0447,01,GRYGLA PUBLIC SCHOOL DISTRICT,2018,153
0458,01,TRUMAN PUBLIC SCHOOL DISTRICT,2018,206
0463,01,EDEN VALLEY-WATKINS SCHOOL DISTRICT,2018,978
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2018,1555
0466,01,DASSEL-COKATO PUBLIC SCHOOL DIST.,2018,2270
0473,01,ISLE PUBLIC SCHOOL DISTRICT,2018,457
0477,01,PRINCETON PUBLIC SCHOOL DISTRICT,2018,3387
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2018,652
0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2018,2512
0484,01,PIERZ PUBLIC SCHOOL DISTRICT,2018,1194
0485,01,ROYALTON PUBLIC SCHOOL DISTRICT,2018,943
0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT,2018,340
