DistrictNumber,districtType,districtName,year,percentMinority
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST,2000,0.0587412587412587
4139,07,LOVEWORKS ACADEMY FOR ARTS,2000,NA
2184,01,LUVERNE PUBLIC SCHOOL DISTRICT,2000,0.03909026297086
0497,01,LYLE PUBLIC SCHOOL DISTRICT,2000,0
0415,01,LYND PUBLIC SCHOOL DISTRICT,2000,0.215909090909091
0238,01,MABEL-CANTON PUBLIC SCHOOL DIST.,2000,0.0147783251231527
2180,01,MACCRAY SCHOOL DISTRICT,2000,0.0608519269776876
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2000,0.242574257425743
0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,2000,0.583657587548638
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2000,0.0388888888888889
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2000,0.0773210290827741
0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT,2000,0.0106157112526539
2135,01,MAPLE RIVER SCHOOL DISTRICT,2000,0.0211598746081505
4254,07,Marine Area Community School,2000,NA
0441,01,MARSHALL COUNTY CENTRAL SCHOOLS,2000,0.00523560209424084
0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,2000,0.130746520455504
2448,01,MARTIN COUNTY WEST SCHOOL DISTRICT,2000,0.0166830225711482
4209,07,MASTERY SCHOOL,2000,NA
4043,07,MATH AND SCIENCE ACADEMY,2000,0
0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,2000,0.150976909413854
0763,01,MEDFORD PUBLIC SCHOOL DISTRICT,2000,0.0712979890310786
0938,52,MEEKER AND WRIGHT SPECIAL EDUCATION,2000,0.043010752688172
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2000,0.0415355569540592
0821,01,MENAHGA PUBLIC SCHOOL DISTRICT,2000,0.0258152173913043
2711,01,MESABI EAST SCHOOL DISTRICT,2000,0.0274725274725275
4005,07,METRO DEAF SCHOOL,2000,0.0634920634920635
4131,07,METRO SCHOOLS CHARTER,2000,NA
6979,61,MID STATE EDUCATION DISTRICT,2000,NA
0398,52,MIDWEST SPECIAL EDUCATION COOP.,2000,0
0912,01,MILACA PUBLIC SCHOOL DISTRICT,2000,0.0512676056338028
4138,07,MILROY AREA CHARTER SCHOOL,2000,NA
0635,01,MILROY PUBLIC SCHOOL DISTRICT,2000,0.0254237288135593
4177,07,MINISINAAKWAANG LEADERSHIP ACADEMY,2000,NA
0001,03,Minneapolis Public School District,2000,0.710606309562931
0414,01,MINNEOTA PUBLIC SCHOOL DISTRICT,2000,0.0462107208872458
1100,60,MINNESOTA DEPARTMENT OF CORRECTIONS,2000,NA
4230,07,Minnesota Excellence in Learning Ac,2000,NA
4078,07,MINNESOTA INTERNATIONAL MIDDLE CHTR,2000,NA
4102,07,MINNESOTA INTERNSHIP CENTER,2000,NA
4231,07,MINNESOTA MATH AND SCIENCE ACADEMY,2000,NA
4007,07,MINNESOTA NEW COUNTRY SCHOOL,2000,0.00793650793650794
4150,07,MINNESOTA ONLINE HIGH SCHOOL,2000,NA
0160,70,MINNESOTA STATE ACADEMIES,2000,0.17258883248731
4017,07,MINNESOTA TRANSITIONS CHARTER SCH,2000,0.607929515418502
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2000,0.0521953114881492
2149,01,MINNEWASKA SCHOOL DISTRICT,2000,0.0168311085316309
6018,61,MN RIVER VALLEY EDUCATION DISTRICT,2000,0.0454545454545455
6027,61,MN VALLEY EDUCATION DISTRICT,2000,0.0266666666666667
0129,01,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2000,0.0393996247654784
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2000,0.0265761945151258
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2000,0.141577678263865
0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2000,0.0292993630573248
0332,01,MORA PUBLIC SCHOOL DISTRICT,2000,0.0402355250245339
2769,01,MORRIS AREA PUBLIC SCHOOLS,2000,0.0326278659611993
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2000,0.116681935537603
0712,01,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,2000,0.0152027027027027
0173,01,MOUNTAIN LAKE PUBLIC SCHOOLS,2000,0.27037037037037
2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST.,2000,0.0102272727272727
4208,07,NASHA SHKOLA CHARTER SCHOOL,2000,NA
0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT,2000,0.0286944045911047
