DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
02-03,14,Clay                                         ,2164,01,DILWORTH-GLYNDON-FELTON            ,000, ,04,04 ,All Grades,19,17,2,2,68,48,6,2,615,567,710,636,164,1346,  , ,  
02-03,15,Clearwater                                   ,0162,01,BAGLEY                             ,000, ,01,02 ,All Grades,107,107,0,5,7,5,1,1,429,424,544,542,233,1086,  , ,  
02-03,15,Clearwater                                   ,2311,01,CLEARBROOK-GONVICK                 ,000, ,01,02 ,All Grades,22,20,1,7,0,5,2,2,248,219,273,253,59,526,  , ,  
02-03,16,Cook                                         ,0166,01,COOK COUNTY                        ,000, ,03,03 ,All Grades,50,51,2,7,0,2,3,1,299,280,354,341,116,695,  , ,  
02-03,17,Cottonwood                                   ,0173,01,MOUNTAIN LAKE                      ,000, ,06,08 ,All Grades,1,1,49,41,26,22,3,1,196,172,275,237,144,512,  , ,  
02-03,17,Cottonwood                                   ,0177,01,WINDOM                             ,000, ,06,08 ,All Grades,7,6,3,7,17,14,2,2,492,497,521,526,58,1047,  , ,  
02-03,17,Cottonwood                                   ,2884,01,RED ROCK CENTRAL                   ,000, ,06,08 ,All Grades,0,2,1,2,2,5,0,2,274,245,277,256,14,533,  , ,  
02-03,17,Cottonwood                                   ,2898,01,WESTBROOK-WALNUT GROVE SCHOOLS     ,000, ,06,08 ,All Grades,0,0,34,52,1,1,0,3,208,210,243,266,91,509,  , ,  
02-03,18,Crow Wing                                    ,0181,01,BRAINERD                           ,000, ,05,05 ,All Grades,47,50,14,18,16,17,36,25,3635,3445,3748,3555,223,7303,  , ,  
02-03,18,Crow Wing                                    ,0182,01,CROSBY-IRONTON                     ,000, ,05,05 ,All Grades,13,6,2,4,4,10,4,10,726,734,749,764,53,1513,  , ,  
02-03,18,Crow Wing                                    ,0186,01,PEQUOT LAKES                       ,000, ,05,05 ,All Grades,3,3,1,1,4,6,0,1,712,638,720,649,19,1369,  , ,  
02-03,18,Crow Wing                                    ,4012,07,EMILY CHARTER SCHOOL               ,000, ,05,05 ,All Grades,0,0,0,0,0,1,0,0,31,40,31,41,1,72,  , ,  
02-03,18,Crow Wing                                    ,4059,07,CROSSLAKE COMMUNITY CHARTER SCHOOL ,000, ,05,05 ,All Grades,0,0,0,0,0,0,0,3,30,31,30,34,3,64,  , ,  
02-03,19,Dakota                                       ,0006,03,SOUTH ST. PAUL                     ,000, ,11,11 ,All Grades,15,10,17,26,170,167,53,55,1476,1443,1731,1701,513,3432,  , ,  
02-03,19,Dakota                                       ,0191,01,BURNSVILLE                         ,000, ,11,11 ,All Grades,39,28,411,403,242,177,624,601,4545,4316,5861,5525,2525,11386,  , ,  
02-03,19,Dakota                                       ,0192,01,FARMINGTON                         ,000, ,11,11 ,All Grades,6,6,55,52,41,46,46,37,2596,2376,2744,2517,289,5261,  , ,  
02-03,19,Dakota                                       ,0194,01,LAKEVILLE                          ,000, ,11,11 ,All Grades,16,10,83,84,55,59,79,75,5004,4689,5237,4917,461,10154,  , ,  
02-03,19,Dakota                                       ,0195,01,RANDOLPH                           ,000, ,11,11 ,All Grades,1,1,0,1,4,2,2,1,245,206,252,211,12,463,  , ,  
02-03,19,Dakota                                       ,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN       ,000, ,11,11 ,All Grades,87,61,773,771,380,344,773,696,12613,11988,14626,13860,3885,28486,  , ,  
02-03,19,Dakota                                       ,0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN   ,000, ,11,11 ,All Grades,21,21,126,112,291,252,184,152,1847,1777,2469,2314,1159,4783,  , ,  
02-03,19,Dakota                                       ,0199,01,INVER GROVE                        ,000, ,11,11 ,All Grades,6,11,70,54,120,110,95,96,1762,1627,2053,1898,562,3951,  , ,  
02-03,19,Dakota                                       ,0200,01,HASTINGS                           ,000, ,11,11 ,All Grades,21,30,31,29,47,53,36,44,2531,2333,2666,2489,291,5155,  , ,  
02-03,19,Dakota                                       ,0917,06,INTERMEDIATE SCHOOL DISTRICT 917   ,000, ,11,11 ,All Grades,4,3,6,5,9,7,30,13,335,175,384,203,77,587,  , ,  
02-03,19,Dakota                                       ,4090,07,PRAIRIE CREEK COMMUNITY SCHOOL     ,000, ,10,10 ,All Grades,1,0,5,3,0,0,0,0,51,42,57,45,9,102,  , ,  
02-03,20,Dodge                                        ,0203,01,HAYFIELD                           ,000, ,10,10 ,All Grades,0,0,4,5,19,15,2,0,470,450,495,470,45,965,  , ,  
02-03,20,Dodge                                        ,0204,01,KASSON-MANTORVILLE                 ,000, ,10,10 ,All Grades,4,3,5,14,30,16,8,4,895,887,942,924,84,1866,  , ,  
02-03,20,Dodge                                        ,2125,01,TRITON                             ,000, ,10,10 ,All Grades,0,0,0,4,47,50,0,0,536,509,583,563,101,1146,  , ,  
02-03,21,Douglas                                      ,0206,01,ALEXANDRIA                         ,000, ,04,04 ,All Grades,2,5,10,17,19,4,24,16,2051,1952,2106,1994,97,4100,  , ,  
02-03,21,Douglas                                      ,0207,01,BRANDON                            ,000, ,04,04 ,All Grades,0,0,0,1,0,0,1,0,157,162,158,163,2,321,  , ,  
02-03,21,Douglas                                      ,0208,01,EVANSVILLE                         ,000, ,04,04 ,All Grades,0,0,0,0,0,0,0,0,116,108,116,108,0,224,  , ,  
02-03,21,Douglas                                      ,0213,01,OSAKIS                             ,000, ,04,04 ,All Grades,0,0,1,4,0,0,0,1,316,341,317,346,6,663,  , ,  
02-03,21,Douglas                                      ,4045,07,LAKES AREA CHARTER SCHOOL          ,000, ,04,04 ,All Grades,0,0,0,0,1,1,0,0,44,12,45,13,2,58,  , ,  
02-03,21,Douglas                                      ,6014,61,RUNESTONE AREA ED. DISTRICT        ,000, ,04,04 ,All Grades,1,0,0,0,1,1,0,0,83,47,85,48,3,133,  , ,  
02-03,22,Faribault                                    ,2134,01,UNITED SOUTH CENTRAL               ,000, ,09,09 ,All Grades,1,3,7,6,31,39,3,3,475,442,517,493,93,1010,  , ,  
02-03,22,Faribault                                    ,2860,01,BLUE EARTH AREA PUBLIC SCHOOL      ,000, ,09,09 ,All Grades,1,2,3,4,49,46,3,7,689,614,745,673,115,1418,  , ,  
02-03,23,Fillmore                                     ,0229,01,LANESBORO                          ,000, ,10,10 ,All Grades,0,0,0,0,0,2,0,0,196,165,196,167,2,363,  , ,  
02-03,23,Fillmore                                     ,0238,01,MABEL-CANTON                       ,000, ,10,10 ,All Grades,0,0,0,0,0,0,0,0,183,203,183,203,0,386,  , ,  
02-03,23,Fillmore                                     ,0239,01,RUSHFORD-PETERSON                  ,000, ,10,10 ,All Grades,2,0,5,3,0,1,1,0,344,338,352,342,12,694,  , ,  
02-03,23,Fillmore                                     ,2137,01,KINGSLAND                          ,000, ,10,10 ,All Grades,3,2,0,6,0,3,1,1,442,454,446,466,16,912,  , ,  
02-03,23,Fillmore                                     ,2198,01,FILLMORE CENTRAL                   ,000, ,10,10 ,All Grades,0,0,1,1,7,3,1,1,378,337,387,342,14,729,  , ,  
02-03,24,Freeborn                                     ,0241,01,ALBERT LEA                         ,000, ,10,10 ,All Grades,3,2,22,14,248,249,14,11,1565,1585,1852,1861,563,3713,  , ,  
02-03,24,Freeborn                                     ,0242,01,ALDEN                              ,000, ,10,10 ,All Grades,0,0,2,3,9,8,2,2,195,199,208,212,26,420,  , ,  
02-03,24,Freeborn                                     ,2886,01,GLENVILLE-EMMONS                   ,000, ,10,10 ,All Grades,2,3,4,5,6,8,3,0,237,215,252,231,31,483,  , ,  
02-03,25,Goodhue                                      ,0252,01,CANNON FALLS                       ,000, ,10,10 ,All Grades,2,6,10,12,1,4,4,2,735,713,752,737,41,1489,  , ,  
02-03,25,Goodhue                                      ,0253,01,GOODHUE                            ,000, ,10,10 ,All Grades,0,0,2,2,3,7,0,1,291,277,296,287,15,583,  , ,  
02-03,25,Goodhue                                      ,0255,01,PINE ISLAND                        ,000, ,10,10 ,All Grades,2,1,5,7,11,12,6,9,606,584,630,613,53,1243,  , ,  
02-03,25,Goodhue                                      ,0256,01,RED WING                           ,000, ,10,10 ,All Grades,60,51,20,29,33,31,37,47,1440,1420,1590,1578,308,3168,  , ,  
02-03,25,Goodhue                                      ,0256,60,CORRECTIONAL FACILITY-RED WING     ,000, ,10,10 ,All Grades,18,0,0,0,2,0,17,0,37,0,74,0,37,74,  , ,  
02-03,25,Goodhue                                      ,2172,01,KENYON-WANAMINGO                   ,000, ,10,10 ,All Grades,0,1,3,3,13,16,1,3,494,434,511,457,40,968,  , ,  
02-03,25,Goodhue                                      ,6051,61,GOODHUE COUNTY ED. DISTRICT        ,000, ,10,10 ,All Grades,0,0,0,0,0,1,0,0,27,6,27,7,1,34,  , ,  
02-03,26,Grant                                        ,0261,01,ASHBY                              ,000, ,04,04 ,All Grades,2,0,0,0,0,0,0,0,168,140,170,140,2,310,  , ,  
02-03,26,Grant                                        ,0264,01,HERMAN-NORCROSS                    ,000, ,04,04 ,All Grades,1,2,0,0,1,2,0,0,81,69,83,73,6,156,  , ,  
02-03,26,Grant                                        ,2342,01,WEST CENTRAL AREA                  ,000, ,04,04 ,All Grades,2,4,2,2,4,4,3,4,413,433,424,447,25,871,  , ,  
02-03,27,Hennepin                                     ,0001,03,MINNEAPOLIS                        ,000, ,11,11 ,All Grades,955,967,3278,3106,3224,2599,10060,9699,6333,5816,23850,22187,33888,46037,  , ,  
02-03,27,Hennepin                                     ,0270,01,HOPKINS                            ,000, ,11,11 ,All Grades,28,27,162,136,196,188,393,310,3516,3267,4295,3928,1440,8223,  , ,  
02-03,27,Hennepin                                     ,0271,01,BLOOMINGTON                        ,000, ,11,11 ,All Grades,49,38,483,451,345,283,609,560,4073,3799,5559,5131,2818,10690,  , ,  
02-03,27,Hennepin                                     ,0272,01,EDEN PRAIRIE                       ,000, ,11,11 ,All Grades,61,41,298,275,58,55,237,241,4766,4409,5420,5021,1266,10441,  , ,  
02-03,27,Hennepin                                     ,0273,01,EDINA                              ,000, ,11,11 ,All Grades,7,11,149,151,54,59,101,100,3281,3250,3592,3571,632,7163,  , ,  
02-03,27,Hennepin                                     ,0276,01,MINNETONKA                         ,000, ,11,11 ,All Grades,12,19,126,127,68,53,62,62,3605,3457,3873,3718,529,7591,  , ,  
02-03,27,Hennepin                                     ,0277,01,WESTONKA                           ,000, ,11,11 ,All Grades,5,0,15,8,8,8,8,5,1158,986,1194,1007,57,2201,  , ,  
02-03,27,Hennepin                                     ,0278,01,ORONO                              ,000, ,11,11 ,All Grades,3,3,18,20,17,17,14,9,1207,1178,1259,1227,101,2486,  , ,  
02-03,27,Hennepin                                     ,0279,01,OSSEO                              ,000, ,11,11 ,All Grades,92,88,1231,1137,335,283,1739,1656,7819,7444,11216,10608,6561,21824,  , ,  
02-03,27,Hennepin                                     ,0280,01,RICHFIELD                          ,000, ,11,11 ,All Grades,34,28,169,180,316,248,363,368,1335,1135,2217,1959,1706,4176,  , ,  
02-03,27,Hennepin                                     ,0281,01,ROBBINSDALE                        ,000, ,11,11 ,All Grades,89,94,443,436,406,380,1104,1051,4971,4682,7013,6643,4003,13656,  , ,  
02-03,27,Hennepin                                     ,0282,01,ST. ANTHONY-NEW BRIGHTON           ,000, ,11,11 ,All Grades,8,11,66,56,21,8,37,31,674,616,806,722,238,1528,  , ,  
02-03,27,Hennepin                                     ,0283,01,ST. LOUIS PARK                     ,000, ,11,11 ,All Grades,15,14,106,96,107,98,272,234,1694,1602,2194,2044,942,4238,  , ,  
02-03,27,Hennepin                                     ,0284,01,WAYZATA                            ,000, ,11,11 ,All Grades,11,9,259,264,80,59,184,190,4327,4151,4861,4673,1056,9534,  , ,  
02-03,27,Hennepin                                     ,0286,01,BROOKLYN CENTER                    ,000, ,11,11 ,All Grades,12,15,186,149,53,49,294,275,367,332,912,820,1033,1732,  , ,  
02-03,27,Hennepin                                     ,0287,06,INTERMEDIATE SCHOOL DISTRICT 287   ,000, ,11,11 ,All Grades,17,12,88,68,34,43,196,145,925,632,1260,900,603,2160,  , ,  
02-03,27,Hennepin                                     ,4004,07,CEDAR RIVERSIDE COMMUNITY SCHOOL   ,000, ,11,11 ,All Grades,0,0,12,12,3,3,32,33,1,2,48,50,95,98,  , ,  
02-03,27,Hennepin                                     ,4011,07,NEW VISIONS CHARTER SCHOOL         ,000, ,11,11 ,All Grades,3,0,6,3,7,1,69,39,43,31,128,74,128,202,  , ,  
