Area,Family Size,Number of Adults,Number of Workers,Number of Children,Age of Adults,Yearly Cost,Hourly Wage,Child Care,Food,Health Care,Housing,Transport,Other,Taxes
Fillmore County                 ,4,2,1,2,19-50,53626,25.78,0,979,426,958,1129,566,411
Fillmore County                 ,5,2,1,3,19-50,57414,27.6,0,1185,435,958,1203,626,377
Fillmore County                 ,4,1,1,3,19-50,65778,31.62,778,973,419,958,1129,565,660
Fillmore County                 ,2,2,1.5,0,19-50,36738,11.78,0,603,276,530,888,331,433
Fillmore County                 ,1,1,1,0,51+,29533,14.2,0,315,174,519,831,244,378
Fillmore County                 ,3,2,1.5,1,19-50,49620,15.9,241,750,417,698,1054,423,552
Fillmore County                 ,6,2,2,4,19-50,76126,18.3,778,1443,443,958,1253,702,767
Fillmore County                 ,3,1,1,2,19-50,61575,29.6,778,740,411,958,1054,496,694
Fillmore County                 ,2,2,2,0,19-50,36738,8.83,0,603,276,530,888,331,433
Fillmore County                 ,5,2,2,3,19-50,71670,17.23,778,1185,435,958,1203,626,788
Fillmore County                 ,1,1,1,0,19-50,29186,14.03,0,329,134,519,831,248,371
Fillmore County                 ,6,2,1.5,4,19-50,69927,22.41,389,1443,443,958,1253,702,639
Fillmore County                 ,3,2,1,1,19-50,44329,21.31,0,750,417,698,1054,423,352
Fillmore County                 ,4,2,2,2,19-50,67934,16.33,778,979,426,958,1129,566,825
Fillmore County                 ,5,2,1.5,3,19-50,65496,20.99,389,1185,435,958,1203,626,662
Fillmore County                 ,2,2,2,0,51+,37497,9.01,0,578,356,530,888,324,449
Beltrami County                 ,5,1,1,4,19-50,65270,31.38,771,1183,428,948,959,623,527
Beltrami County                 ,4,2,2,2,19-50,63958,15.37,771,979,426,948,903,563,740
Beltrami County                 ,2,2,2,0,19-50,34763,8.36,0,603,276,563,723,341,391
Beltrami County                 ,4,2,1,2,19-50,49419,23.76,0,979,426,948,903,563,299
Beltrami County                 ,2,2,1,0,51+,34717,16.69,0,578,356,563,723,334,339
Beltrami County                 ,1,1,1,0,51+,27724,13.33,0,315,174,551,680,253,337
Beltrami County                 ,2,2,2,0,51+,35523,8.54,0,578,356,563,723,334,406
Beltrami County                 ,2,2,1.5,0,19-50,34763,11.14,0,603,276,563,723,341,391
Beltrami County                 ,6,2,1.5,4,19-50,65490,20.99,385,1443,443,948,996,699,543
Beltrami County                 ,2,2,1,0,19-50,33978,16.34,0,603,276,563,723,341,326
Beltrami County                 ,5,2,1,3,19-50,53041,25.5,0,1185,435,948,959,623,270
Beltrami County                 ,4,1,1,3,19-50,61845,29.73,771,973,419,948,903,562,578
Beltrami County                 ,5,2,1.5,3,19-50,61164,19.6,385,1185,435,948,959,623,562
Beltrami County                 ,6,2,1,4,19-50,57533,27.66,0,1443,443,948,996,699,265
Beltrami County                 ,3,2,1.5,1,19-50,47183,15.12,245,750,417,748,847,438,487
Beltrami County                 ,5,2,2,3,19-50,67430,16.21,771,1185,435,948,959,623,698
Beltrami County                 ,4,2,1.5,2,19-50,57725,18.5,385,979,426,948,903,563,606
Beltrami County                 ,1,1,1,0,19-50,27377,13.16,0,329,134,551,680,257,330
Beltrami County                 ,2,2,1.5,0,51+,35523,11.39,0,578,356,563,723,334,406
Beltrami County                 ,6,2,2,4,19-50,71677,17.23,771,1443,443,948,996,699,673
Beltrami County                 ,2,1,1,1,19-50,41841,20.12,489,485,269,748,723,360,413
Beltrami County                 ,3,2,1,1,19-50,41785,20.09,0,750,417,748,847,438,282
