countyName,countyFIPS,familySize,numberAdults,numberWorkers,numberChildren,adultAge,year,hourlyWage
Big Stone,11,1,1,1,0,19-50,2018,13.07
Big Stone,11,3,2,2,1,19-50,2018,11.39
Big Stone,11,2,2,1.5,0,19-50,2018,11.55
Big Stone,11,6,2,1,4,19-50,2018,27.11
Big Stone,11,1,1,1,0,51+,2018,13.17
Big Stone,11,5,1,1,4,19-50,2018,28.38
Big Stone,11,4,2,1.5,2,19-50,2018,17.53
Big Stone,11,2,2,1,0,19-50,2018,16.93
Big Stone,11,4,1,1,3,19-50,2018,26.95
Big Stone,11,3,2,1,1,19-50,2018,19.3
Big Stone,11,6,2,2,4,19-50,2018,16.06
Big Stone,11,2,2,2,0,51+,2018,8.78
Big Stone,11,4,2,2,2,19-50,2018,14.3
Big Stone,11,2,2,1.5,0,51+,2018,11.71
Big Stone,11,2,2,2,0,19-50,2018,8.67
Big Stone,11,3,2,1.5,1,19-50,2018,14.11
Big Stone,11,2,2,1,0,51+,2018,17.16
Big Stone,11,2,1,1,1,19-50,2018,18.16
Big Stone,11,5,2,2,3,19-50,2018,15.02
Big Stone,11,4,2,1,2,19-50,2018,23.48
Big Stone,11,6,2,1.5,4,19-50,2018,19.91
Big Stone,11,5,2,1.5,3,19-50,2018,18.5
Big Stone,11,5,2,1,3,19-50,2018,24.88
Carlton,17,6,2,1.5,4,19-50,2018,21.66
Carlton,17,5,1,1,4,19-50,2018,31.77
Carlton,17,4,1,1,3,19-50,2018,30.39
Carlton,17,4,2,1,2,19-50,2018,25.57
Carlton,17,2,2,2,0,19-50,2018,9.15
Carlton,17,2,2,1,0,51+,2018,18.09
Carlton,17,5,2,1.5,3,19-50,2018,20.32
Carlton,17,2,2,1.5,0,19-50,2018,12.2
Carlton,17,5,2,2,3,19-50,2018,16.76
Carlton,17,2,2,2,0,51+,2018,9.27
Carlton,17,6,2,2,4,19-50,2018,17.77
Carlton,17,2,1,1,1,19-50,2018,21.18
Carlton,17,3,2,1,1,19-50,2018,21.39
Carlton,17,4,2,2,2,19-50,2018,16.06
Carlton,17,5,2,1,3,19-50,2018,26.93
Carlton,17,4,2,1.5,2,19-50,2018,19.4
Carlton,17,3,2,2,1,19-50,2018,12.93
Dodge,39,5,2,1,3,19-50,2018,27.79
Dodge,39,6,2,2,4,19-50,2018,18.57
Dodge,39,5,2,1.5,3,19-50,2018,21.07
Dodge,39,3,1,1,2,19-50,2018,30.1
Dodge,39,5,2,2,3,19-50,2018,17.55
Dodge,39,4,1,1,3,19-50,2018,31.93
Dodge,39,4,2,1.5,2,19-50,2018,20.15
Jackson,63,1,1,1,0,19-50,2018,12.54
Jackson,63,3,2,1.5,1,19-50,2018,14.03
Jackson,63,5,1,1,4,19-50,2018,28.12
Jackson,63,2,2,2,0,51+,2018,8.48
Jackson,63,2,1,1,1,19-50,2018,18.1
Jackson,63,4,2,1.5,2,19-50,2018,17.13
Jackson,63,2,2,1,0,19-50,2018,16.34
Jackson,63,2,2,2,0,19-50,2018,8.35
Jackson,63,5,2,1.5,3,19-50,2018,18.12
Jackson,63,3,1,1,2,19-50,2018,24.88
Jackson,63,6,2,1,4,19-50,2018,26.39
Jackson,63,5,2,1,3,19-50,2018,24.17
Jackson,63,6,2,1.5,4,19-50,2018,19.56
Jackson,63,3,2,2,1,19-50,2018,11.35
Jackson,63,1,1,1,0,51+,2018,12.64
Jackson,63,4,1,1,3,19-50,2018,26.68
Jackson,63,2,2,1,0,51+,2018,16.57
Jackson,63,5,2,2,3,19-50,2018,14.87
Jackson,63,2,2,1.5,0,19-50,2018,11.14
Jackson,63,3,2,1,1,19-50,2018,19.16
Jackson,63,6,2,2,4,19-50,2018,15.9
Jackson,63,2,2,1.5,0,51+,2018,11.31
Jackson,63,4,2,1,2,19-50,2018,22.73
Jackson,63,4,2,2,2,19-50,2018,14.15
Kanabec,65,4,2,2,2,19-50,2018,17.75
Kanabec,65,6,2,1,4,19-50,2018,30.43
Kanabec,65,2,2,1.5,0,51+,2018,13.28
Kanabec,65,5,2,1,3,19-50,2018,28.43
Kanabec,65,6,2,1.5,4,19-50,2018,23.24
Kanabec,65,2,2,1,0,51+,2018,19.42
Kanabec,65,6,2,2,4,19-50,2018,19.54
Kanabec,65,4,2,1,2,19-50,2018,27.09
Kanabec,65,3,1,1,2,19-50,2018,31.59
Kanabec,65,5,2,2,3,19-50,2018,18.47
Becker,5,2,2,1,0,51+,2018,17.67
Becker,5,4,1,1,3,19-50,2018,28.41
Becker,5,4,2,1,2,19-50,2018,24.23
Becker,5,6,2,2,4,19-50,2018,16.85
Becker,5,6,2,1.5,4,19-50,2018,20.63
Becker,5,5,2,1,3,19-50,2018,25.63
Becker,5,4,2,2,2,19-50,2018,15.11
Chippewa,23,5,2,1.5,3,19-50,2018,18.36
Chippewa,23,6,2,1.5,4,19-50,2018,19.75
Chippewa,23,2,2,2,0,19-50,2018,8.24
Chippewa,23,2,2,1,0,51+,2018,16.36
Chippewa,23,4,2,1,2,19-50,2018,23
Chippewa,23,2,2,1.5,0,19-50,2018,10.99
Chippewa,23,5,2,1,3,19-50,2018,24.42
Chippewa,23,2,2,2,0,51+,2018,8.37
Chippewa,23,3,2,2,1,19-50,2018,11.26
Chippewa,23,4,2,1.5,2,19-50,2018,17.4
Chippewa,23,2,2,1,0,19-50,2018,16.13
