countyName,countyFIPS,familySize,numberAdults,numberWorkers,numberChildren,adultAge,year,yearlyCost
Carver,019,4,2,1.5,2,19-50,2018,78192
Carver,019,6,2,2,4,19-50,2018,101232
Carver,019,3,1,1,2,19-50,2018,87552
Carver,019,3,2,1.5,1,19-50,2018,59364
Carver,019,5,1,1,4,19-50,2018,94464
Carver,019,2,1,1,1,19-50,2018,58500
Carver,019,6,2,1,4,19-50,2018,69096
Carver,019,1,1,1,0,51+,2018,33252
Carver,019,6,2,1.5,4,19-50,2018,85392
Carver,019,2,2,1.5,0,19-50,2018,41544
Carver,019,4,2,1,2,19-50,2018,62244
Dakota,037,4,2,1,2,19-50,2018,61248
Dakota,037,6,2,1,4,19-50,2018,67932
Dakota,037,5,2,1,3,19-50,2018,63948
Dakota,037,2,2,1.5,0,19-50,2018,40800
Dakota,037,4,2,1.5,2,19-50,2018,80892
Dakota,037,3,2,1,1,19-50,2018,48360
Dakota,037,5,1,1,4,19-50,2018,100896
Dakota,037,6,2,1.5,4,19-50,2018,87732
Dakota,037,6,2,2,4,19-50,2018,107304
Dakota,037,2,2,1,0,51+,2018,40260
Dakota,037,2,2,2,0,19-50,2018,40800
Dakota,037,3,1,1,2,19-50,2018,94140
Dakota,037,1,1,1,0,19-50,2018,32436
Dakota,037,5,2,2,3,19-50,2018,102912
Dakota,037,1,1,1,0,51+,2018,32664
Dakota,037,2,2,2,0,51+,2018,41364
Dakota,037,2,1,1,1,19-50,2018,63432
Big Stone,011,3,1,1,2,19-50,2018,52320
Big Stone,011,1,1,1,0,19-50,2018,27180
Big Stone,011,3,2,2,1,19-50,2018,47364
Big Stone,011,2,2,1.5,0,19-50,2018,36048
Big Stone,011,6,2,1,4,19-50,2018,56388
Big Stone,011,1,1,1,0,51+,2018,27396
Big Stone,011,5,1,1,4,19-50,2018,59028
Big Stone,011,4,2,1.5,2,19-50,2018,54708
Big Stone,011,2,2,1,0,19-50,2018,35220
Big Stone,011,4,1,1,3,19-50,2018,56064
Big Stone,011,3,2,1,1,19-50,2018,40140
Big Stone,011,6,2,2,4,19-50,2018,66828
Big Stone,011,2,2,2,0,51+,2018,36540
Big Stone,011,4,2,2,2,19-50,2018,59496
Big Stone,011,2,2,1.5,0,51+,2018,36540
Big Stone,011,2,2,2,0,19-50,2018,36048
Big Stone,011,3,2,1.5,1,19-50,2018,44016
Big Stone,011,2,2,1,0,51+,2018,35688
Big Stone,011,2,1,1,1,19-50,2018,37776
Big Stone,011,5,2,2,3,19-50,2018,62472
Big Stone,011,4,2,1,2,19-50,2018,48828
Big Stone,011,6,2,1.5,4,19-50,2018,62124
Big Stone,011,5,2,1.5,3,19-50,2018,57720
Big Stone,011,5,2,1,3,19-50,2018,51756
Carlton,017,6,2,1.5,4,19-50,2018,67584
Carlton,017,5,1,1,4,19-50,2018,66072
Carlton,017,4,1,1,3,19-50,2018,63216
Carlton,017,4,2,1,2,19-50,2018,53184
Carlton,017,2,2,2,0,19-50,2018,38076
Carlton,017,2,2,1,0,51+,2018,37632
Carlton,017,5,2,1.5,3,19-50,2018,63396
Carlton,017,2,2,1.5,0,19-50,2018,38076
Carlton,017,5,2,2,3,19-50,2018,69720
Carlton,017,2,2,2,0,51+,2018,38580
Carlton,017,6,2,2,4,19-50,2018,73932
Carlton,017,2,1,1,1,19-50,2018,44064
Carlton,017,3,2,1,1,19-50,2018,44496
Carlton,017,4,2,2,2,19-50,2018,66816
Carlton,017,5,2,1,3,19-50,2018,56004
Carlton,017,4,2,1.5,2,19-50,2018,60516
Carlton,017,3,2,2,1,19-50,2018,53772
Dodge,039,5,2,1,3,19-50,2018,57804
Dodge,039,6,2,2,4,19-50,2018,77268
Dodge,039,5,2,1.5,3,19-50,2018,65748
Dodge,039,3,1,1,2,19-50,2018,62616
Dodge,039,5,2,2,3,19-50,2018,73020
Dodge,039,4,1,1,3,19-50,2018,66420
Dodge,039,4,2,1.5,2,19-50,2018,62868
Jackson,063,1,1,1,0,19-50,2018,26076
Jackson,063,3,2,1.5,1,19-50,2018,43776
Jackson,063,5,1,1,4,19-50,2018,58488
Jackson,063,2,2,2,0,51+,2018,35280
Jackson,063,2,1,1,1,19-50,2018,37644
Jackson,063,4,2,1.5,2,19-50,2018,53460
