Area,Family Size,Number of Adults,Number of Workers,Number of Children,Age of Adults,Yearly Cost,Hourly Wage,Child Care,Food,Health Care,Housing,Transport,Other,Taxes
Grant County                    ,2,2,1,0,51+,37680,18.12,0,590,409,619,768,371,383
Grant County                    ,5,2,1,3,19-50,55488,26.68,0,1207,512,1015,887,682,321
Grant County                    ,4,2,1,2,19-50,52536,25.26,0,997,504,1015,873,618,371
Grant County                    ,3,2,2,1,19-50,49800,11.97,403,764,496,710,827,453,497
Grant County                    ,2,2,2,0,19-50,38100,9.16,0,613,346,619,768,378,451
Grant County                    ,5,2,1.5,3,19-50,61548,19.73,320,1207,512,1015,887,682,506
Grant County                    ,4,2,2,2,19-50,63300,15.22,641,997,504,1015,873,618,627
Grant County                    ,3,2,1,1,19-50,42624,20.49,0,764,496,710,827,453,302
Grant County                    ,1,1,1,0,19-50,29028,13.96,0,334,138,598,707,286,356
Grant County                    ,4,2,1.5,2,19-50,58632,18.79,320,997,504,1015,873,618,559
Grant County                    ,2,2,1,0,19-50,37188,17.88,0,613,346,619,768,378,375
Grant County                    ,3,1,1,2,19-50,55548,26.71,641,754,488,1015,757,543,431
Grant County                    ,6,2,1,4,19-50,59856,28.78,0,1470,519,1015,917,763,304
Grant County                    ,2,2,1.5,0,19-50,38100,12.21,0,613,346,619,768,378,451
Grant County                    ,5,2,2,3,19-50,66312,15.94,641,1207,512,1015,887,682,582
Grant County                    ,2,2,1.5,0,51+,38628,12.38,0,590,409,619,768,371,462
Grant County                    ,6,2,2,4,19-50,70704,17,641,1470,519,1015,917,763,567
Grant County                    ,4,1,1,3,19-50,59484,28.6,641,992,496,1015,792,616,405
Grant County                    ,2,2,2,0,51+,38628,9.29,0,590,409,619,768,371,462
Grant County                    ,1,1,1,0,51+,29256,14.07,0,322,169,598,707,282,360
Grant County                    ,3,2,1.5,1,19-50,46452,14.89,201,764,496,710,827,453,420
Grant County                    ,2,1,1,1,19-50,39768,19.12,403,494,338,710,712,370,287
Grant County                    ,5,1,1,4,19-50,62532,30.06,641,1205,503,1015,806,682,359
Lake County                     ,6,2,2,4,19-50,73704,17.72,833,1455,519,1062,869,773,631
Lake County                     ,4,2,1.5,2,19-50,60000,19.23,417,987,504,1062,828,629,573
Lake County                     ,3,2,2,1,19-50,52740,12.68,492,756,496,817,785,483,566
Houston County                  ,3,2,1,1,19-50,43140,20.74,0,754,496,808,749,480,308
Houston County                  ,2,2,1.5,0,19-50,36612,11.73,0,605,346,607,698,372,423
Houston County                  ,5,2,2,3,19-50,69516,16.71,796,1191,512,1132,801,713,648
Houston County                  ,5,1,1,4,19-50,65928,31.7,796,1190,503,1132,731,713,429
Houston County                  ,2,2,1.5,0,51+,37128,11.9,0,582,409,607,698,365,433
Houston County                  ,5,2,1.5,3,19-50,63384,20.32,398,1191,512,1132,801,713,535
Houston County                  ,2,2,1,0,19-50,35748,17.19,0,605,346,607,698,372,351
Houston County                  ,6,2,1.5,4,19-50,67620,21.67,398,1451,519,1132,827,793,515
Houston County                  ,2,2,1,0,51+,36252,17.43,0,582,409,607,698,365,360
Houston County                  ,3,2,1.5,1,19-50,47532,15.23,244,754,496,808,749,480,430
Houston County                  ,2,2,2,0,51+,37128,8.93,0,582,409,607,698,365,433
Houston County                  ,2,2,2,0,19-50,36612,8.8,0,605,346,607,698,372,423
Houston County                  ,3,1,1,2,19-50,59232,28.48,796,744,488,1132,688,576,512
Houston County                  ,2,1,1,1,19-50,42096,20.24,489,487,338,808,649,398,339
Kittson County                  ,2,1,1,1,19-50,38436,18.48,375,493,338,710,669,369,249
Kittson County                  ,2,2,1,0,19-50,34860,16.76,0,612,346,534,719,352,342
Kittson County                  ,5,1,1,4,19-50,59256,28.49,629,1203,503,909,754,649,291
Kittson County                  ,3,1,1,2,19-50,52440,25.21,629,752,488,909,709,510,373
Kittson County                  ,3,2,1.5,1,19-50,45240,14.5,187,762,496,710,773,452,390
Kittson County                  ,2,2,1.5,0,19-50,35676,11.43,0,612,346,534,719,352,410
Kittson County                  ,4,2,1.5,2,19-50,55092,17.66,315,995,504,909,815,585,468
Kittson County                  ,3,2,2,1,19-50,48276,11.6,375,762,496,710,773,452,455
Kittson County                  ,2,2,2,0,19-50,35676,8.58,0,612,346,534,719,352,410
Kittson County                  ,4,2,2,2,19-50,59868,14.39,629,995,504,909,815,585,552
Kittson County                  ,2,2,1.5,0,51+,36180,11.6,0,588,409,534,719,345,420
Kittson County                  ,5,2,2,3,19-50,62892,15.12,629,1204,512,909,828,649,510
Kittson County                  ,1,1,1,0,19-50,26940,12.95,0,334,138,525,664,264,320
Kittson County                  ,2,2,1,0,51+,35352,17,0,588,409,534,719,345,351
Kittson County                  ,6,2,1,4,19-50,56760,27.29,0,1467,519,909,855,730,250
Kittson County                  ,1,1,1,0,51+,27156,13.06,0,321,169,525,664,260,324
Kittson County                  ,6,2,2,4,19-50,67236,16.16,629,1467,519,909,855,730,494
Kittson County                  ,6,2,1.5,4,19-50,62520,20.04,315,1467,519,909,855,730,415
Kittson County                  ,5,2,1,3,19-50,52152,25.07,0,1204,512,909,828,649,244
Kittson County                  ,5,2,1.5,3,19-50,58092,18.62,315,1204,512,909,828,649,424
Kittson County                  ,4,2,1,2,19-50,49164,23.64,0,995,504,909,815,585,289
Kittson County                  ,3,2,1,1,19-50,41592,20,0,762,496,710,773,452,273
Kittson County                  ,4,1,1,3,19-50,56268,27.05,629,990,496,909,741,583,341
Kittson County                  ,2,2,2,0,51+,36180,8.7,0,588,409,534,719,345,420
Le Sueur County                 ,2,2,2,0,51+,36240,8.71,0,575,409,582,682,355,417
Le Sueur County                 ,3,2,2,1,19-50,51300,12.33,530,745,496,772,731,466,535
Le Sueur County                 ,2,1,1,1,19-50,41664,20.03,530,481,338,772,635,385,331
Chisago County                  ,1,1,1,0,51+,34752,16.71,0,314,168,860,741,361,452
Chisago County                  ,5,2,1,3,19-50,66528,31.98,0,1178,491,1576,933,846,520
Chisago County                  ,3,2,1.5,1,19-50,60384,19.35,531,746,476,1110,869,570,730
Chisago County                  ,2,1,1,1,19-50,58620,28.18,1061,482,310,1110,746,489,687
Chisago County                  ,6,2,2,4,19-50,96912,23.3,1514,1435,499,1576,965,925,1162
Chisago County                  ,5,2,2,3,19-50,92652,22.27,1514,1178,491,1576,933,846,1183
Chisago County                  ,3,2,1,1,19-50,50952,24.5,0,746,476,1110,869,570,475
Chisago County                  ,1,1,1,0,19-50,34488,16.58,0,326,136,860,741,364,447
Chisago County                  ,3,2,2,1,19-50,69036,16.6,1061,746,476,1110,869,570,921
Chisago County                  ,3,1,1,2,19-50,82944,39.88,1514,736,468,1576,794,710,1114
Chisago County                  ,2,2,1.5,0,51+,43584,13.97,0,575,381,880,806,447,543
Chisago County                  ,4,2,1.5,2,19-50,76980,24.67,757,973,484,1576,918,783,924
Chisago County                  ,2,2,2,0,51+,43584,10.48,0,575,381,880,806,447,543
Chisago County                  ,2,2,1,0,19-50,41988,20.19,0,599,318,880,806,454,442
Clay County                     ,3,1,1,2,19-50,62592,30.09,975,745,488,1200,624,597,587
Clay County                     ,1,1,1,0,19-50,27852,13.39,0,330,138,639,587,298,329
Clay County                     ,2,2,1,0,19-50,35676,17.15,0,606,346,655,633,387,346
Clay County                     ,2,2,2,0,19-50,36528,8.78,0,606,346,655,633,387,417
Clay County                     ,6,2,1,4,19-50,60360,29.02,0,1453,519,1200,745,815,298
Clay County                     ,3,2,1,1,19-50,42240,20.31,0,755,496,825,677,485,282
Clay County                     ,5,2,2,3,19-50,72660,17.47,975,1192,512,1200,722,735,719
Clay County                     ,2,2,1.5,0,51+,37032,11.87,0,582,409,655,633,380,427
Clay County                     ,4,2,2,2,19-50,69768,16.77,975,985,504,1200,712,671,767
Clay County                     ,2,2,1,0,51+,36156,17.38,0,582,409,655,633,380,354
Clay County                     ,1,1,1,0,51+,28092,13.51,0,318,169,639,587,294,334
Clay County                     ,2,2,2,0,51+,37032,8.9,0,582,409,655,633,380,427
Clay County                     ,6,2,1.5,4,19-50,68880,22.08,487,1453,519,1200,745,815,521
Clay County                     ,5,1,1,4,19-50,69216,33.28,975,1191,503,1200,662,734,503
Clay County                     ,5,2,1.5,3,19-50,64680,20.73,487,1192,512,1200,722,735,542
Clay County                     ,2,2,1.5,0,19-50,36528,11.71,0,606,346,655,633,387,417
Clay County                     ,5,2,1,3,19-50,56220,27.03,0,1192,512,1200,722,735,324
Clay County                     ,6,2,2,4,19-50,76896,18.48,975,1453,519,1200,745,815,701
Clay County                     ,4,2,1,2,19-50,53436,25.69,0,985,504,1200,712,671,381
Clay County                     ,4,2,1.5,2,19-50,61812,19.81,487,985,504,1200,712,671,592
Clay County                     ,3,2,1.5,1,19-50,47640,15.27,302,755,496,825,677,485,430
Clay County                     ,3,2,2,1,19-50,52944,12.73,604,755,496,825,677,485,570
Clay County                     ,2,1,1,1,19-50,43464,20.9,604,488,338,825,591,403,373
Clay County                     ,4,1,1,3,19-50,66348,31.9,975,980,496,1200,651,670,557
Douglas County                  ,4,1,1,3,19-50,58824,28.28,719,973,496,1040,668,618,388
Douglas County                  ,2,2,1,0,51+,35748,17.19,0,578,409,624,649,369,350
Douglas County                  ,3,2,1,1,19-50,42528,20.45,0,749,496,829,695,485,290
Douglas County                  ,3,2,1.5,1,19-50,46668,14.96,224,749,496,829,695,485,411
Douglas County                  ,6,2,1.5,4,19-50,63864,20.47,359,1442,519,1040,766,762,434
Douglas County                  ,4,2,1,2,19-50,50112,24.09,0,978,504,1040,731,620,303
Douglas County                  ,1,1,1,0,51+,27684,13.31,0,315,169,611,602,285,325
Douglas County                  ,6,2,1,4,19-50,57360,27.58,0,1442,519,1040,766,762,251
Douglas County                  ,5,2,1,3,19-50,52992,25.48,0,1184,512,1040,742,683,255
Douglas County                  ,5,2,1.5,3,19-50,59568,19.09,359,1184,512,1040,742,683,444
Douglas County                  ,3,2,2,1,19-50,50544,12.15,448,749,496,829,695,485,510
Douglas County                  ,6,2,2,4,19-50,69420,16.69,719,1442,519,1040,766,762,537
Douglas County                  ,2,1,1,1,19-50,41004,19.71,448,484,338,829,606,403,309
Douglas County                  ,5,1,1,4,19-50,61764,29.69,719,1183,503,1040,679,683,340
Douglas County                  ,4,2,2,2,19-50,62376,14.99,719,978,504,1040,731,620,606
Douglas County                  ,2,2,2,0,19-50,36096,8.68,0,602,346,624,649,376,411
Douglas County                  ,5,2,2,3,19-50,65244,15.68,719,1184,512,1040,742,683,557
Douglas County                  ,2,2,1,0,19-50,35256,16.95,0,602,346,624,649,376,341
Douglas County                  ,2,2,1.5,0,51+,36600,11.73,0,578,409,624,649,369,421
Douglas County                  ,3,1,1,2,19-50,55104,26.49,719,739,488,1040,640,547,419
Douglas County                  ,1,1,1,0,19-50,27468,13.21,0,328,138,611,602,289,321
Douglas County                  ,2,2,1.5,0,19-50,36096,11.57,0,602,346,624,649,376,411
Douglas County                  ,2,2,2,0,51+,36600,8.8,0,578,409,624,649,369,421
Douglas County                  ,4,2,1.5,2,19-50,56724,18.18,359,978,504,1040,731,620,495
Faribault County                ,4,2,1,2,19-50,50088,24.08,0,1024,504,964,763,611,308
Faribault County                ,1,1,1,0,19-50,26544,12.76,0,344,138,525,626,267,312
Faribault County                ,2,2,1.5,0,51+,35868,11.5,0,606,409,534,676,350,414
Faribault County                ,5,1,1,4,19-50,61140,29.39,672,1239,503,964,708,677,332
Faribault County                ,3,2,1,1,19-50,41256,19.83,0,785,496,710,725,459,263
Faribault County                ,2,2,2,0,19-50,35352,8.5,0,630,346,534,676,358,402
Faribault County                ,3,1,1,2,19-50,54024,25.97,672,775,488,964,667,534,402
Faribault County                ,4,2,1.5,2,19-50,56388,18.07,336,1024,504,964,763,611,497
Faribault County                ,3,2,2,1,19-50,48696,11.71,417,785,496,710,725,459,466
Faribault County                ,2,2,1,0,19-50,34548,16.61,0,630,346,534,676,358,335
Faribault County                ,1,1,1,0,51+,26760,12.87,0,331,169,525,626,263,316
Faribault County                ,2,1,1,1,19-50,38820,18.66,417,507,338,710,630,374,259
Faribault County                ,5,2,2,3,19-50,64644,15.54,672,1240,512,964,775,677,547
Faribault County                ,4,1,1,3,19-50,57972,27.87,672,1019,496,964,696,609,375
Faribault County                ,2,2,1,0,51+,35040,16.85,0,606,409,534,676,350,345
Faribault County                ,2,2,2,0,51+,35868,8.62,0,606,409,534,676,350,414
Faribault County                ,5,2,1,3,19-50,53220,25.59,0,1240,512,964,775,677,267
Faribault County                ,5,2,1.5,3,19-50,59484,19.07,336,1240,512,964,775,677,453
Faribault County                ,2,2,1.5,0,19-50,35352,11.33,0,630,346,534,676,358,402
Faribault County                ,6,2,1.5,4,19-50,64032,20.52,336,1511,519,964,800,760,446
Koochiching County              ,3,2,1,1,19-50,39192,18.84,0,752,496,710,653,449,206
Koochiching County              ,4,2,1.5,2,19-50,54456,17.45,373,981,504,964,686,597,433
Koochiching County              ,2,2,1.5,0,51+,35136,11.26,0,580,409,578,611,356,394
Koochiching County              ,1,1,1,0,51+,26244,12.62,0,316,169,562,568,270,302
Koochiching County              ,5,2,2,3,19-50,63468,15.26,747,1188,512,964,696,661,521
Koochiching County              ,4,2,1,2,19-50,47724,22.94,0,981,504,964,686,597,245
Koochiching County              ,2,2,1,0,51+,34332,16.51,0,580,409,578,611,356,327
Koochiching County              ,6,2,1,4,19-50,55080,26.48,0,1447,519,964,717,740,203
Koochiching County              ,2,2,2,0,51+,35136,8.45,0,580,409,578,611,356,394
Koochiching County              ,3,1,1,2,19-50,53508,25.73,747,742,488,964,603,524,391
Koochiching County              ,3,2,2,1,19-50,47160,11.34,445,752,496,710,653,449,425
Koochiching County              ,4,2,2,2,19-50,60540,14.55,747,981,504,964,686,597,566
Koochiching County              ,5,1,1,4,19-50,60096,28.89,747,1186,503,964,639,660,309
Koochiching County              ,2,2,1.5,0,19-50,34608,11.09,0,603,346,578,611,363,383
Lac qui Parle County            ,2,2,1.5,0,19-50,34776,11.15,0,633,346,555,611,365,388
Lac qui Parle County            ,2,2,1,0,19-50,34008,16.35,0,633,346,555,611,365,324
Lac qui Parle County            ,5,1,1,4,19-50,59556,28.63,729,1244,503,891,639,655,302
Lac qui Parle County            ,4,1,1,3,19-50,56424,27.13,729,1023,496,891,629,588,346
Lac qui Parle County            ,6,2,1,4,19-50,55128,26.5,0,1517,519,891,717,739,211
Lac qui Parle County            ,3,2,1.5,1,19-50,44100,14.13,217,788,496,710,653,460,351
Lac qui Parle County            ,3,2,1,1,19-50,40032,19.25,0,788,496,710,653,460,229
Lac qui Parle County            ,2,2,1.5,0,51+,35268,11.3,0,608,409,555,611,357,399
Lac qui Parle County            ,3,2,2,1,19-50,47796,11.49,434,788,496,710,653,460,442
Lac qui Parle County            ,2,2,1,0,51+,34452,16.56,0,608,409,555,611,357,331
Lac qui Parle County            ,4,2,1,2,19-50,47244,22.71,0,1028,504,891,686,589,239
Lac qui Parle County            ,5,2,2,3,19-50,62868,15.11,729,1245,512,891,696,656,510
Lac qui Parle County            ,4,2,1.5,2,19-50,53784,17.24,364,1028,504,891,686,589,420
Lac qui Parle County            ,2,2,2,0,19-50,34776,8.36,0,633,346,555,611,365,388
Lac qui Parle County            ,4,2,2,2,19-50,59712,14.35,729,1028,504,891,686,589,549
Lac qui Parle County            ,1,1,1,0,19-50,26004,12.5,0,345,138,543,568,273,300
Lac qui Parle County            ,2,2,2,0,51+,35268,8.48,0,608,409,555,611,357,399
Lac qui Parle County            ,3,1,1,2,19-50,52524,25.25,729,778,488,891,603,512,376
Lac qui Parle County            ,1,1,1,0,51+,26220,12.61,0,332,169,543,568,269,304
Lac qui Parle County            ,6,2,2,4,19-50,67296,16.18,729,1517,519,891,717,739,496
Lac qui Parle County            ,2,1,1,1,19-50,38160,18.35,434,509,338,710,572,375,242
Lac qui Parle County            ,5,2,1.5,3,19-50,57012,18.27,364,1245,512,891,696,656,387
Lac qui Parle County            ,5,2,1,3,19-50,50364,24.21,0,1245,512,891,696,656,197
Lac qui Parle County            ,6,2,1.5,4,19-50,61584,19.74,364,1517,519,891,717,739,385
Mille Lacs County               ,6,2,1.5,4,19-50,71016,22.76,581,1422,519,1139,903,786,568
Mille Lacs County               ,5,2,1.5,3,19-50,66840,21.42,581,1167,512,1139,874,708,589
Mille Lacs County               ,5,2,1,3,19-50,56964,27.39,0,1167,512,1139,874,708,347
Lake County                     ,2,2,1.5,0,19-50,37296,11.95,0,607,346,614,730,375,436
Lake County                     ,2,2,2,0,51+,37812,9.09,0,584,409,614,730,368,446
Lake County                     ,2,2,1,0,51+,36900,17.74,0,584,409,614,730,368,370
Lake County                     ,1,1,1,0,19-50,28548,13.72,0,331,138,603,674,287,346
Lake County                     ,3,2,1,1,19-50,43968,21.14,0,756,496,817,785,483,327
Lake County                     ,2,2,2,0,19-50,37296,8.97,0,607,346,614,730,375,436
Lake County                     ,5,1,1,4,19-50,65772,31.62,833,1193,503,1062,766,693,431
Lake County                     ,3,2,1.5,1,19-50,48420,15.52,246,756,496,817,785,483,452
Lake County                     ,4,1,1,3,19-50,62856,30.22,833,982,496,1062,753,628,484
Lake County                     ,2,1,1,1,19-50,42888,20.62,492,489,338,817,678,401,359
Lake County                     ,1,1,1,0,51+,28764,13.83,0,318,169,603,674,283,350
Lake County                     ,3,1,1,2,19-50,58980,28.36,833,746,488,1062,720,555,511
Lake County                     ,2,2,1,0,19-50,36408,17.5,0,607,346,614,730,375,362
Lake County                     ,2,2,1.5,0,51+,37812,12.12,0,584,409,614,730,368,446
Lake County                     ,6,2,1,4,19-50,59700,28.7,0,1455,519,1062,869,773,297
Lake County                     ,5,2,2,3,19-50,69408,16.68,833,1195,512,1062,841,693,648
Lake County                     ,4,2,1,2,19-50,52524,25.25,0,987,504,1062,828,629,367
Lake County                     ,5,2,1,3,19-50,55428,26.65,0,1195,512,1062,841,693,316
Lake County                     ,6,2,1.5,4,19-50,67188,21.53,417,1455,519,1062,869,773,504
Lake County                     ,4,2,2,2,19-50,66456,15.97,833,987,504,1062,828,629,695
Lake County                     ,5,2,1.5,3,19-50,62928,20.17,417,1195,512,1062,841,693,524
Meeker County                   ,5,2,1,3,19-50,54948,26.42,0,1180,512,978,939,663,307
Meeker County                   ,5,2,1.5,3,19-50,62208,19.94,401,1180,512,978,939,663,511
Meeker County                   ,6,2,1.5,4,19-50,66504,21.32,401,1438,519,978,972,742,492
Meeker County                   ,3,1,1,2,19-50,57864,27.82,801,737,488,978,799,527,492
Meeker County                   ,2,2,2,0,51+,38472,9.25,0,577,409,590,811,358,461
Meeker County                   ,1,1,1,0,51+,29352,14.11,0,315,169,578,746,274,364
Meeker County                   ,2,2,1,0,51+,37548,18.05,0,577,409,590,811,358,384
Meeker County                   ,6,2,2,4,19-50,72768,17.49,801,1438,519,978,972,742,614
Meeker County                   ,3,2,1,1,19-50,44580,21.43,0,747,496,781,875,469,347
Meeker County                   ,5,1,1,4,19-50,64668,31.09,801,1179,503,978,853,662,413
Meeker County                   ,2,2,1,0,19-50,37044,17.81,0,600,346,590,811,365,375
Meeker County                   ,5,2,2,3,19-50,68436,16.45,801,1180,512,978,939,663,630
Meeker County                   ,4,2,1,2,19-50,52128,25.06,0,975,504,978,924,600,363
Meeker County                   ,2,2,1.5,0,19-50,37956,12.17,0,600,346,590,811,365,451
Meeker County                   ,4,2,1.5,2,19-50,59364,19.03,401,975,504,978,924,600,565
Meeker County                   ,2,2,1.5,0,51+,38472,12.33,0,577,409,590,811,358,461
Meeker County                   ,4,1,1,3,19-50,61680,29.65,801,970,496,978,837,598,460
Meeker County                   ,3,2,2,1,19-50,52740,12.68,458,747,496,781,875,469,569
Meeker County                   ,4,2,2,2,19-50,65520,15.75,801,975,504,978,924,600,678
Meeker County                   ,3,2,1.5,1,19-50,48804,15.64,229,747,496,781,875,469,470
Meeker County                   ,2,1,1,1,19-50,42660,20.51,458,483,338,781,751,388,356
Meeker County                   ,2,2,2,0,19-50,37956,9.12,0,600,346,590,811,365,451
Meeker County                   ,6,2,1,4,19-50,59292,28.51,0,1438,519,978,972,742,292
Meeker County                   ,1,1,1,0,19-50,29124,14,0,327,138,578,746,278,360
Polk County                     ,2,1,1,1,19-50,43524,20.93,418,492,338,984,581,453,361
Polk County                     ,3,2,2,1,19-50,53040,12.75,418,761,496,984,665,536,560
Polk County                     ,1,1,1,0,19-50,29796,14.32,0,333,138,743,578,331,360
Polk County                     ,1,1,1,0,51+,30048,14.45,0,321,169,743,578,327,366
Polk County                     ,4,1,1,3,19-50,67032,32.23,758,989,496,1409,640,736,558
Polk County                     ,3,2,1.5,1,19-50,49644,15.91,209,761,496,984,665,536,486
Polk County                     ,2,2,2,0,51+,38988,9.37,0,588,409,759,622,414,457
Polk County                     ,4,2,1.5,2,19-50,64752,20.75,379,994,504,1409,699,738,673
Polk County                     ,3,1,1,2,19-50,63276,30.42,758,752,488,1409,614,664,588
Polk County                     ,2,2,1.5,0,51+,38988,12.5,0,588,409,759,622,414,457
Polk County                     ,5,2,2,3,19-50,73476,17.66,758,1203,512,1409,709,802,730
Polk County                     ,2,2,1,0,19-50,37512,18.03,0,611,346,759,622,421,367
Polk County                     ,6,2,1,4,19-50,64476,31,0,1466,519,1409,731,883,365
Polk County                     ,2,2,2,0,19-50,38460,9.25,0,611,346,759,622,421,446
Polk County                     ,3,2,1,1,19-50,45528,21.89,0,761,496,984,665,536,352
Polk County                     ,5,2,1,3,19-50,60480,29.08,0,1203,512,1409,709,802,405
Polk County                     ,5,2,1.5,3,19-50,67644,21.68,379,1203,512,1409,709,802,623
Polk County                     ,6,2,1.5,4,19-50,71880,23.04,379,1466,519,1409,731,883,603
Polk County                     ,5,1,1,4,19-50,70020,33.66,758,1202,503,1409,650,802,511
Polk County                     ,2,2,1.5,0,19-50,38460,12.33,0,611,346,759,622,421,446
Polk County                     ,6,2,2,4,19-50,77736,18.69,758,1466,519,1409,731,883,712
Polk County                     ,2,2,1,0,51+,38004,18.27,0,588,409,759,622,414,375
Polk County                     ,4,2,1,2,19-50,57852,27.81,0,994,504,1409,699,738,477
Polk County                     ,4,2,2,2,19-50,70548,16.96,758,994,504,1409,699,738,777
Scott County                    ,5,2,1,3,19-50,64284,30.91,0,1189,491,1576,782,849,470
Scott County                    ,2,2,1,0,51+,40644,19.54,0,581,381,880,682,449,414
Scott County                    ,5,2,1.5,3,19-50,80220,25.71,918,1189,491,1576,782,849,880
Scott County                    ,6,2,1.5,4,19-50,84444,27.07,918,1448,499,1576,807,929,860
Scott County                    ,6,2,2,4,19-50,100008,24.04,1836,1448,499,1576,807,929,1239
Scott County                    ,3,2,1.5,1,19-50,58032,18.6,517,752,476,1110,731,572,678
Scott County                    ,2,2,2,0,51+,41700,10.02,0,581,381,880,682,449,502
Scott County                    ,4,2,1,2,19-50,61632,29.63,0,982,484,1576,770,786,538
Scott County                    ,4,2,2,2,19-50,92832,22.32,1836,982,484,1576,770,786,1302
Scott County                    ,3,2,1,1,19-50,48756,23.44,0,752,476,1110,731,572,422
Scott County                    ,2,2,1.5,0,51+,41700,13.37,0,581,381,880,682,449,502
Scott County                    ,2,2,1.5,0,19-50,41184,13.2,0,604,318,880,682,456,492
Scott County                    ,3,1,1,2,19-50,86616,41.64,1836,742,468,1576,672,712,1212
Kandiyohi County                ,5,2,2,3,19-50,68724,16.52,848,1198,512,1086,749,702,632
Kandiyohi County                ,2,2,1.5,0,19-50,35292,11.31,0,609,346,571,655,362,398
Kandiyohi County                ,3,1,1,2,19-50,58560,28.15,848,749,488,1086,646,563,500
Kandiyohi County                ,2,1,1,1,19-50,40404,19.43,501,490,338,747,611,380,300
Kandiyohi County                ,2,2,1,0,19-50,34476,16.57,0,609,346,571,655,362,330
Kandiyohi County                ,2,2,1,0,51+,34980,16.82,0,585,409,571,655,355,340
Kandiyohi County                ,2,2,2,0,51+,35820,8.61,0,585,409,571,655,355,410
Kandiyohi County                ,4,1,1,3,19-50,62352,29.98,848,985,496,1086,674,636,471
Kandiyohi County                ,3,2,1.5,1,19-50,45468,14.57,250,758,496,747,701,462,375
Kandiyohi County                ,5,1,1,4,19-50,65256,31.37,848,1197,503,1086,685,701,418
Kandiyohi County                ,1,1,1,0,51+,27048,13,0,319,169,569,607,273,317
Kandiyohi County                ,3,2,2,1,19-50,49980,12.01,501,758,496,747,701,462,500
Kandiyohi County                ,4,2,1.5,2,19-50,59172,18.97,424,990,504,1086,738,637,552
Kandiyohi County                ,2,2,1.5,0,51+,35820,11.48,0,585,409,571,655,355,410
Lake of the Woods County        ,5,2,2,3,19-50,75312,18.1,1368,1183,512,935,841,650,787
Lake of the Woods County        ,4,2,1.5,2,19-50,61200,19.62,684,977,504,935,828,587,585
Lake of the Woods County        ,3,1,1,2,19-50,65136,31.32,1368,739,488,935,720,514,664
Lake of the Woods County        ,1,1,1,0,19-50,26964,12.96,0,328,138,525,674,262,320
Lake of the Woods County        ,1,1,1,0,51+,27180,13.07,0,315,169,525,674,258,324
Lake of the Woods County        ,3,2,2,1,19-50,55536,13.35,805,749,496,710,785,448,635
Lake of the Woods County        ,2,2,2,0,19-50,35628,8.56,0,601,346,534,730,349,409
Lake of the Woods County        ,4,1,1,3,19-50,68940,33.14,1368,972,496,935,753,586,635
Lake of the Woods County        ,2,2,2,0,51+,36132,8.69,0,578,409,534,730,341,419
Lake of the Woods County        ,2,2,1.5,0,51+,36132,11.58,0,578,409,534,730,341,419
Lake of the Woods County        ,3,2,1,1,19-50,41496,19.95,0,749,496,710,785,448,270
Lake of the Woods County        ,2,1,1,1,19-50,45852,22.04,805,484,338,710,678,367,439
Lake of the Woods County        ,2,2,1,0,51+,35316,16.98,0,578,409,534,730,341,351
Lake of the Woods County        ,2,2,1.5,0,19-50,35628,11.42,0,601,346,534,730,349,409
Lake of the Woods County        ,5,1,1,4,19-50,71856,34.55,1368,1181,503,935,766,650,585
Lake of the Woods County        ,6,2,2,4,19-50,79572,19.13,1368,1441,519,935,869,730,769
Lake of the Woods County        ,4,2,1,2,19-50,49524,23.81,0,977,504,935,828,587,296
Lake of the Woods County        ,6,2,1,4,19-50,56964,27.39,0,1441,519,935,869,730,253
Lake of the Woods County        ,6,2,1.5,4,19-50,68328,21.9,684,1441,519,935,869,730,516
Lake of the Woods County        ,3,2,1.5,1,19-50,48684,15.6,403,749,496,710,785,448,466
Lake of the Woods County        ,4,2,2,2,19-50,72408,17.41,1368,977,504,935,828,587,835
Lake of the Woods County        ,5,2,1.5,3,19-50,64092,20.54,684,1183,512,935,841,650,536
Lake of the Woods County        ,5,2,1,3,19-50,52440,25.21,0,1183,512,935,841,650,249
Lake of the Woods County        ,2,2,1,0,19-50,34812,16.74,0,601,346,534,730,349,341
Marshall County                 ,2,2,1,0,19-50,36384,17.49,0,615,346,559,784,361,367
Marshall County                 ,2,2,1.5,0,19-50,37260,11.94,0,615,346,559,784,361,440
Marshall County                 ,6,2,1,4,19-50,60600,29.13,0,1474,519,1033,937,770,317
Marshall County                 ,2,2,1,0,51+,36852,17.72,0,591,409,559,784,353,375
Marshall County                 ,5,2,1,3,19-50,56268,27.05,0,1210,512,1033,907,689,338
Marshall County                 ,2,2,1.5,0,51+,37740,12.1,0,591,409,559,784,353,449
Marshall County                 ,4,2,2,2,19-50,66216,15.92,774,1000,504,1033,892,624,691
Marshall County                 ,3,2,1.5,1,19-50,47112,15.1,225,766,496,710,845,453,431
Marshall County                 ,3,2,1,1,19-50,42996,20.67,0,766,496,710,845,453,313
Marshall County                 ,6,2,1.5,4,19-50,67728,21.71,387,1474,519,1033,937,770,524
Marshall County                 ,1,1,1,0,51+,28548,13.72,0,323,169,546,722,267,352
Marshall County                 ,6,2,2,4,19-50,73656,17.71,774,1474,519,1033,937,770,631
Marshall County                 ,5,2,1.5,3,19-50,63348,20.3,387,1210,512,1033,907,689,541
